building_block_id,smiles,name,source_scope
R_F,[*:1]F,fluoro,computational_enumeration_fragment
R_Cl,[*:1]Cl,chloro,computational_enumeration_fragment
R_Br,[*:1]Br,bromo,computational_enumeration_fragment
R_I,[*:1]I,iodo,computational_enumeration_fragment
R_Me,[*:1]C,methyl,computational_enumeration_fragment
R_Et,[*:1]CC,ethyl,computational_enumeration_fragment
R_nPr,[*:1]CCC,n-propyl,computational_enumeration_fragment
R_iPr,[*:1]C(C)C,isopropyl,computational_enumeration_fragment
R_nBu,[*:1]CCCC,n-butyl,computational_enumeration_fragment
R_tBu,[*:1]C(C)(C)C,tert-butyl,computational_enumeration_fragment
R_cPr,[*:1]C1CC1,cyclopropyl,computational_enumeration_fragment
R_cBu,[*:1]C1CCC1,cyclobutyl,computational_enumeration_fragment
R_cPen,[*:1]C1CCCC1,cyclopentyl,computational_enumeration_fragment
R_cHex,[*:1]C1CCCCC1,cyclohexyl,computational_enumeration_fragment
R_OH,[*:1]O,hydroxy,computational_enumeration_fragment
R_OMe,[*:1]OC,methoxy,computational_enumeration_fragment
R_OEt,[*:1]OCC,ethoxy,computational_enumeration_fragment
R_OiPr,[*:1]OC(C)C,isopropoxy,computational_enumeration_fragment
R_SMe,[*:1]SC,methylthio,computational_enumeration_fragment
R_SEt,[*:1]SCC,ethylthio,computational_enumeration_fragment
R_CH2OH,[*:1]CO,hydroxymethyl,computational_enumeration_fragment
R_CH2CH2OH,[*:1]CCO,hydroxyethyl,computational_enumeration_fragment
R_CN,[*:1]C#N,cyano,computational_enumeration_fragment
R_CF3,[*:1]C(F)(F)F,trifluoromethyl,computational_enumeration_fragment
R_CHF2,[*:1]C(F)F,difluoromethyl,computational_enumeration_fragment
R_CH2F,[*:1]CF,fluoromethyl,computational_enumeration_fragment
R_CH2NH2,[*:1]CN,aminomethyl,computational_enumeration_fragment
R_CH2NMe2,[*:1]CN(C)C,dimethylaminomethyl,computational_enumeration_fragment
R_NH2,[*:1]N,amino,computational_enumeration_fragment
R_NHMe,[*:1]NC,methylamino,computational_enumeration_fragment
R_NMe2,[*:1]N(C)C,dimethylamino,computational_enumeration_fragment
R_CONH2,[*:1]C(=O)N,carboxamide,computational_enumeration_fragment
R_CONHMe,[*:1]C(=O)NC,N-methylcarboxamide,computational_enumeration_fragment
R_CONMe2,[*:1]C(=O)N(C)C,"N,N-dimethylcarboxamide",computational_enumeration_fragment
R_CO2H,[*:1]C(=O)O,carboxy,computational_enumeration_fragment
R_CO2Me,[*:1]C(=O)OC,methyl-ester,computational_enumeration_fragment
R_CO2Et,[*:1]C(=O)OCC,ethyl-ester,computational_enumeration_fragment
R_SO2NH2,[*:1]S(=O)(=O)N,sulfonamide,computational_enumeration_fragment
R_SO2Me,[*:1]S(=O)(=O)C,methylsulfone,computational_enumeration_fragment
R_morpholine,[*:1]N1CCOCC1,morpholinyl,computational_enumeration_fragment
R_piperidine,[*:1]N1CCCCC1,piperidinyl,computational_enumeration_fragment
R_piperazine,[*:1]N1CCNCC1,piperazinyl,computational_enumeration_fragment
R_Ph,[*:1]c1ccccc1,phenyl,computational_enumeration_fragment
R_pFPh,[*:1]c1ccc(F)cc1,4-fluorophenyl,computational_enumeration_fragment
R_pClPh,[*:1]c1ccc(Cl)cc1,4-chlorophenyl,computational_enumeration_fragment
R_2Pyr,[*:1]c1ccccn1,pyridin-2-yl,computational_enumeration_fragment
R_3Pyr,[*:1]c1ccncc1,pyridin-3-yl,computational_enumeration_fragment
R_pyrimidinyl,[*:1]c1nccnc1,pyrimidinyl,computational_enumeration_fragment
R_thienyl,[*:1]c1ccsc1,thienyl,computational_enumeration_fragment
R_furyl,[*:1]c1ccoc1,furyl,computational_enumeration_fragment
