canonical_id,smiles,admet_ames_mutagenesis,admet_avian,admet_biodegradation,admet_carcinogenesis,admet_crustacean,admet_liver_injury_i_dili,admet_eye_corrosion,admet_eye_irritation,admet_liver_injury_ii,admet_herg_blockers,admet_micronucleos,admet_nr_minus_ahr,admet_nr_minus_ar,admet_nr_minus_ar_minus_lbd,admet_nr_minus_aromatase,admet_nr_minus_er,admet_nr_minus_er_minus_lbd,admet_nr_minus_gr,admet_nr_minus_ppar_minus_gamma,admet_nr_minus_tr,admet_respiratory_disease,admet_skin_sensitisation,admet_sr_minus_are,admet_sr_minus_atad5,admet_sr_minus_hse,admet_sr_minus_mmp,admet_sr_minus_p53,admet_endpoint_sum,source_file
ATP-SMI-1EDF03AEDEF9,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-C93E6EC67CDB,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-E9798004BA11,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-FCA9CDF3313B,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
