feature,feature_group,source_property,source_file,data_type,non_missing_count,complete_on_dataset,unique_values,used_in_model2,notes
morgan1024_0000,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0001,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0002,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0003,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0004,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0005,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0006,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0007,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0008,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0009,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0010,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0011,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0012,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0013,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0014,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0015,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0016,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0017,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0018,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0019,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,2,true,Structure-derived from the source SMILES after identity verification.
morgan1024_0020,morgan,"RDKit Morgan radius=2, 1024 bit, chirality=True",作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,binary,17,true,1,true,Structure-derived from the source SMILES after identity verification.
