compound_id,canonical_smiles,target,protein_id,organism,activity_type,activity_value,unit,dataset_layer,data_source,reference,label_confidence
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA265,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA265,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA267,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA267,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA268,CN1CCC=NC(SCc2ccccc2)=C2C=CN(CCNC2)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA268,CN1CCC=NC(SCc2ccccc2)=C2C=CN(CCNC2)CC1,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA272,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=C2Br)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA272,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=C2Br)CC1,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA272,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=C2Br)CC1,whole cell (cytotoxicity),,Homo sapiens HEK 293,"MIC (cytotoxicity, XTT)",32,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=XTT cell viability, 24 h",medium_source_traceable_unverified
WSA271,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=C2Br)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA271,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=C2Br)CC1,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA271,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=C2Br)CC1,whole cell (cytotoxicity),,Homo sapiens HEK 293,"MIC (cytotoxicity, XTT)",64,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=XTT cell viability, 24 h",medium_source_traceable_unverified
WSA301,BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA301,BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA301,BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell (cytotoxicity),,Homo sapiens HEK 293,"MIC (cytotoxicity, XTT)",16,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=XTT cell viability, 24 h",medium_source_traceable_unverified
WSA293,BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,32,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA293,BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,64,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA293,BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,whole cell (cytotoxicity),,Homo sapiens HEK 293,"MIC (cytotoxicity, XTT)",64,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=XTT cell viability, 24 h",medium_source_traceable_unverified
WSA277,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC=CC=C3C=C32)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,32,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA277,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC=CC=C3C=C32)CC1,whole cell,,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
WSA277,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC=CC=C3C=C32)CC1,whole cell (cytotoxicity),,Homo sapiens HEK 293,"MIC (cytotoxicity, XTT)",16,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=XTT cell viability, 24 h",medium_source_traceable_unverified
WSA280,CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,F1Fo-ATP synthase (Fo a/c interface),,Acinetobacter baumannii ATCC 17978 (inverted membrane vesicles),IC50 (ATP synthesis inhibition),690,ng/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=luciferase ATP synthesis assay, inverted inner membrane vesicles",medium_source_traceable_unverified
WSA280,CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,16,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
