compound_id,canonical_smiles,target,organism,activity_type,activity_value,unit,reference,source_level,confidence,task_type
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA265,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA265,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA267,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA267,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA268,CN1CCC=NC(SCc2ccccc2)=C2C=CN(CCNC2)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA268,CN1CCC=NC(SCc2ccccc2)=C2C=CN(CCNC2)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA272,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=C2Br)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA272,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=C2Br)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA271,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=C2Br)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA271,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=C2Br)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA301,BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA301,BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,>128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA293,BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA293,BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,64,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA277,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA277,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA280,CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,F1Fo-ATP synthase (Fo a/c interface),Acinetobacter baumannii ATCC 17978 (inverted membrane vesicles),IC50 (ATP synthesis inhibition),690,ng/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,ATP_target
WSA280,CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,16,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA280,CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA278,COC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,F1Fo-ATP synthase (Fo a/c interface),Acinetobacter baumannii ATCC 17978 (inverted membrane vesicles),IC50 (ATP synthesis inhibition),960,ng/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,ATP_target
WSA278,COC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,64,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA278,COC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA273,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(F)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA273,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(F)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA274,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(F)=C(F)C=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA274,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(F)=C(F)C=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA275,COC1=C(F)C=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA275,COC1=C(F)C=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA276,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(N(C)C)=CC=C3C=C32)CC1,F1Fo-ATP synthase (Fo a/c interface),Acinetobacter baumannii ATCC 17978 (inverted membrane vesicles),IC50 (ATP synthesis inhibition),320,ng/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,ATP_target
WSA276,CN1CCC=NC(SCc2ccccc2)=C2CNCCN(C=CC(N(C)C)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,16,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
