canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file
ATP-HTVS-0009DAEDE04F,79971,rxn502b____EMOL6884260____EMOL7515103____EMOL712348,79971-2,586,-3.58525470579908,-4.60735470579908,-50.6046984272226,-40.9973608255386,-39.9714088439941,-1.02595198154449,4.35698270797729,1.0221,-0.112039209556221,-0.355702317811539,-0.802836258980599,6,0,0.0113954,0,0,0,-8.001,-1,0.0822648,10.458,1.8,1.337,118.266,115.488,0.8277298,1,0,22,8.378,0.003726821262477,7,438.546,5,0,32,100,410.804,70.971,-0.978,-6.279,0.652,-1.388,15.124,4.911,22.416,11.601,-6.683,748.838,789.633,45.195,22,9,1,0,2,0,0,706.414,1,1329.456,61.856,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-2,485,-3.84066710724475,-3.91576710724475,-54.6541829923864,-41.409499168396,-33.9884910583496,-7.42100811004639,3.63171243667603,0.0751,-0.109733345921279,-0.358945050521973,-0.843111669054111,8,0,0.01542,0,0,1,-6.823,1,0.0171785,4.885,2,1.153,96.359,114.158,0.8207178,3,0,22,8.601,0.00276061914002945,7,471.508,6,0,35,95.202,480.398,78.17,-0.369,-7.45,0.471,-2.898,15.345,4.08,24.128,14.467,-5.335,301.321,256.755,48.9,22,8,0,0,1,0,42.789,733.703,1,1389.388,42.789,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-1,501,-3.81260017118305,-3.88770017118305,-54.2710752893493,-41.6802763938904,-34.870979309082,-6.80929708480835,1.41096544265747,0.0751,-0.108931433462373,-0.356321941697035,-0.836950353676484,8,0,0.0147257,0,0,1,-6.823,1,0.0663123,9.709,2,1.127,84.472,149.645,0.7958275,3,0,22,8.628,0.00118787237112092,7,471.508,6,0,35,100,486.581,78.161,-0.293,-7.882,0.534,-2.657,15.652,4.367,25.146,14.514,-5.942,390.62,361.164,50.248,22,8,0,0,2,0,47.598,768.296,1,1421.587,47.598,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-3,1016,-2.40302535148596,-3.78992535148596,-48.435424128739,-39.7516922950745,-35.2497520446777,-4.50194025039673,2.04686093330383,1.3869,-0.0686578671853132,-0.224584436013122,-0.527517396925378,8,0,0.0161467,0,0,1,-6.823,1,0.1105687,12.225,2,0.976,93.571,104.339,0.8437647,3,0,22,8.344,0.00824417664692948,7,471.508,6,0,35,94.509,452.693,76.315,-0.273,-6.945,0.393,-2.944,14.706,3.88,24.847,14.183,-4.814,320.236,300.627,47.125,22,8,0,0,1,0,50.078,700.681,1,1351.651,50.078,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-4,1146,-2.01163726220462,-3.39853726220462,-42.8267118378576,-36.7032301425934,-33.9413032531738,-2.76192688941956,4.75848817825317,1.3869,-0.0574753503487034,-0.188005681969121,-0.441599024937492,8,0,0.0152078,0,0,1,-6.823,1,0.0427336,7.744,2,0.966,102.149,118.932,0.8148641,3,0,22,8.34,0.00134981449646379,7,471.508,6,0,35,94.523,476.254,79.974,-0.431,-7.525,0.503,-3.019,15.474,4.131,24.682,14.505,-5.524,265.537,235.01,49.422,22,8,0,0,1,0,46.606,743.94,1,1403.419,46.606,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-6,1236,-1.77691793567558,-4.07951793567558,-56.3508898807306,-40.6619396209717,-27.8678550720215,-12.7940845489502,2.03656339645386,2.3026,-0.0507690838764453,-0.166069039670568,-0.390072923449587,8,0,0.0146,0,0,1,-6.823,1,0.0494541,8.487,2,1.116,112.83,145.704,0.8018981,3,0,22,8.592,0.000211068470495813,7,471.508,6,0,35,94.22,462.152,81.815,-0.557,-7.668,0.63,-3.265,15.927,4.389,25.499,14.559,-6.084,210.298,201.061,51.412,22,8,0,0,2,0,54.223,774.91,1,1456.491,54.223,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-5,1311,-1.53762116704211,-3.84022116704211,-55.8642827353856,-42.0351734161377,-31.8955039978027,-10.139669418335,2.96679043769836,2.3026,-0.0439320333440602,-0.143704594039531,-0.337541971828903,8,0,0.0152229,0,0,1,-6.823,1,0.1002824,11.902,2,1.089,109.502,138.773,0.8192541,3,0,22,8.633,0.000848583341007716,7,471.508,6,0,35,93.104,450.849,82.082,-0.5,-7.333,0.53,-3.244,15.433,4.102,25.522,14.379,-5.501,226.15,191.375,49.55,22,8,0,0,1,0,44.081,743.205,1,1412.679,44.081,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-003E4D952AAC,76899,rxn502b____EMOL5415347____EMOL13728749____EMOL725587,76899-2,368,-4.13615387037502,-4.23375387037502,-54.9996939825513,-41.9147033691406,-34.5492706298828,-7.36543273925781,2.81034374237061,0.0976,-0.121651584422795,-0.394103908076939,-0.913792405152209,8.5,0,0.0152812,0,0,1,-5.251,1,0.0280136,6.383,2,0.948,58.014,236.424,0.7892402,3,0,22,8.231,0.0427077024164229,7,452.555,6,0,34,100,492.202,78.378,-0.141,-8.016,0.52,-2.149,16.148,4.371,24.993,14.892,-4.876,696.075,369.964,51.621,22,8,1,0,1,0,0,786.64,1,1454.554,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,76899,rxn502b____EMOL5415347____EMOL13728749____EMOL725587,76899-1,426,-3.96135753394356,-4.05895753394356,-57.4811365970695,-44.8123998641968,-35.8941955566406,-8.91820430755615,3.92329907417297,0.0976,-0.116510515704222,-0.37744884120465,-0.875174991563334,8.5,0,0.0157031,0,0,1,-5.251,1,0.0076328,3.317,2,0.959,67.917,231.551,0.8062569,3,0,22,8.322,0.0517778502493689,7,452.555,6,0,34,100,466.038,81.074,-0.217,-7.616,0.501,-2.424,15.838,4.207,24.531,14.73,-4.518,560.718,292.855,50.858,22,8,1,0,1,0,0,765.506,1,1441.734,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,76899,rxn502b____EMOL5415347____EMOL13728749____EMOL725587,76899-6,477,-3.85093500462413,-5.58803500462413,-70.0664619437211,-48.3021879196167,-36.1509094238281,-12.1512784957886,8.23493385314941,1.7371,-0.113262794253651,-0.366927484478485,-0.850779557589636,8.5,0,0.0155795,0,0,1,-5.251,1,0.0401191,7.692,2,0.886,86.568,213.756,0.8121341,3,0,22,8.313,0.0193199966961003,7,452.555,6,0,34,100,471.257,80.275,-0.395,-7.545,0.592,-2.749,16.279,4.295,25.601,14.907,-4.62,373.141,188.571,52.236,22,8,1,0,1,0,0,771.581,1,1474.914,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
