compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id,recomputed_formula,recomputed_mw,parent_identity,scaffold,independent_structural_qc,issues,source_identity_claim,independent_source_identity_verification
AMIPNMOIENOTCR-UHFFFAOYSA-N,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1F,AMIPNMOIENOTCR-UHFFFAOYSA-N,C27H33FN4OS,480.653,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA275,C27H33FN4OS,480.65300000000036,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1F,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
APMKTVCBYUVFFM-UHFFFAOYSA-N,CN(C)CCCCNCc1cc2ccccc2nc1SCc1ccccc1,APMKTVCBYUVFFM-UHFFFAOYSA-N,C23H29N3S,379.573,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-8,C23H29N3S,379.57300000000015,CN(C)CCCCNCc1cc2ccccc2nc1SCc1ccccc1,c1ccc(CSc2ccc3ccccc3n2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
AUXCLAOBTMCUDS-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,AUXCLAOBTMCUDS-UHFFFAOYSA-N,C26H31FN4S,450.627,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA273,C26H31FN4S,450.6270000000002,CN1CCN(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
AVMFLQZOZFHZLB-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(N(C)C)cc3)cnc2SCc2ccccc2)CC1,AVMFLQZOZFHZLB-UHFFFAOYSA-N,C28H37N5S,475.706,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA276,C28H37N5S,475.70600000000024,CN1CCN(CCNCc2cc(-c3ccc(N(C)C)cc3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
BAVNIUAXBSRCQM-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCCCN(C)C,BAVNIUAXBSRCQM-UHFFFAOYSA-N,C17H25N3S,303.475,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-7,C17H25N3S,303.475,CSc1nc2ccccc2cc1CNCCCCN(C)C,c1ccc2ncccc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
BIUKOUDAOJTTLM-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,BIUKOUDAOJTTLM-UHFFFAOYSA-N,C28H33F2N3S,481.656,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA308,C28H33F2N3S,481.65600000000023,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
BIVRJOXVTORWAX-DEOSSOPVSA-N,O=C(NS(=O)(=O)c1ccccc1)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,BIVRJOXVTORWAX-DEOSSOPVSA-N,C28H24N2O4S2,516.644,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL429137,C28H24N2O4S2,516.6440000000003,O=C(NS(=O)(=O)c1ccccc1)C1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,O=C(NS(=O)(=O)c1ccccc1)C1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
BJYUUFFIHWOTNU-UHFFFAOYSA-N,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,BJYUUFFIHWOTNU-UHFFFAOYSA-N,C31H39N3S,485.741,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA302,C31H39N3S,485.7410000000005,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
BMTCMYDFINDWQK-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCCN(C)C,BMTCMYDFINDWQK-UHFFFAOYSA-N,C16H23N3S,289.448,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-5,C16H23N3S,289.448,CSc1nc2ccccc2cc1CNCCCN(C)C,c1ccc2ncccc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
BYLMAFONBHVALJ-UHFFFAOYSA-N,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1,BYLMAFONBHVALJ-UHFFFAOYSA-N,C32H35N3S,493.72,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA295,C32H35N3S,493.72000000000037,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
CEAZRRDELHUEMR-UHFFFAOYSA-N,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,CEAZRRDELHUEMR-UHFFFAOYSA-N,C21H43N5O7,477.603,input_canonicalized,parsed_but_not_independently_identity_verified,False,CTRL-GENTAMICIN,C21H43N5O7,477.6030000000002,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
CJWSCOKTAUPKHM-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,CJWSCOKTAUPKHM-UHFFFAOYSA-N,C26H33N3S,419.638,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA236,C26H33N3S,419.6380000000002,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CCNCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
CKJASZDKIIXJGB-UHFFFAOYSA-N,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,CKJASZDKIIXJGB-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA238,C29H37N3S,459.7030000000004,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
CXMRFZUNEWGZOD-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,CXMRFZUNEWGZOD-UHFFFAOYSA-N,C28H34FN3S,463.666,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA307,C28H34FN3S,463.6660000000002,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
CYFLBGUKERCHRN-UHFFFAOYSA-N,Fc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,CYFLBGUKERCHRN-UHFFFAOYSA-N,C31H38FN3S,503.731,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA291,C31H38FN3S,503.7310000000005,Fc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
DCLANSSFVIGXHQ-OAQYLSRUSA-N,COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NCc1cc2ccccc2nc1OC,DCLANSSFVIGXHQ-OAQYLSRUSA-N,C23H23N3O3,389.455,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-18,C23H23N3O3,389.45500000000015,COC(=O)C(Cc1c[nH]c2ccccc12)NCc1cc2ccccc2nc1OC,c1ccc2ncc(CNCCc3c[nH]c4ccccc34)cc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
