measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id,recomputed_formula,recomputed_mw,parent_identity,scaffold,independent_structural_qc,issues,source_identity_claim,independent_source_identity_verification,audit_status,audit_issues,recomputed_molar_value,recomputed_p_activity,label_semantics,primary_source_validation_scope
msr_39be05736c25,CJWSCOKTAUPKHM-UHFFFAOYSA-N,WSA236,WSA236,asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.36,,,ug/mL,8.578822699564863e-07,6.066572307741537,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.36,μg/mL,luciferase ATP synthesis assay,ATP_target_expansion.csv,20,Acinetobacter baumannii ATCC 17978,2,1,True,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,CJWSCOKTAUPKHM-UHFFFAOYSA-N,C26H33N3S,419.638,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA236,C26H33N3S,419.6380000000002,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CCNCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,8.578822699564858e-07,6.066572307741537,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_bed89a254a3a,CJWSCOKTAUPKHM-UHFFFAOYSA-N,WSA236,WSA236,asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.52,,,ug/mL,1.239163278826036e-06,5.906871464874025,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.52,μg/mL,"luciferase ATP synthesis assay, PA enzyme expressed in EC DK8",ATP_target_expansion.csv,21,Pseudomonas aeruginosa unknown,2,1,True,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,CJWSCOKTAUPKHM-UHFFFAOYSA-N,C26H33N3S,419.638,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA236,C26H33N3S,419.6380000000002,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CCNCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,1.2391632788260353e-06,5.906871464874025,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_d9724d6b381e,CKJASZDKIIXJGB-UHFFFAOYSA-N,WSA238,WSA238,asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.22,,,ug/mL,4.785698592352019e-07,6.320054657122566,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.22,μg/mL,luciferase ATP synthesis assay,ATP_target_expansion.csv,22,Acinetobacter baumannii ATCC 17978,2,1,True,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,CKJASZDKIIXJGB-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA238,C29H37N3S,459.7030000000004,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,4.785698592352015e-07,6.320054657122566,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_90bfd9b0a5d8,CKJASZDKIIXJGB-UHFFFAOYSA-N,WSA238,WSA238,asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.45,,,ug/mL,9.788928938901857e-07,6.009264824169429,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.45,μg/mL,"luciferase ATP synthesis assay, PA enzyme expressed in EC DK8",ATP_target_expansion.csv,23,Pseudomonas aeruginosa unknown,2,1,True,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,CKJASZDKIIXJGB-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA238,C29H37N3S,459.7030000000004,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,9.788928938901848e-07,6.009264824169429,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_ec889c67e0fb,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,WSA249,asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.31,,,ug/mL,6.833386604357937e-07,6.165364008021686,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.31,μg/mL,luciferase ATP synthesis assay,ATP_target_expansion.csv,12,Acinetobacter baumannii ATCC 17978,2,1,True,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,YEMLSUARMQTHJO-UHFFFAOYSA-N,C29H31N3S,453.655,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA249,C29H31N3S,453.65500000000037,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,6.833386604357932e-07,6.165364008021686,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_cc6bdd799989,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,WSA249,asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.68,,,ug/mL,1.4989364164398057e-06,5.824216789149722,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.68,μg/mL,"luciferase ATP synthesis assay, PA enzyme expressed in EC DK8",ATP_target_expansion.csv,13,Pseudomonas aeruginosa unknown,2,1,True,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,YEMLSUARMQTHJO-UHFFFAOYSA-N,C29H31N3S,453.655,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA249,C29H31N3S,453.65500000000037,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,1.4989364164398044e-06,5.824216789149722,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_ae3ddef0bc65,SSOJQSHUAQGPLD-UHFFFAOYSA-N,WSA250,WSA250,asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,1.9,,,ug/mL,4.672908688904793e-06,5.330412705235527,intermediate,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,1.9,μg/mL,luciferase ATP synthesis assay,ATP_target_expansion.csv,14,Acinetobacter baumannii ATCC 17978,2,1,True,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,SSOJQSHUAQGPLD-UHFFFAOYSA-N,C24H30N4S,406.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA250,C24H30N4S,406.59900000000016,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,4.672908688904791e-06,5.330412705235527,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_e97d131ddc65,SSOJQSHUAQGPLD-UHFFFAOYSA-N,WSA250,WSA250,asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,1.2,,,ug/mL,2.9513107508872376e-06,5.5299850601407305,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,1.2,μg/mL,"luciferase ATP synthesis assay, PA enzyme expressed in EC DK8",ATP_target_expansion.csv,15,Pseudomonas aeruginosa unknown,2,1,True,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,SSOJQSHUAQGPLD-UHFFFAOYSA-N,C24H30N4S,406.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA250,C24H30N4S,406.59900000000016,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,2.9513107508872364e-06,5.5299850601407305,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_9bd6959ba303,GDIKNPZGPCUHQP-UHFFFAOYSA-N,WSA255,WSA255,asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.12,,,ug/mL,2.2280026513231548e-07,6.652084296687568,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.12,μg/mL,luciferase ATP synthesis assay,ATP_target_expansion.csv,16,Acinetobacter baumannii ATCC 17978,2,1,True,Brc1ccc2c(c1)N=C1SCC1=CC=CC=CCCC1CCN(C3CCCC3)C(=C2)CCNC1,GDIKNPZGPCUHQP-UHFFFAOYSA-N,C29H36BrN3S,538.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA255,C29H36BrN3S,538.5990000000004,Brc1ccc2c(c1)N=C1SCC1=CC=CC=CCCC1CCN(C3CCCC3)C(=C2)CCNC1,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,2.2280026513231535e-07,6.652084296687568,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
msr_23ea9ea7dae5,GDIKNPZGPCUHQP-UHFFFAOYSA-N,WSA255,WSA255,asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,exact,0.23,,,ug/mL,4.270338415036047e-07,6.369537706717599,active,strong,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,A,model_ready,True,True,,IC50 (ATP synthesis inhibition),F1Fo-ATP synthase,0.23,μg/mL,"luciferase ATP synthesis assay, PA enzyme expressed in EC DK8",ATP_target_expansion.csv,17,Pseudomonas aeruginosa unknown,2,1,True,Brc1ccc2c(c1)N=C1SCC1=CC=CC=CCCC1CCN(C3CCCC3)C(=C2)CCNC1,GDIKNPZGPCUHQP-UHFFFAOYSA-N,C29H36BrN3S,538.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA255,C29H36BrN3S,538.5990000000004,Brc1ccc2c(c1)N=C1SCC1=CC=CC=CCCC1CCN(C3CCCC3)C(=C2)CCNC1,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit,eligible_for_conditional_pilot,,4.2703384150360443e-07,6.3695377067176,external_source_ATP_synthesis_IC50_assay_specific_not_internal_activity,source DOI/locator and automated structure/unit QC; not independent verification of every drawn bond
