assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,assay_method,doi,source_url,pmc_url,source_locator,measurement_count,unique_compounds,training_measurements
asy_4f7a87e5bfe2,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,12,6,12
asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,16,16,0
asy_6ff789d1a279,whole cell,,Acinetobacter baumannii,,,MIC,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,16,16,0
asy_27bed758bbbf,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,1,1,0
asy_e11f968c976a,whole cell,,Acinetobacter baumannii,,,MIC,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,1,1,0
asy_ef12eba894a9,electron transport chain,,Pseudomonas aeruginosa,,,ETC_inhibition,ACMA fluorescence quenching assay,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Figure S2,1,1,0
asy_72ab0153c0c5,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Supporting Information Table S1; Figures S2-S3,12,6,12
asy_074abd848eac,whole cell,,Pseudomonas aeruginosa,,,MIC,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,16,16,0
asy_b253ec7a23ea,whole cell,,Pseudomonas aeruginosa,,,MIC,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,1,1,0
asy_fe6241c1c4a8,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,percent_inhibition,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase assessed as reduction in total ATP conte,10.1016/j.bmc.2014.12.060,https://doi.org/10.1016/j.bmc.2014.12.060,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_33feb9809f99,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase by luminometer analysis,10.1016/j.bmc.2023.117504,https://doi.org/10.1016/j.bmc.2023.117504,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_9026f58ff2ca,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,percent_inhibition,Binding affinity to Escherichia coli PapD relative to control,10.1016/j.bmcl.2008.05.020,https://doi.org/10.1016/j.bmcl.2008.05.020,,Source locator not independently verified; retained outside strict model-ready set,7,7,0
asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,6,6,0
asy_0b478cb9b490,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,percent_inhibition,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv whole cell lysate after 18 hrs at 5X,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
