compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id
AMIPNMOIENOTCR-UHFFFAOYSA-N,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1F,AMIPNMOIENOTCR-UHFFFAOYSA-N,C27H33FN4OS,480.653,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA275
APMKTVCBYUVFFM-UHFFFAOYSA-N,CN(C)CCCCNCc1cc2ccccc2nc1SCc1ccccc1,APMKTVCBYUVFFM-UHFFFAOYSA-N,C23H29N3S,379.573,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-8
AUXCLAOBTMCUDS-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,AUXCLAOBTMCUDS-UHFFFAOYSA-N,C26H31FN4S,450.627,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA273
AVMFLQZOZFHZLB-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(N(C)C)cc3)cnc2SCc2ccccc2)CC1,AVMFLQZOZFHZLB-UHFFFAOYSA-N,C28H37N5S,475.706,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA276
BAVNIUAXBSRCQM-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCCCN(C)C,BAVNIUAXBSRCQM-UHFFFAOYSA-N,C17H25N3S,303.475,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-7
BIUKOUDAOJTTLM-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,BIUKOUDAOJTTLM-UHFFFAOYSA-N,C28H33F2N3S,481.656,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA308
BIVRJOXVTORWAX-DEOSSOPVSA-N,O=C(NS(=O)(=O)c1ccccc1)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,BIVRJOXVTORWAX-DEOSSOPVSA-N,C28H24N2O4S2,516.644,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL429137
BJYUUFFIHWOTNU-UHFFFAOYSA-N,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,BJYUUFFIHWOTNU-UHFFFAOYSA-N,C31H39N3S,485.741,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA302
BMTCMYDFINDWQK-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCCN(C)C,BMTCMYDFINDWQK-UHFFFAOYSA-N,C16H23N3S,289.448,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-5
BYLMAFONBHVALJ-UHFFFAOYSA-N,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1,BYLMAFONBHVALJ-UHFFFAOYSA-N,C32H35N3S,493.72,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA295
