measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_041f233b25f1,CJWSCOKTAUPKHM-UHFFFAOYSA-N,WSA236,WSA236,asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,64.0,,,ug/mL,0.0001525124035478198,3.816694834524937,inactive,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,163,Acinetobacter baumannii ATCC 17978,1,1,True
msr_55f6bc5d9762,CJWSCOKTAUPKHM-UHFFFAOYSA-N,WSA236,WSA236,asy_6ff789d1a279,whole cell,,Acinetobacter baumannii,,,MIC,exact,64.0,,,ug/mL,0.0001525124035478198,3.816694834524937,inactive,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,164,Acinetobacter baumannii ATCC 1605 (MDR),1,1,True
msr_0be6accf703a,CJWSCOKTAUPKHM-UHFFFAOYSA-N,WSA236,WSA236,asy_074abd848eac,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,32.0,,,ug/mL,7.62562017739099e-05,4.117724830188918,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,broth microdilution,negative_SAR_examples.csv,165,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1,1,True
msr_4f547c5b94ac,CKJASZDKIIXJGB-UHFFFAOYSA-N,WSA238,WSA238,asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.961016134330209e-05,4.157327359624866,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,broth microdilution,negative_SAR_examples.csv,168,Acinetobacter baumannii ATCC 17978,1,1,True
msr_d81d5e6878ad,CKJASZDKIIXJGB-UHFFFAOYSA-N,WSA238,WSA238,asy_6ff789d1a279,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.961016134330209e-05,4.157327359624866,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,broth microdilution,negative_SAR_examples.csv,169,Acinetobacter baumannii ATCC 1605 (MDR),1,1,True
msr_e131fb7e7cd5,CKJASZDKIIXJGB-UHFFFAOYSA-N,WSA238,WSA238,asy_074abd848eac,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,32.0,,,ug/mL,6.961016134330209e-05,4.157327359624866,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,broth microdilution,negative_SAR_examples.csv,170,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1,1,True
msr_5ee161de34f1,KBBWUTKWDFCECI-UHFFFAOYSA-N,WSA248,WSA248,asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,gt,128.0,,,ug/mL,0.0002821527372121987,3.54951573220809,inactive,inactive,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,110,Acinetobacter baumannii ATCC 17978,1,1,True
msr_a244a8b1f8d0,KBBWUTKWDFCECI-UHFFFAOYSA-N,WSA248,WSA248,asy_6ff789d1a279,whole cell,,Acinetobacter baumannii,,,MIC,gt,128.0,,,ug/mL,0.0002821527372121987,3.54951573220809,inactive,inactive,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,111,Acinetobacter baumannii ATCC 1605 (MDR),1,1,True
msr_32ff1b1732c9,KBBWUTKWDFCECI-UHFFFAOYSA-N,WSA248,WSA248,asy_074abd848eac,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0002821527372121987,3.54951573220809,inactive,inactive,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,112,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1,1,True
msr_9d49ec54a1ef,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,WSA249,asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,7.053818430304968e-05,4.151575723536053,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,broth microdilution,negative_SAR_examples.csv,115,Acinetobacter baumannii ATCC 17978,1,1,True
msr_ecaeae382ae1,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,WSA249,asy_6ff789d1a279,whole cell,,Acinetobacter baumannii,,,MIC,exact,64.0,,,ug/mL,0.00014107636860609935,3.8505457278720714,inactive,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,116,Acinetobacter baumannii ATCC 1605 (MDR),1,1,True
msr_865be830e44a,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,WSA249,asy_074abd848eac,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,16.0,,,ug/mL,3.526909215152484e-05,4.452605719200034,intermediate,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,16,μg/mL,broth microdilution,negative_SAR_examples.csv,117,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1,1,True
msr_58f4d0f39f97,SSOJQSHUAQGPLD-UHFFFAOYSA-N,WSA250,WSA250,asy_fe8e1bbaf657,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,64.0,,,ug/mL,0.00015740324004731937,3.802986332204468,inactive,moderate,broth microdilution,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,auxiliary,False,False,,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,120,Acinetobacter baumannii ATCC 17978,1,1,True
