measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_a7190f90ffbc,WIDVPHSBAXLSEU-LJQANCHMSA-N,FRAUNFELTER2023-1,compound 1 (Fraunfelter 2023),asy_70e7c55c3cb9,F1Fo-ATP synthase (Fo a/c interface),,Pseudomonas aeruginosa,PAO1,,MIC,gt,256.0,,,ug/mL,0.0006693072930964613,3.174374442687681,inactive,inactive,broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,F1Fo-ATP synthase (Fo a/c interface),>256,ug/mL,broth microdilution (CLSI),negative_SAR_examples.csv,306,Pseudomonas aeruginosa PAO1 delta6 (efflux-deficient),2,2,False
msr_d9e431932f55,LLKLWYWYWKDHMZ-UHFFFAOYSA-N,FRAUNFELTER2023-5,ATP Synthesis-IN-2 (IN-2); Fraunfelter2023 compound 5; Ward2024 compound 2,asy_d52baa9b8747,F1Fo-ATP synthase (Fo a/c interface),,Acinetobacter baumannii,,,MIC,gt,128.0,,,ug/mL,0.0002993332818854255,3.523844992696716,inactive,inactive,broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,F1Fo-ATP synthase (Fo a/c interface),>128,ug/mL,broth microdilution (CLSI),negative_SAR_examples.csv,324,Acinetobacter baumannii BAA-2110,2,2,False
msr_3c142be5a489,DVUDEYVEBQKKMF-UHFFFAOYSA-N,WARD2024-1,Ward2024 compound 1,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,256.0,,,ug/mL,0.0007282678887912176,3.1377088387869465,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>256,μg/mL,broth microdilution,negative_SAR_examples.csv,180,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),2,2,False
msr_c10f88fa3257,GALJNXWUVQUDRC-UHFFFAOYSA-N,WARD2024-10,Ward2024 compound 10,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,64.0,,,ug/mL,0.00016260162601626016,3.788875115775417,inactive,moderate,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,224,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),3,2,False
msr_5593c9c9c7d5,GALJNXWUVQUDRC-UHFFFAOYSA-N,WARD2024-10,Ward2024 compound 10,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,64.0,,,ug/mL,0.00016260162601626016,3.788875115775417,inactive,moderate,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,64,μg/mL,broth microdilution,negative_SAR_examples.csv,226,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),3,3,False
msr_e2d32f809079,IIRFHYMEOYQCBC-UHFFFAOYSA-N,WARD2024-11,Ward2024 compound 11,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00037926824932146537,3.4210535130094466,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,230,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),4,2,False
msr_b1074a98c054,IIRFHYMEOYQCBC-UHFFFAOYSA-N,WARD2024-11,Ward2024 compound 11,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00037926824932146537,3.4210535130094466,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,231,Pseudomonas aeruginosa ATCC BAA 2109 (MDR),4,3,False
msr_16db35114b3c,IIRFHYMEOYQCBC-UHFFFAOYSA-N,WARD2024-11,Ward2024 compound 11,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00037926824932146537,3.4210535130094466,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,232,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),4,4,False
msr_0243c63b6853,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,WARD2024-12,Ward2024 compound 12,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00030948523900481157,3.5093600599609345,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,234,Pseudomonas aeruginosa PΔ6 (efflux knockout),5,2,False
msr_60e3c650b45f,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,WARD2024-12,Ward2024 compound 12,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00030948523900481157,3.5093600599609345,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,235,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),5,3,False
