measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_2314402804ec,WIIZWVCIJKGZOK-RKDXNWHRSA-N,CHLORAMPHENICOL,chloramphenicol,asy_27bed758bbbf,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,64.0,,,ug/mL,0.00019806147332978474,3.7031999946659515,inactive,moderate,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,reference_only,False,False,,MIC,whole cell,64,μg/mL,reference antibiotic,negative_SAR_examples.csv,171,Acinetobacter baumannii ATCC 17978,1,1,True
msr_26c388f5c1df,WIIZWVCIJKGZOK-RKDXNWHRSA-N,CHLORAMPHENICOL,chloramphenicol,asy_e11f968c976a,whole cell,,Acinetobacter baumannii,,,MIC,exact,64.0,,,ug/mL,0.00019806147332978474,3.7031999946659515,inactive,moderate,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,reference_only,False,False,,MIC,whole cell,64,μg/mL,reference antibiotic,negative_SAR_examples.csv,172,Acinetobacter baumannii ATCC 1605 (MDR),1,1,True
msr_917ff1842b48,WIIZWVCIJKGZOK-RKDXNWHRSA-N,CHLORAMPHENICOL,chloramphenicol,asy_b253ec7a23ea,whole cell,,Pseudomonas aeruginosa,,,MIC,exact,64.0,,,ug/mL,0.00019806147332978474,3.7031999946659515,inactive,moderate,reference antibiotic,10.1002/cmdc.202400952,https://doi.org/10.1002/cmdc.202400952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12091843/,Main article Table 1; Supporting Information Table S2,,reference_only,False,False,,MIC,whole cell,64,μg/mL,reference antibiotic,negative_SAR_examples.csv,173,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1,1,True
msr_a860796ab8cc,QOSSAOTZNIDXMA-UHFFFAOYSA-N,CHEMBL162598,DICYCLOHEXYLCARBODIIMIDE,asy_fe6241c1c4a8,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,percent_inhibition,exact,30.0,,,percent,,,intermediate,,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase assessed as reduction in total ATP conte,10.1016/j.bmc.2014.12.060,https://doi.org/10.1016/j.bmc.2014.12.060,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,Inhibition,F1Fo-ATP synthase,30.0,%,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase assessed as reduction in total ATP conte,ATP_target_expansion.csv,52,Mycobacterium tuberculosis unknown,1,1,True
msr_f97bec9fc5cf,PPDXHFIWMLVDEJ-UHFFFAOYSA-N,CHEMBL4101131,CHEMBL4101131,asy_33feb9809f99,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,30.0,,,nM,3.0000000000000004e-08,7.522878745280337,active,,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase by luminometer analysis,10.1016/j.bmc.2023.117504,https://doi.org/10.1016/j.bmc.2023.117504,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,30.0,nM,Inhibition of Mycobacterium tuberculosis H37Rv ATP synthase by luminometer analysis,ATP_target_expansion.csv,71,Mycobacterium tuberculosis unknown,1,1,True
msr_fc9b2e55c36b,GLDUIBJCIYJHOM-UHFFFAOYSA-N,CHEMBL3400982,CHEMBL3400982,asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,360.0,,,nM,3.6000000000000005e-07,6.443697499232712,active,,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,360.0,nM,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,ATP_target_expansion.csv,68,Mycobacterium tuberculosis unknown,1,1,True
msr_183c9932994e,ZZMUKOHGPLYJED-UHFFFAOYSA-N,CHEMBL3402627,CHEMBL3402627,asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,360.0,,,nM,3.6000000000000005e-07,6.443697499232712,active,,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,360.0,nM,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,ATP_target_expansion.csv,66,Mycobacterium tuberculosis unknown,1,1,True
msr_f61372af4b58,OCURKCGQDZTRPV-UHFFFAOYSA-N,CHEMBL3402629,CHEMBL3402629,asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,360.0,,,nM,3.6000000000000005e-07,6.443697499232712,active,,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,360.0,nM,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,ATP_target_expansion.csv,70,Mycobacterium tuberculosis unknown,1,1,True
msr_8d42859e21bb,FBCXCXWDAGLEIR-UHFFFAOYSA-N,CHEMBL3402630,CHEMBL3402630,asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,360.0,,,nM,3.6000000000000005e-07,6.443697499232712,active,,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,360.0,nM,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,ATP_target_expansion.csv,69,Mycobacterium tuberculosis unknown,1,1,True
msr_ee0446a0110b,NGGZHFTWSXZZMZ-UHFFFAOYSA-N,CHEMBL3402631,CHEMBL3402631,asy_b509a1f827a0,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,exact,360.0,,,nM,3.6000000000000005e-07,6.443697499232712,active,,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,B,reference_only,False,False,outside five source-verified primary assay series,IC50,F1Fo-ATP synthase,360.0,nM,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv,ATP_target_expansion.csv,67,Mycobacterium tuberculosis unknown,1,1,True
