pdb_id,title_rcsb,method,resolution_A,organism_project_annotation,is_acinetobacter_baumannii,all_nonpolymer_codes,all_nonpolymer_descriptions,modeled_inhibitor_codes,inhibitor_modeled,binding_site_project_annotation,primary_citation_title,journal,doi,year,rcsb_url,pdb_doi,direct_target_structure,docking_reference_status,validation_note
7P2Y,F1Fo-ATP synthase from Acinetobacter baumannii (state 1),ELECTRON MICROSCOPY,3.1,Acinetobacter baumannii ATCC 17978,True,ATP;MG;ADP;PO4,ATP:ADENOSINE-5'-TRIPHOSPHATE; MG:MAGNESIUM ION; ADP:ADENOSINE-5'-DIPHOSPHATE; PO4:PHOSPHATE ION,,False,Fo a/c interface region; c-ring Asp60 proton-binding site (project docking site),Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii.,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P2Y,10.2210/pdb7p2y/pdb,True,direct_target_apo_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7P3N,F1Fo-ATP synthase from Acinetobacter baumannii (state 2),ELECTRON MICROSCOPY,4.6,Acinetobacter baumannii ATCC 17978,True,ATP;MG;ADP,ATP:ADENOSINE-5'-TRIPHOSPHATE; MG:MAGNESIUM ION; ADP:ADENOSINE-5'-DIPHOSPHATE,,False,See cited article / source structure; original shorthand removed,Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii.,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P3N,10.2210/pdb7p3n/pdb,True,direct_target_apo_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7P3W,F1Fo-ATP synthase from Acinetobacter baumannii (state 3),ELECTRON MICROSCOPY,4.3,Acinetobacter baumannii ATCC 17978,True,ATP;MG;ADP,ATP:ADENOSINE-5'-TRIPHOSPHATE; MG:MAGNESIUM ION; ADP:ADENOSINE-5'-DIPHOSPHATE,,False,See cited article / source structure; original shorthand removed；本项目HTVS/对接所用参考结构,Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii.,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P3W,10.2210/pdb7p3w/pdb,True,direct_target_apo_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
1COW,BOVINE MITOCHONDRIAL F1-ATPASE COMPLEXED WITH AUROVERTIN B,X-RAY DIFFRACTION,3.1,Bos taurus,False,MG;ANP;ADP;AUR,MG:MAGNESIUM ION; ANP:PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER; ADP:ADENOSINE-5'-DIPHOSPHATE; AUR:AUROVERTIN B,AUR,True,F1 β亚基催化位点,The structure of bovine F1-ATPase complexed with the antibiotic inhibitor aurovertin B.,Proc.Natl.Acad.Sci.USA,10.1073/pnas.93.14.6913,1996,https://www.rcsb.org/structure/1COW,10.2210/pdb1cow/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
1EFR,BOVINE MITOCHONDRIAL F1-ATPASE COMPLEXED WITH THE PEPTIDE ANTIBIOTIC EFRAPEPTIN,X-RAY DIFFRACTION,3.1,Bos taurus,False,MG;ANP;ADP,MG:MAGNESIUM ION; ANP:PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER; ADP:ADENOSINE-5'-DIPHOSPHATE,,False,F1 α/β 催化区 (γ轴界面),The Structure of Bovine F1-ATPase Complexed with the Peptide Antibiotic Efrapeptin.,Proc.Natl.Acad.Sci.USA,10.1073/PNAS.93.18.9420,1996,https://www.rcsb.org/structure/1EFR,10.2210/pdb1efr/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
2JIZ,The Structure of F1-ATPase inhibited by resveratrol.,X-RAY DIFFRACTION,2.3,Bos taurus,False,ANP;MG;GOL;ADP;AZI;PO4;STL,ANP:PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER; MG:MAGNESIUM ION; GOL:GLYCEROL; ADP:ADENOSINE-5'-DIPHOSPHATE; AZI:AZIDE ION; PO4:PHOSPHATE ION; STL:RESVERATROL,STL,True,F1 (α3β3-γ界面),Mechanism of Inhibition of Bovine F1-ATPase by Resveratrol and Related Polyphenols.,Proc.Natl.Acad.Sci.USA,10.1073/PNAS.0706290104,2007,https://www.rcsb.org/structure/2JIZ,10.2210/pdb2jiz/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
3U2F,ATP synthase c10 ring in proton-unlocked conformation at PH 8.3,X-RAY DIFFRACTION,2.0,Saccharomyces cerevisiae,False,,,,False,c10 ring; cGlu59 (DCCD修饰位点),Structure of the c(10) ring of the yeast mitochondrial ATP synthase in the open conformation.,Nat.Struct.Mol.Biol.,10.1038/nsmb.2284,2012,https://www.rcsb.org/structure/3U2F,10.2210/pdb3u2f/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
4F4S,Structure of the yeast F1Fo ATPase c10 ring with bound oligomycin,X-RAY DIFFRACTION,1.9,Saccharomyces cerevisiae,False,EFO,EFO:Oligomycin A,EFO,True,c10 ring 质子结合位点 (cGlu59),Oligomycin frames a common drug-binding site in the ATP synthase.,Proc.Natl.Acad.Sci.USA,10.1073/pnas.1207912109,2012,https://www.rcsb.org/structure/4F4S,10.2210/pdb4f4s/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
4V1F,Crystal structure of a mycobacterial ATP synthase rotor ring in complex with Bedaquiline,X-RAY DIFFRACTION,1.697,Mycolicibacterium phlei,False,BQ1;BOG,BQ1:Bedaquiline; BOG:octyl beta-D-glucopyranoside,BQ1,True,"Fo c-ring (c9) 质子结合位点, cGlu65 (M. phlei)",Structure of the mycobacterial ATP synthase Fo rotor ring in complex with the anti-TB drug bedaquiline.,Sci Adv,10.1126/sciadv.1500106,2015,https://www.rcsb.org/structure/4V1F,10.2210/pdb4v1f/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
4V1G,Crystal structure of a mycobacterial ATP synthase rotor ring,X-RAY DIFFRACTION,1.55,Mycolicibacterium phlei,False,BOG,BOG:octyl beta-D-glucopyranoside,,False,c-ring,Structure of the Mycobacterial ATP Synthase Fo Rotor Ring in Complex with the Anti-Tb Drug Bedaquiline.,Sci.Adv.,10.1126/SCIADV.1500106,2015,https://www.rcsb.org/structure/4V1G,10.2210/pdb4v1g/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
4V1H,Crystal structure of a mycobacterial ATP synthase rotor ring in complex with Iodo-Bedaquiline,X-RAY DIFFRACTION,1.8,Mycolicibacterium phlei,False,IBQ;TAM,IBQ:IODO-BEDAQUILINE; TAM:TRIS(HYDROXYETHYL)AMINOMETHANE,IBQ,True,"Fo c-ring, 同4V1F",Structure of the Mycobacterial ATP Synthase Fo Rotor Ring in Complex with Iodo-Bedaquiline,To be Published,,,https://www.rcsb.org/structure/4V1H,10.2210/pdb4v1h/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
6CP5,Monomer yeast ATP synthase Fo reconstituted in nanodisc with inhibitor of oligomycin bound generated from focused refinement.,ELECTRON MICROSCOPY,4.2,Saccharomyces cerevisiae S288C,False,EFO,EFO:Oligomycin A,EFO,True,Fo c-ring (nanodisc),High-resolution cryo-EM analysis of the yeast ATP synthase in a lipid membrane.,Science,10.1126/science.aas9699,2018,https://www.rcsb.org/structure/6CP5,10.2210/pdb6cp5/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
6CP7,Monomer yeast ATP synthase Fo reconstituted in nanodisc generated from masked refinement.,ELECTRON MICROSCOPY,4.1,Saccharomyces cerevisiae S288C,False,,,,False,Fo (nanodisc),High-resolution cryo-EM analysis of the yeast ATP synthase in a lipid membrane.,Science,10.1126/science.aas9699,2018,https://www.rcsb.org/structure/6CP7,10.2210/pdb6cp7/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
6WTD,Monomer yeast ATP synthase Fo reconstituted in nanodisc with inhibitor of Bedaquiline bound,ELECTRON MICROSCOPY,4.2,Saccharomyces cerevisiae,False,,,,False,Fo a/c interface; cGlu59/cPhe64 (酵母),Bedaquiline inhibits the yeast and human mitochondrial ATP synthases.,Commun Biol,10.1038/s42003-020-01173-z,2020,https://www.rcsb.org/structure/6WTD,10.2210/pdb6wtd/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JG5,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 1,ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,False,ATP;MG;PO4;ADP,ATP:ADENOSINE-5'-TRIPHOSPHATE; MG:MAGNESIUM ION; PO4:PHOSPHATE ION; ADP:ADENOSINE-5'-DIPHOSPHATE,,False,rotational state 1,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG5,10.2210/pdb7jg5/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JG6,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 2 (backbone model),ELECTRON MICROSCOPY,3.7,Mycolicibacterium smegmatis,False,,,,False,rotational state 2,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG6,10.2210/pdb7jg6/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JG7,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 3 (backbone model),ELECTRON MICROSCOPY,3.5,Mycolicibacterium smegmatis,False,,,,False,rotational state 3,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG7,10.2210/pdb7jg7/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JG8,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase rotational state 1 (backbone model),ELECTRON MICROSCOPY,3.3,Mycolicibacterium smegmatis,False,BQ1,BQ1:Bedaquiline,BQ1,True,"Fo a/c interface + c-ring, cGlu65区域",Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG8,10.2210/pdb7jg8/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JG9,Cryo-EM structure of bedaquiline-saturated mycobacterium smegmatis ATP synthase rotational state 2 (backbone model),ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,False,BQ1,BQ1:Bedaquiline,BQ1,True,See cited article / source structure; original shorthand removed,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG9,10.2210/pdb7jg9/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JGA,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase rotational state 3,ELECTRON MICROSCOPY,3.2,Mycolicibacterium smegmatis,False,ATP;MG;ADP;PO4;BQ1,ATP:ADENOSINE-5'-TRIPHOSPHATE; MG:MAGNESIUM ION; ADP:ADENOSINE-5'-DIPHOSPHATE; PO4:PHOSPHATE ION; BQ1:Bedaquiline,BQ1,True,See cited article / source structure; original shorthand removed,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGA,10.2210/pdb7jga/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JGB,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase FO region,ELECTRON MICROSCOPY,3.5,Mycolicibacterium smegmatis,False,,,,False,Fo region,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGB,10.2210/pdb7jgb/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
7JGC,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase FO region,ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,False,BQ1,BQ1:Bedaquiline,BQ1,True,Fo a/c interface,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline.,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGC,10.2210/pdb7jgc/pdb,False,homolog_reference,"RCSB entry API used for title, method, resolution, citation, and modeled nonpolymer entities"
