anchor_compound_key,anchor_compound_id,anchor_organisms,neighbor_rank,neighbor_compound_key,neighbor_compound_id,neighbor_organisms,tanimoto_morgan_r2_2048,fingerprint_definition
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,1,GALJNXWUVQUDRC-UHFFFAOYSA-N,WARD2024-10,Pseudomonas aeruginosa,0.978261,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,2,LKLACXNGVWXYAW-UHFFFAOYSA-N,WARD2024-6,Pseudomonas aeruginosa,0.934783,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,3,BAVNIUAXBSRCQM-UHFFFAOYSA-N,WARD2024-7,Pseudomonas aeruginosa,0.734694,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,4,OUUCQDAKDZWOHC-UHFFFAOYSA-N,WARD2024-9,Pseudomonas aeruginosa,0.72,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,5,BMTCMYDFINDWQK-UHFFFAOYSA-N,WARD2024-5,Pseudomonas aeruginosa,0.68,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,6,SSOJQSHUAQGPLD-UHFFFAOYSA-N,WSA250,Acinetobacter baumannii;Pseudomonas aeruginosa,0.631579,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,7,YEMLSUARMQTHJO-UHFFFAOYSA-N,WSA249,Acinetobacter baumannii;Pseudomonas aeruginosa,0.55,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,8,DVUDEYVEBQKKMF-UHFFFAOYSA-N,WARD2024-1,Pseudomonas aeruginosa,0.508772,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,9,NLTZNXHLSWPGMA-UHFFFAOYSA-N,WSA257,Acinetobacter baumannii;Pseudomonas aeruginosa,0.507692,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
APMKTVCBYUVFFM-UHFFFAOYSA-N,WARD2024-8,Pseudomonas aeruginosa,10,IIRFHYMEOYQCBC-UHFFFAOYSA-N,WARD2024-11,Pseudomonas aeruginosa,0.491228,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
AVMFLQZOZFHZLB-UHFFFAOYSA-N,WSA276,Acinetobacter baumannii,1,XQBWCRMKNUAPEC-UHFFFAOYSA-N,WSA280,Acinetobacter baumannii,0.816667,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
AVMFLQZOZFHZLB-UHFFFAOYSA-N,WSA276,Acinetobacter baumannii,2,JWHCVPMRQDOIHA-UHFFFAOYSA-N,WSA278,Acinetobacter baumannii,0.777778,"RDKit Morgan radius=2, fpSize=2048, canonical isomeric SMILES"
