compound_id,historical_alias,canonical_smiles,glide_docking_score,glide_emodel,glide_ligand_efficiency,static_mmgbsa_dg_bind,docking_feature_source,static_mmgbsa_source,static_mmgbsa_protocol,static_mmgbsa_role,is_internal_training_candidate,md_system_id,md_protein,md_trajectory_status,md_mmgbsa_status,md_mmgbsa_frame_count,md_mmgbsa_mean,md_mmgbsa_sd,md_mmgbsa_median,md_mmgbsa_q25,md_mmgbsa_q75,md_mmgbsa_min,md_mmgbsa_max,md_mmgbsa_source,md_interaction_source,md_contact_frame_count,md_hbond_event_count_per_frame,md_hbond_occupied_frame_fraction,md_hydrophobic_event_count_per_frame,md_hydrophobic_occupied_frame_fraction,md_ionic_event_count_per_frame,md_ionic_occupied_frame_fraction,md_pi_cation_event_count_per_frame,md_pi_cation_occupied_frame_fraction,md_pi_pi_event_count_per_frame,md_pi_pi_occupied_frame_fraction,md_waterbridge_event_count_per_frame,md_waterbridge_occupied_frame_fraction,md_halogen_event_count_per_frame,md_halogen_occupied_frame_fraction,md_metal_event_count_per_frame,md_metal_occupied_frame_fraction,md_source_corruption_flag,md_interaction_status,md_used_in_model_v3,md_training_exclusion_reason
ATP-SMI-15737353FB69,Hit7,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,-8.11191224598807,-77.2412033081055,-0.238585654293767,-51.42,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-4417138BF81D,Hit17,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,-8.58843526811927,-71.4368526334096,-0.286281175603976,-33.54,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-5B36D3E11A3B,Hit13,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,-8.18448236860633,-74.4740266823023,-0.282223529951942,-44.13,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-5D3E7B6B6796,Hit4,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,-8.07246311561382,-84.9943036139564,-0.260402035987542,-54.81,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-775D33706F04,Hit14,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,-8.47125394301545,-74.5937162350243,-0.292112204931567,-43.0,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-874C2DE25FE4,Hit3,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,-8.42196401327989,-80.4485321044922,-0.240627543236568,-56.37,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,SYS-MD-HIT-001,7P3W,incomplete,available_case_evidence,1000.0,-48.693997187499996,3.4205293010260576,-48.554298509999995,-50.948372912500005,-46.5354279875,-59.21213328,-34.6587762,作图/作图/1-阳性化合物和蛋白的MD/图-3/Hit.csv,作图/作图/3-新型苗头有化合物和蛋白复合物的MD/图-1/raw-data,10000.0,2.021,0.9993,0.6453,0.5281,1.0148,0.9846,0.0025,0.0025,0.0,0.0,1.8253,0.9132,0.0,0.0,0.0,0.0,False,available_case_evidence,False,MD interaction/MMGBSA coverage is 1 of 17 internal candidates; case evidence only
ATP-SMI-91E7552C2382,Hit16,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,-8.50768563789492,-75.8106347948705,-0.283589521263164,-34.76,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-94F73967C042,Hit12,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,-8.34211914130707,-67.3346474415628,-0.278070638043569,-44.48,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-96FD6257D8BA,Hit5,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,-8.37304414520958,-77.6486752712708,-0.24626600427087,-52.9,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
ATP-SMI-9DA3213A09E8,Hit1,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,-8.12068275383396,-83.9936904907227,-0.261957508188192,-57.51,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv,VSW_static_pose_MMGBSA_lower_is_better,training_label_only,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_available,False,No same-protocol MD feature block for this compound
