compound_id,canonical_smiles,scaffold,internal_scaffold_size,scaffold_seen_in_known_inhibitors,similarity_to_known_inhibitor,nearest_known_inhibitor_id,nearest_reference_activity_type,nearest_reference_unit,nearest_reference_source,similarity_metric,reference_set_size,reference_evidence
ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2,0,0.1625,CHEMBL4101131,IC50,nM,ChEMBL,"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-4417138BF81D,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1,0,0.3013698630136986,STEED2022-8,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-5B36D3E11A3B,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,4,0,0.21518987341772153,STEED2022-8,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,2,0,0.21505376344086022,CHEMBL3402629,IC50,nM,ChEMBL,"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-775D33706F04,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1,0,0.1686746987951807,CHEMBL3752792,IC50,nM,ChEMBL,"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2,0,0.1553398058252427,WSA289,IC50 (ATP synthesis inhibition),ng/mL,Literature (ACS Omega 2025),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-91E7552C2382,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,2,0,0.2077922077922078,CHEMBL3754673,IC50,nM,ChEMBL,"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-94F73967C042,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,1,0,0.19753086419753085,STEED2022-8,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1,0,0.2,CHEMBL4101131,IC50,nM,ChEMBL,"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,1,0,0.17647058823529413,STEED2022-8,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,4,0,0.1744186046511628,STEED2022-17,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
ATP-SMI-C3308BEE03AC,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,4,0,0.1951219512195122,STEED2022-8,"IC50 (ATP synthesis, inverted membrane vesicles)",ug/mL,Literature (ACS Omega 2022),"Morgan radius=2, 1024 bit, chirality=True; Tanimoto",55,source-traceable external direct ATP assay; not internally confirmed
