canonical_id,historical_alias,structure_file,smiles,source,confidence
ATP-CHAR-466,466,,,表征/466-H1-D2O.pdf;表征/466-H1-DMSO.pdf;表征/466-LCMS.pdf,source_alias_only
ATP-HIT-MD-001,HIT;ATP-Top1-MD2,,,作图/作图/1-阳性化合物和蛋白的MD/图-3/Hit.csv;运行/运行/ATP-Top1-MD2/MD.cms,source_alias_only
ATP-HTVS-0009DAEDE04F,79971;rxn502b____EMOL6884260____EMOL7515103____EMOL712348,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-0015C54A99C8,82625;rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,source_structure_record
ATP-HTVS-003E4D952AAC,76899;rxn502b____EMOL5415347____EMOL13728749____EMOL725587,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-005EEA24BFEA,69987;rxn502b____EMOL5415347____EMOL44466703____EMOL24630243,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-0063E4174F09,34081;m_270004bda____24170338____19565760,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,source_structure_record
ATP-HTVS-0079D40D2121,29921;m_2230bbb____22404310____7471132,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,source_structure_record
ATP-HTVS-007D6F34F923,30817;m_282030aaa____21928560____23157418____21973156,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,source_structure_record
ATP-HTVS-00C8034698A8,34403;m_270004bbb____15775648____24720718,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-00F86A54285D,38369;m_282030aaa____21930538____22360182____21973156,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,source_structure_record
ATP-HTVS-011A966B3F21,59203;m_269862bba____21537480____13192834,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-0125A5267C6C,70530;rxn502b____EMOL490868____EMOL7515103____EMOL2873214,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,source_structure_record
ATP-HTVS-0161AEC2E23E,48867;m_269862bba____24386160____7200598,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-017DA1C05B1D,98562;rxn503b____EMOL3801098____EMOL7515103____EMOL1468452,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,source_structure_record
ATP-HTVS-01DF3EF44742,99137;rxn514b____EMOL483896____EMOL17240199____EMOL4279023,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,source_structure_record
