canonical_id,stage,score,source_file
ATP-SMI-15737353FB69,ADMET,6,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-1EDF03AEDEF9,ADMET,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-4417138BF81D,ADMET,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-5B36D3E11A3B,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-5D3E7B6B6796,ADMET,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-775D33706F04,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-874C2DE25FE4,ADMET,5,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-91E7552C2382,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-94F73967C042,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-96FD6257D8BA,ADMET,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-9DA3213A09E8,ADMET,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-BF69AB71C1A4,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-C3308BEE03AC,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-C93E6EC67CDB,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-CDED936B42F4,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-CFA68A98711F,ADMET,9,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-E9798004BA11,ADMET,6,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-SMI-FCA9CDF3313B,ADMET,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx
ATP-HTVS-0009DAEDE04F,HTVS,-3.58525470579908,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0015C54A99C8,HTVS,-3.84066710724475,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,HTVS,-3.81260017118305,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,HTVS,-2.40302535148596,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,HTVS,-2.01163726220462,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,HTVS,-1.77691793567558,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0015C54A99C8,HTVS,-1.53762116704211,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-003E4D952AAC,HTVS,-4.13615387037502,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,HTVS,-3.96135753394356,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,HTVS,-3.85093500462413,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,HTVS,-2.81232717105313,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,HTVS,-2.64512268532993,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-003E4D952AAC,HTVS,-1.87142440865764,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-005EEA24BFEA,HTVS,-4.35640294669943,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-005EEA24BFEA,HTVS,-3.1840549499627,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-005EEA24BFEA,HTVS,-2.07302556697141,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-005EEA24BFEA,HTVS,-1.53574588154644,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0063E4174F09,HTVS,-1.03468293307069,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0063E4174F09,HTVS,0.239290636197166,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0079D40D2121,HTVS,-3.34092399123274,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-007D6F34F923,HTVS,-3.4850388695678,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-007D6F34F923,HTVS,-3.02953822153422,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-007D6F34F923,HTVS,-1.74647551840086,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-007D6F34F923,HTVS,-1.57402555235185,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-00C8034698A8,HTVS,-5.81163963281027,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-00C8034698A8,HTVS,-4.34088550229078,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-00F86A54285D,HTVS,-3.90724208104371,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-00F86A54285D,HTVS,-1.9767386256534,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-00F86A54285D,HTVS,-1.79643206351916,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-011A966B3F21,HTVS,-5.69314528862896,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-011A966B3F21,HTVS,-2.09746892073619,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
