record_id,compound_id,canonical_smiles,organism,strain,target,activity_type,activity_value,comparator,unit,assay_mode,replicate_id,assay_protocol_id,experimental_date,operator,reference,qc_status,evidence_type,evidence_file,evidence_sha256,dataset_role
,ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,,,,,,,,,,,,,,,,,,
,ATP-SMI-4417138BF81D,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,,,,,,,,,,,,,,,,,,
,ATP-SMI-5B36D3E11A3B,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,,,,,,,,,,,,,,,,,,
,ATP-SMI-775D33706F04,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,,,,,,,,,,,,,,,,,,
,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-91E7552C2382,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-94F73967C042,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,,,,,,,,,,,,,,,,,,
,ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,,,,,,,,,,,,,,,,,,
,ATP-SMI-C3308BEE03AC,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-C93E6EC67CDB,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-CDED936B42F4,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,,,,,,,,,,,,,,,,,,
,ATP-SMI-CFA68A98711F,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,,,,,,,,,,,,,,,,,,
,ATP-SMI-E9798004BA11,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,,,,,,,,,,,,,,,,,,
,ATP-SMI-FCA9CDF3313B,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,,,,,,,,,,,,,,,,,,
