compound_id,historical_alias,canonical_smiles,scaffold,organism,strain,target,target_protein_id,assay_type,activity_type,activity_value,comparator,lower_bound,upper_bound,unit,replicate_id,assay_protocol_id,experimental_date,operator,reference,qc_status,notes,evidence_type
ATP-SMI-15737353FB69,Hit7,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-4417138BF81D,Hit17,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-5B36D3E11A3B,Hit13,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-5D3E7B6B6796,Hit4,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-775D33706F04,Hit14,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-874C2DE25FE4,Hit3,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-91E7552C2382,Hit16,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-94F73967C042,Hit12,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-96FD6257D8BA,Hit5,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-9DA3213A09E8,Hit1,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-BF69AB71C1A4,Hit8,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-C3308BEE03AC,Hit10,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-C93E6EC67CDB,Hit2,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-CDED936B42F4,Hit11,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-CFA68A98711F,Hit15,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-E9798004BA11,Hit6,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
ATP-SMI-FCA9CDF3313B,Hit9,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,Acinetobacter baumannii,,,,,,,,,,,,,,,,,,experimental_pending
