acquisition_id,canonical_id,compound_code,title,variant,pose_index,source_file,priority,wave,selection_arm,exported_structure_file,canonical_smiles,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ-0001,ATP-HTVS-66618B00A972,44098,m_270004bbb____24792670____7548988,44098-1,2,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,exploitation,,,,,,,,,,,
ATP-ACQ-0002,ATP-HTVS-40E764CABCB1,58370,m_66bab____89518____10970556,58370-1,346,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0003,ATP-HTVS-442C36D59863,49602,m_270004bbb____21660890____8300602,49602-1,47,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,score_calibration,,,,,,,,,,,
ATP-ACQ-0004,ATP-HTVS-780990BE0E68,83747,rxn503b____EMOL519605____EMOL7515103____EMOL317509042,83747-3,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P0,1,exploitation,,,,,,,,,,,
ATP-ACQ-0005,ATP-HTVS-837D7A211A0E,67522,m_282030aaa____21928106____22360182____21950844,67522-1,982,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0006,ATP-HTVS-45A004EDB829,35234,m_2230bbb____8627194____7471132,35234-2,48,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,score_calibration,,,,,,,,,,,
ATP-ACQ-0007,ATP-HTVS-D6043925B579,66273,m_270004bbb____16500566____7548060,66273-2,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P0,1,exploitation,,,,,,,,,,,
ATP-ACQ-0008,ATP-HTVS-43E54E69D2FC,49761,m_2230bdc____14772912____666388,49761-2,1331,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P0,1,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0009,ATP-HTVS-1402A7ED8177,450,YAS_R004____OTV1509977____OTV7113231893____OTV7020431351,450-1,112,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,score_calibration,,,,,,,,,,,
ATP-ACQ-0010,ATP-HTVS-6EF9F712D3BB,38274,m_270004bbb____8288884____20640242,38274-1,10,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P0,1,exploitation,,,,,,,,,,,
