acquisition_id_v2,canonical_id,compound_code,title,variant,canonical_smiles,scaffold,priority_v2,wave_v2,selection_arm_v2,source_file,structure_collection_file,structure_record_name,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ2-0001,ATP-HTVS-66618B00A972,44098,m_270004bbb____24792670____7548988,44098-1,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0001,,,,,,,,,
ATP-ACQ2-0002,ATP-HTVS-F0EA8E73CD83,77665,rxn512b____EMOL49832880____EMOL44846536____EMOL2873214,77665-1,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N(CC[NH3+])c3ccc(Cl)cc3)sc2Cl)c1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0002,,,,,,,,,
ATP-ACQ2-0003,ATP-HTVS-FDB0F1EC6F74,93059,rxn512b____EMOL525124____EMOL49775718____EMOL6185419,93059-2,CSCCNC(=O)c1cccc(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)c1F,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0003,,,,,,,,,
ATP-ACQ2-0004,ATP-HTVS-780990BE0E68,83747,rxn503b____EMOL519605____EMOL7515103____EMOL317509042,83747-3,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0004,,,,,,,,,
ATP-ACQ2-0005,ATP-HTVS-D78134F4C173,91073,rxn512b____EMOL509166____EMOL720738____EMOL2873214,91073-1,CC[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)cs1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0005,,,,,,,,,
ATP-ACQ2-0006,ATP-HTVS-77ED8C900CC0,79747,rxn502b____EMOL535380____EMOL30488121____EMOL8314610,79747-4,O=C(Nc1c[nH+]c2ccccc2c1Nc1ccc(NCCO)cc1)[C@@H](Br)c1ccccc1,O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1Nc1ccccc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0006,,,,,,,,,
ATP-ACQ2-0007,ATP-HTVS-D6043925B579,66273,m_270004bbb____16500566____7548060,66273-2,O[C@H](C[NH2+]Cc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1F,c1ccc(CC[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0007,,,,,,,,,
ATP-ACQ2-0008,ATP-HTVS-1C066C79A7D0,44515,m_270004bbb____23846038____24720040,44515-2,COc1cc(C[NH2+]C[C@@H](C[NH+](C)C)c2ccccc2)cc(O)c1OCc1ccccc1,c1ccc(CC[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0008,,,,,,,,,
ATP-ACQ2-0009,ATP-HTVS-84C0F320BB18,20865,N-ArylationHeterocycle____206845508____45772004,20865-1,O/N=C(/Cc1nc2ccccc2n1/C=C/c1ccc(F)cc1)c1ccccc1,N=C(Cc1nc2ccccc2n1C=Cc1ccccc1)c1ccccc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0009,,,,,,,,,
ATP-ACQ2-0010,ATP-HTVS-6EF9F712D3BB,38274,m_270004bbb____8288884____20640242,38274-1,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(Oc3ccc(Br)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(Oc3ccccc3)nc2)cc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0010,,,,,,,,,
