canonical_id,historical_alias,smiles,model,observed_score,predicted_score,observed_rank,predicted_rank
ATP-SMI-15737353FB69,,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,lightgbm,-51.42,-56.21691808176323,7,1
ATP-SMI-C93E6EC67CDB,,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,lightgbm,-56.56,-54.791062010137395,2,2
ATP-SMI-5D3E7B6B6796,,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,lightgbm,-54.81,-54.56996141250029,4,3
ATP-SMI-FCA9CDF3313B,,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,lightgbm,-48.88,-53.63626917652174,9,4
ATP-SMI-9DA3213A09E8,,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,lightgbm,-57.51,-53.13348018534351,1,5
ATP-SMI-E9798004BA11,,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,lightgbm,-51.99,-52.9964938253275,6,6
ATP-SMI-96FD6257D8BA,,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,lightgbm,-52.9,-51.91496431821652,5,7
ATP-SMI-874C2DE25FE4,,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,lightgbm,-56.37,-51.58067401128556,3,8
ATP-SMI-4417138BF81D,,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,lightgbm,-33.54,-49.36265335330995,17,9
ATP-SMI-91E7552C2382,,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,lightgbm,-34.76,-48.18930019294806,16,10
ATP-SMI-BF69AB71C1A4,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,lightgbm,-51.01,-48.0294603828231,8,11
ATP-SMI-C3308BEE03AC,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,lightgbm,-48.06,-45.416505737819655,10,12
ATP-SMI-94F73967C042,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,lightgbm,-44.48,-45.01163907157035,12,13
ATP-SMI-775D33706F04,,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,lightgbm,-43.0,-44.889799000811585,14,14
ATP-SMI-CFA68A98711F,,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,lightgbm,-37.5,-44.00009813569907,15,15
ATP-SMI-5B36D3E11A3B,,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,lightgbm,-44.13,-41.9358886663388,13,16
ATP-SMI-CDED936B42F4,,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,lightgbm,-47.89,-37.31826441150566,11,17
ATP-SMI-15737353FB69,,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,random_forest,-51.42,-51.82842419624814,7,1
ATP-SMI-874C2DE25FE4,,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,random_forest,-56.37,-50.68069041275393,3,2
ATP-SMI-96FD6257D8BA,,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,random_forest,-52.9,-50.67814280952385,5,3
ATP-SMI-91E7552C2382,,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,random_forest,-34.76,-50.08958592296594,16,4
ATP-SMI-4417138BF81D,,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,random_forest,-33.54,-48.787754001554006,17,5
ATP-SMI-94F73967C042,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,random_forest,-44.48,-48.58403503968249,12,6
ATP-SMI-C93E6EC67CDB,,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,random_forest,-56.56,-47.88831863997115,2,7
ATP-SMI-E9798004BA11,,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,random_forest,-51.99,-47.84819574314569,6,8
ATP-SMI-FCA9CDF3313B,,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,random_forest,-48.88,-47.611998036796585,9,9
ATP-SMI-CFA68A98711F,,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,random_forest,-37.5,-47.55598373232326,15,10
ATP-SMI-5B36D3E11A3B,,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,random_forest,-44.13,-47.404415156898644,13,11
ATP-SMI-775D33706F04,,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,random_forest,-43.0,-47.30642878860025,14,12
ATP-SMI-C3308BEE03AC,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,random_forest,-48.06,-47.196068795454515,10,13
ATP-SMI-BF69AB71C1A4,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,random_forest,-51.01,-46.86819941269847,8,14
ATP-SMI-9DA3213A09E8,,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,random_forest,-57.51,-46.5549630313853,1,15
ATP-SMI-5D3E7B6B6796,,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,random_forest,-54.81,-45.018560211954785,4,16
