canonical_id,historical_alias,docking_score,rank,score_source
ATP-HTVS-AC71774ACC4B,91074;rxn512b____EMOL44391395____EMOL720738____EMOL50155899,-6.96005044741765,1,HTVS
ATP-HTVS-780990BE0E68,83747;rxn503b____EMOL519605____EMOL7515103____EMOL317509042,-6.80803117503607,2,HTVS
ATP-HTVS-66618B00A972,44098;m_270004bbb____24792670____7548988,-6.72891028700809,3,HTVS
ATP-HTVS-D6043925B579,66273;m_270004bbb____16500566____7548060,-6.72217226588382,4,HTVS
ATP-HTVS-65F4836C7042,84577;rxn503c____EMOL478035____EMOL49259969____EMOL313110234,-6.71312251253104,5,HTVS
ATP-HTVS-CEDCE5F1BEB7,20034;WXDL_15E____QS5063____LN00244457____BT0555,-6.66143670294278,6,HTVS
ATP-HTVS-AD7FBCC01633,85217;rxn503b____EMOL521529____EMOL44466703____EMOL313110234,-6.49299466235293,7,HTVS
ATP-HTVS-2AD5F3716208,34434;m_269862bba____8257516____13192834,-6.46875032106379,8,HTVS
ATP-HTVS-99483DBEAA78,20963;Shen____49239300____93458992____40180766,-6.3660091336744,9,HTVS
ATP-HTVS-B0A71AB87D72,74467;rxn512b____EMOL714785____EMOL44846536____EMOL2873214,-6.3559887442052,10,HTVS
ATP-HTVS-3B3954EE8C13,84897;rxn503b____EMOL32279559____EMOL13728749____EMOL313110234,-6.32225078624524,11,HTVS
ATP-HTVS-8F383301D999,83458;rxn503b____EMOL299973501____EMOL44466703____EMOL313110234,-6.30624062048678,12,HTVS
ATP-HTVS-DDBB6FEB6103,43170;m_270004bbb____15722580____21435080,-6.29318849134732,13,HTVS
ATP-HTVS-D7583D638CF7,84707;rxn513b____EMOL108753565____EMOL719673____EMOL32444451,-6.28779750813501,14,HTVS
ATP-HTVS-98E751432A52,90242;rxn502a____EMOL530803____EMOL44820718____EMOL2873214,-6.28735821177687,15,HTVS
ATP-HTVS-60D4F7FF4B6B,48865;m_270004beb____23853920____7548658,-6.28370093518969,16,HTVS
ATP-HTVS-6EF9F712D3BB,38274;m_270004bbb____8288884____20640242,-6.27229934947262,17,HTVS
ATP-HTVS-54A1786C1F00,83457;rxn503b____EMOL491815____EMOL44466703____EMOL313110234,-6.26897481874173,18,HTVS
ATP-HTVS-F8BD3C119C5E,34435;m_269862dba____8258832____13192834,-6.25521085706323,19,HTVS
ATP-HTVS-1449F4F4BA71,89058;rxn102c____EMOL36904858____EMOL195078550,-6.21958526920677,20,HTVS
ATP-HTVS-D1462A8BE621,82146;rxn503b____EMOL495084____EMOL13728749____EMOL1197208,-6.20349380011338,21,HTVS
ATP-HTVS-E14A9B461B4E,20705;Shen____49239300____25682261____40180766,-6.20297626676873,22,HTVS
ATP-HTVS-E71202E475AE,88195;rxn203____EMOL44691345____EMOL42077534,-6.19841322737428,23,HTVS
ATP-HTVS-92BA88CED8DA,20033;WXDL_15E____QS5063____LN00174727____BT2076,-6.1795954276148,24,HTVS
ATP-HTVS-C188770C1FD9,20962;Shen____49239300____48860522____40180766,-6.16994376737702,25,HTVS
ATP-HTVS-CB3D9B3FDDC1,36449;m_2708bba____23824234____12219706,-6.14683554395361,26,HTVS
ATP-HTVS-F08817EB9A7A,20546;WXDL_15E____QS1365____LN00190257____BT1646,-6.13430839064474,27,HTVS
ATP-HTVS-AD7FACE11FDD,91810;rxn512b____EMOL45491381____EMOL337714226____EMOL712348,-6.12358752538851,28,HTVS
ATP-HTVS-8E3D409F2843,55746;m_270004bbb____15775648____7548658,-6.11799496353664,29,HTVS
ATP-HTVS-8E1A44B1E9FD,75361;rxn502b____EMOL480530____EMOL30488121____EMOL50274538,-6.11153668182053,30,HTVS
ATP-HTVS-20B250E7AB9A,20673;Shen____49239300____723237____40180766,-6.11096576140097,31,HTVS
ATP-HTVS-3FEB13A0176D,79265;rxn403____EMOL44390368____EMOL720244____EMOL1197208,-6.10497051782088,32,HTVS
ATP-HTVS-4B144E96CFBE,75490;rxn502b____EMOL488417____EMOL7515103____EMOL108753565,-6.09847068944256,33,HTVS
ATP-HTVS-D65E1879A1C4,90530;rxn514b____EMOL530647____EMOL1836585____EMOL2732950,-6.09719447125168,34,HTVS
ATP-HTVS-6B0687E57A6A,39265;m_2230beb____22393922____14187374,-6.08880138359782,35,HTVS
ATP-HTVS-8095E17D3127,20707;Shen____49239300____25682265____40180766,-6.0765389489099,36,HTVS
ATP-HTVS-081D95190B15,78402;rxn503b____EMOL530803____EMOL13728749____EMOL313110234,-6.07449494060147,37,HTVS
ATP-HTVS-0F3A12BD04AB,91361;rxn502b____EMOL92488516____EMOL30488121____EMOL324170366,-6.07159898960278,38,HTVS
ATP-HTVS-2C5504015D66,57538;m_269862dba____8258838____13192834,-6.06653263710345,39,HTVS
ATP-HTVS-3E71027F124F,67650;m_270004bbb____24792678____7547234,-6.04277285789881,40,HTVS
ATP-HTVS-E3E3C457ADC4,20867;N-ArylationHeterocycle____96400727____6834858,-6.02590230095753,41,HTVS
ATP-HTVS-41EB9DEAB7C9,91683;rxn512c____EMOL530647____EMOL523944____EMOL906257,-6.00527091150475,42,HTVS
ATP-HTVS-B989B97EF6F5,36002;m_270004bbb____8288962____24714512,-5.98566530002566,43,HTVS
ATP-HTVS-DF8AF7E8BFB3,30433;m_270004bbb____12219716____9143636,-5.97841732994679,44,HTVS
ATP-HTVS-05A72EDFB57A,38883;m_270004cbb____12219716____10544606,-5.97314811529865,45,HTVS
ATP-HTVS-464DF81034BD,92994;rxn512c____EMOL511441____EMOL44845843____EMOL2873214,-5.9427851521281,46,HTVS
ATP-HTVS-0F6915EAEEA3,79267;rxn207____EMOL46100666____EMOL50155899,-5.92798196044923,47,HTVS
ATP-HTVS-B31ECD8B9A27,61603;m_270006bbb____11732418____8405714,-5.92766230536446,48,HTVS
ATP-HTVS-F308899F49E6,52515;m_270004bbb____23868358____11947658,-5.90641594276411,49,HTVS
ATP-HTVS-6F07AE7177E0,48289;m_270006bbb____11615382____8411686,-5.8894698694767,50,HTVS
ATP-HTVS-BDD1C4453981,38147;m_2230cbb____22404674____7471122,-5.88652840899261,51,HTVS
ATP-HTVS-0FDC7A3FF1CA,47107;m_270004bbb____8289034____24714838,-5.88013714765497,52,HTVS
ATP-HTVS-1D3C11D6B0D4,95330;rxn503b____EMOL44817445____EMOL13728749____EMOL1197208,-5.87800754081715,53,HTVS
ATP-HTVS-60C7695B6F0C,73410;rxn512c____EMOL530714____EMOL523944____EMOL50155899,-5.86770542169608,54,HTVS
ATP-HTVS-397149B089BD,39490;m_270004bbb____25290078____7547616,-5.85385473217396,55,HTVS
ATP-HTVS-96035055C171,32801;m_270004bbb____12219716____12427640,-5.8406342578885,56,HTVS
ATP-HTVS-83768D529230,81825;rxn512b____EMOL477532____EMOL15801711____EMOL50155899,-5.83755543127655,57,HTVS
ATP-HTVS-A53B334F5824,50977;m_270004bbb____12219716____7548208,-5.82573794113561,58,HTVS
ATP-HTVS-D49B0A10993C,27586;m_270004bbb____8288884____24714838,-5.82548848966351,59,HTVS
ATP-HTVS-72BD9FFCF62D,59458;m_270166bbb____18184680____17625580,-5.81227878859071,60,HTVS
ATP-HTVS-69AD6B8D3733,52643;m_270004bbb____13774140____24720860,-5.81187938311954,61,HTVS
ATP-HTVS-00C8034698A8,34403;m_270004bbb____15775648____24720718,-5.81163963281027,62,HTVS
ATP-HTVS-BFD5BCAF9717,52961;m_527bbb____282812____155570,-5.80036295368171,63,HTVS
ATP-HTVS-B3F47181DC5D,83746;rxn503b____EMOL519605____EMOL7515103____EMOL317506007,-5.78131733089386,64,HTVS
ATP-HTVS-C615FEE5992B,53122;m_2230bbb____22399256____7471132,-5.76824194553614,65,HTVS
ATP-HTVS-E7B44E0E6F2B,46529;m_270166bbb____16815848____17625580,-5.76445509076332,66,HTVS
ATP-HTVS-15F2A5DBBD51,68225;m_270004bca____10206044____24714584,-5.75577483810029,67,HTVS
ATP-HTVS-244A9AEB7273,5347;a4____241569____411479,-5.75459768677577,68,HTVS
ATP-HTVS-C9013CEACAA9,79266;rxn403____EMOL44390368____EMOL514874____EMOL1197208,-5.74968572661554,69,HTVS
ATP-HTVS-6F858A0E8812,50979;m_270004bbb____12219716____11686696,-5.74835431316884,70,HTVS
ATP-HTVS-772EF906400E,20706;Shen____49239300____25682267____40180766,-5.7472783149045,71,HTVS
ATP-HTVS-869F8AF38162,90401;rxn502b____EMOL18624763____EMOL4363915____EMOL18628026,-5.74701459234187,72,HTVS
ATP-HTVS-ACBE41267A18,4290;YAS_R006____OTV5753507____OTV7018930011____OTV1000393,-5.74492062292097,73,HTVS
