feature,feature_group,non_missing,coverage
morgan_0000,morgan,18,0.0108499095840868
morgan_0001,morgan,18,0.0108499095840868
morgan_0002,morgan,18,0.0108499095840868
morgan_0003,morgan,18,0.0108499095840868
morgan_0004,morgan,18,0.0108499095840868
morgan_0005,morgan,18,0.0108499095840868
morgan_0006,morgan,18,0.0108499095840868
morgan_0007,morgan,18,0.0108499095840868
morgan_0008,morgan,18,0.0108499095840868
morgan_0009,morgan,18,0.0108499095840868
morgan_0010,morgan,18,0.0108499095840868
morgan_0011,morgan,18,0.0108499095840868
morgan_0012,morgan,18,0.0108499095840868
morgan_0013,morgan,18,0.0108499095840868
morgan_0014,morgan,18,0.0108499095840868
morgan_0015,morgan,18,0.0108499095840868
morgan_0016,morgan,18,0.0108499095840868
morgan_0017,morgan,18,0.0108499095840868
morgan_0018,morgan,18,0.0108499095840868
morgan_0019,morgan,18,0.0108499095840868
morgan_0020,morgan,18,0.0108499095840868
morgan_0021,morgan,18,0.0108499095840868
morgan_0022,morgan,18,0.0108499095840868
morgan_0023,morgan,18,0.0108499095840868
morgan_0024,morgan,18,0.0108499095840868
morgan_0025,morgan,18,0.0108499095840868
morgan_0026,morgan,18,0.0108499095840868
morgan_0027,morgan,18,0.0108499095840868
morgan_0028,morgan,18,0.0108499095840868
morgan_0029,morgan,18,0.0108499095840868
morgan_0030,morgan,18,0.0108499095840868
morgan_0031,morgan,18,0.0108499095840868
morgan_0032,morgan,18,0.0108499095840868
morgan_0033,morgan,18,0.0108499095840868
morgan_0034,morgan,18,0.0108499095840868
morgan_0035,morgan,18,0.0108499095840868
morgan_0036,morgan,18,0.0108499095840868
morgan_0037,morgan,18,0.0108499095840868
morgan_0038,morgan,18,0.0108499095840868
morgan_0039,morgan,18,0.0108499095840868
morgan_0040,morgan,18,0.0108499095840868
morgan_0041,morgan,18,0.0108499095840868
morgan_0042,morgan,18,0.0108499095840868
morgan_0043,morgan,18,0.0108499095840868
morgan_0044,morgan,18,0.0108499095840868
morgan_0045,morgan,18,0.0108499095840868
morgan_0046,morgan,18,0.0108499095840868
morgan_0047,morgan,18,0.0108499095840868
morgan_0048,morgan,18,0.0108499095840868
morgan_0049,morgan,18,0.0108499095840868
morgan_0050,morgan,18,0.0108499095840868
morgan_0051,morgan,18,0.0108499095840868
morgan_0052,morgan,18,0.0108499095840868
morgan_0053,morgan,18,0.0108499095840868
morgan_0054,morgan,18,0.0108499095840868
morgan_0055,morgan,18,0.0108499095840868
morgan_0056,morgan,18,0.0108499095840868
morgan_0057,morgan,18,0.0108499095840868
morgan_0058,morgan,18,0.0108499095840868
morgan_0059,morgan,18,0.0108499095840868
morgan_0060,morgan,18,0.0108499095840868
morgan_0061,morgan,18,0.0108499095840868
morgan_0062,morgan,18,0.0108499095840868
morgan_0063,morgan,18,0.0108499095840868
morgan_0064,morgan,18,0.0108499095840868
morgan_0065,morgan,18,0.0108499095840868
morgan_0066,morgan,18,0.0108499095840868
morgan_0067,morgan,18,0.0108499095840868
morgan_0068,morgan,18,0.0108499095840868
morgan_0069,morgan,18,0.0108499095840868
morgan_0070,morgan,18,0.0108499095840868
morgan_0071,morgan,18,0.0108499095840868
morgan_0072,morgan,18,0.0108499095840868
morgan_0073,morgan,18,0.0108499095840868
morgan_0074,morgan,18,0.0108499095840868
