feature,feature_group,non_missing,coverage
morgan2048_0000,morgan,18,0.0108499095840868
morgan2048_0001,morgan,18,0.0108499095840868
morgan2048_0002,morgan,18,0.0108499095840868
morgan2048_0003,morgan,18,0.0108499095840868
morgan2048_0004,morgan,18,0.0108499095840868
morgan2048_0005,morgan,18,0.0108499095840868
morgan2048_0006,morgan,18,0.0108499095840868
morgan2048_0007,morgan,18,0.0108499095840868
morgan2048_0008,morgan,18,0.0108499095840868
morgan2048_0009,morgan,18,0.0108499095840868
morgan2048_0010,morgan,18,0.0108499095840868
morgan2048_0011,morgan,18,0.0108499095840868
morgan2048_0012,morgan,18,0.0108499095840868
morgan2048_0013,morgan,18,0.0108499095840868
morgan2048_0014,morgan,18,0.0108499095840868
morgan2048_0015,morgan,18,0.0108499095840868
morgan2048_0016,morgan,18,0.0108499095840868
morgan2048_0017,morgan,18,0.0108499095840868
morgan2048_0018,morgan,18,0.0108499095840868
morgan2048_0019,morgan,18,0.0108499095840868
morgan2048_0020,morgan,18,0.0108499095840868
morgan2048_0021,morgan,18,0.0108499095840868
morgan2048_0022,morgan,18,0.0108499095840868
morgan2048_0023,morgan,18,0.0108499095840868
morgan2048_0024,morgan,18,0.0108499095840868
morgan2048_0025,morgan,18,0.0108499095840868
morgan2048_0026,morgan,18,0.0108499095840868
morgan2048_0027,morgan,18,0.0108499095840868
morgan2048_0028,morgan,18,0.0108499095840868
morgan2048_0029,morgan,18,0.0108499095840868
morgan2048_0030,morgan,18,0.0108499095840868
morgan2048_0031,morgan,18,0.0108499095840868
morgan2048_0032,morgan,18,0.0108499095840868
morgan2048_0033,morgan,18,0.0108499095840868
morgan2048_0034,morgan,18,0.0108499095840868
morgan2048_0035,morgan,18,0.0108499095840868
morgan2048_0036,morgan,18,0.0108499095840868
morgan2048_0037,morgan,18,0.0108499095840868
morgan2048_0038,morgan,18,0.0108499095840868
morgan2048_0039,morgan,18,0.0108499095840868
morgan2048_0040,morgan,18,0.0108499095840868
morgan2048_0041,morgan,18,0.0108499095840868
morgan2048_0042,morgan,18,0.0108499095840868
morgan2048_0043,morgan,18,0.0108499095840868
morgan2048_0044,morgan,18,0.0108499095840868
morgan2048_0045,morgan,18,0.0108499095840868
morgan2048_0046,morgan,18,0.0108499095840868
morgan2048_0047,morgan,18,0.0108499095840868
morgan2048_0048,morgan,18,0.0108499095840868
morgan2048_0049,morgan,18,0.0108499095840868
morgan2048_0050,morgan,18,0.0108499095840868
morgan2048_0051,morgan,18,0.0108499095840868
morgan2048_0052,morgan,18,0.0108499095840868
morgan2048_0053,morgan,18,0.0108499095840868
morgan2048_0054,morgan,18,0.0108499095840868
morgan2048_0055,morgan,18,0.0108499095840868
morgan2048_0056,morgan,18,0.0108499095840868
morgan2048_0057,morgan,18,0.0108499095840868
morgan2048_0058,morgan,18,0.0108499095840868
morgan2048_0059,morgan,18,0.0108499095840868
morgan2048_0060,morgan,18,0.0108499095840868
morgan2048_0061,morgan,18,0.0108499095840868
morgan2048_0062,morgan,18,0.0108499095840868
morgan2048_0063,morgan,18,0.0108499095840868
morgan2048_0064,morgan,18,0.0108499095840868
morgan2048_0065,morgan,18,0.0108499095840868
morgan2048_0066,morgan,18,0.0108499095840868
morgan2048_0067,morgan,18,0.0108499095840868
morgan2048_0068,morgan,18,0.0108499095840868
morgan2048_0069,morgan,18,0.0108499095840868
morgan2048_0070,morgan,18,0.0108499095840868
morgan2048_0071,morgan,18,0.0108499095840868
morgan2048_0072,morgan,18,0.0108499095840868
morgan2048_0073,morgan,18,0.0108499095840868
morgan2048_0074,morgan,18,0.0108499095840868
morgan2048_0075,morgan,18,0.0108499095840868
morgan2048_0076,morgan,18,0.0108499095840868
morgan2048_0077,morgan,18,0.0108499095840868
morgan2048_0078,morgan,18,0.0108499095840868
morgan2048_0079,morgan,18,0.0108499095840868
morgan2048_0080,morgan,18,0.0108499095840868
morgan2048_0081,morgan,18,0.0108499095840868
morgan2048_0082,morgan,18,0.0108499095840868
morgan2048_0083,morgan,18,0.0108499095840868
morgan2048_0084,morgan,18,0.0108499095840868
morgan2048_0085,morgan,18,0.0108499095840868
morgan2048_0086,morgan,18,0.0108499095840868
morgan2048_0087,morgan,18,0.0108499095840868
morgan2048_0088,morgan,18,0.0108499095840868
morgan2048_0089,morgan,18,0.0108499095840868
morgan2048_0090,morgan,18,0.0108499095840868
morgan2048_0091,morgan,18,0.0108499095840868
morgan2048_0092,morgan,18,0.0108499095840868
morgan2048_0093,morgan,18,0.0108499095840868
morgan2048_0094,morgan,18,0.0108499095840868
morgan2048_0095,morgan,18,0.0108499095840868
morgan2048_0096,morgan,18,0.0108499095840868
morgan2048_0097,morgan,18,0.0108499095840868
morgan2048_0098,morgan,18,0.0108499095840868
morgan2048_0099,morgan,18,0.0108499095840868
morgan2048_0100,morgan,18,0.0108499095840868
morgan2048_0101,morgan,18,0.0108499095840868
morgan2048_0102,morgan,18,0.0108499095840868
morgan2048_0103,morgan,18,0.0108499095840868
morgan2048_0104,morgan,18,0.0108499095840868
morgan2048_0105,morgan,18,0.0108499095840868
morgan2048_0106,morgan,18,0.0108499095840868
morgan2048_0107,morgan,18,0.0108499095840868
morgan2048_0108,morgan,18,0.0108499095840868
morgan2048_0109,morgan,18,0.0108499095840868
morgan2048_0110,morgan,18,0.0108499095840868
morgan2048_0111,morgan,18,0.0108499095840868
morgan2048_0112,morgan,18,0.0108499095840868
morgan2048_0113,morgan,18,0.0108499095840868
morgan2048_0114,morgan,18,0.0108499095840868
morgan2048_0115,morgan,18,0.0108499095840868
morgan2048_0116,morgan,18,0.0108499095840868
morgan2048_0117,morgan,18,0.0108499095840868
morgan2048_0118,morgan,18,0.0108499095840868
morgan2048_0119,morgan,18,0.0108499095840868
morgan2048_0120,morgan,18,0.0108499095840868
morgan2048_0121,morgan,18,0.0108499095840868
morgan2048_0122,morgan,18,0.0108499095840868
morgan2048_0123,morgan,18,0.0108499095840868
morgan2048_0124,morgan,18,0.0108499095840868
morgan2048_0125,morgan,18,0.0108499095840868
morgan2048_0126,morgan,18,0.0108499095840868
morgan2048_0127,morgan,18,0.0108499095840868
morgan2048_0128,morgan,18,0.0108499095840868
morgan2048_0129,morgan,18,0.0108499095840868
morgan2048_0130,morgan,18,0.0108499095840868
morgan2048_0131,morgan,18,0.0108499095840868
morgan2048_0132,morgan,18,0.0108499095840868
morgan2048_0133,morgan,18,0.0108499095840868
morgan2048_0134,morgan,18,0.0108499095840868
morgan2048_0135,morgan,18,0.0108499095840868
morgan2048_0136,morgan,18,0.0108499095840868
morgan2048_0137,morgan,18,0.0108499095840868
morgan2048_0138,morgan,18,0.0108499095840868
morgan2048_0139,morgan,18,0.0108499095840868
morgan2048_0140,morgan,18,0.0108499095840868
morgan2048_0141,morgan,18,0.0108499095840868
morgan2048_0142,morgan,18,0.0108499095840868
morgan2048_0143,morgan,18,0.0108499095840868
morgan2048_0144,morgan,18,0.0108499095840868
morgan2048_0145,morgan,18,0.0108499095840868
morgan2048_0146,morgan,18,0.0108499095840868
morgan2048_0147,morgan,18,0.0108499095840868
morgan2048_0148,morgan,18,0.0108499095840868
morgan2048_0149,morgan,18,0.0108499095840868
morgan2048_0150,morgan,18,0.0108499095840868
morgan2048_0151,morgan,18,0.0108499095840868
morgan2048_0152,morgan,18,0.0108499095840868
morgan2048_0153,morgan,18,0.0108499095840868
morgan2048_0154,morgan,18,0.0108499095840868
morgan2048_0155,morgan,18,0.0108499095840868
morgan2048_0156,morgan,18,0.0108499095840868
morgan2048_0157,morgan,18,0.0108499095840868
morgan2048_0158,morgan,18,0.0108499095840868
morgan2048_0159,morgan,18,0.0108499095840868
morgan2048_0160,morgan,18,0.0108499095840868
morgan2048_0161,morgan,18,0.0108499095840868
morgan2048_0162,morgan,18,0.0108499095840868
morgan2048_0163,morgan,18,0.0108499095840868
morgan2048_0164,morgan,18,0.0108499095840868
