compound_id,historical_alias,canonical_smiles,scaffold,prior_task_a_ab_mic_log10_ug_ml,prior_task_b_pa_atp_ic50_log10_ug_ml,prior_task_b_mtb_atp_ic50_log10_nm,prior_task_b_ab_atp_ic50_log10_ng_ml
ATP-SMI-15737353FB69,Hit7,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.4779494228744763,1.2512208810330088,1.5212803141063465,2.707901047072532
ATP-SMI-4417138BF81D,Hit17,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1.2163708110685256,0.9749019323069,1.5842081514970212,2.709226892301506
ATP-SMI-5B36D3E11A3B,Hit13,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0847867366638106,0.8392508753599268,1.5128474886497936,2.70188155357523
ATP-SMI-5D3E7B6B6796,Hit4,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.3291835353185588,1.0687702563623285,1.01506587999359,2.709226892301506
ATP-SMI-775D33706F04,Hit14,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1.0700813880691011,0.9735457825570456,1.4737071204320356,2.701813430696559
ATP-SMI-874C2DE25FE4,Hit3,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.5288219023517577,1.2580166566033066,1.5212803141063465,2.7006605574314677
ATP-SMI-91E7552C2382,Hit16,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.2364894099664923,1.0656032701755365,0.9465211676800259,2.6871256590336063
ATP-SMI-94F73967C042,Hit12,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,1.119447723952194,1.2035786813764917,1.6013956604284796,2.697191307336988
ATP-SMI-96FD6257D8BA,Hit5,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1.4980362539155831,1.04524427427691,1.4631588018348987,2.70188155357523
ATP-SMI-9DA3213A09E8,Hit1,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,1.2206785944917444,1.0015449444873354,1.5274185525185366,2.700555708346256
ATP-SMI-BF69AB71C1A4,Hit8,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0993022898181146,1.142466616870751,1.5566595657799174,2.70188155357523
ATP-SMI-C3308BEE03AC,Hit10,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,0.9532796635735146,1.142466616870751,1.5901486997963645,2.70188155357523
ATP-SMI-C93E6EC67CDB,Hit2,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0612729665602334,1.1546652515582227,1.5566595657799174,2.70188155357523
ATP-SMI-CDED936B42F4,Hit11,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.2960654314730704,1.0154114240797563,0.9417594332324661,2.709226892301506
ATP-SMI-CFA68A98711F,Hit15,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.291973082525693,1.0687702563623285,1.0111367114070176,2.709226892301506
ATP-SMI-E9798004BA11,Hit6,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.352357769489861,1.0656032701755365,0.984354786123593,2.6871256590336063
ATP-SMI-FCA9CDF3313B,Hit9,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,1.2953159266290162,1.2084452485221524,1.6678046548706,2.70188155357523
