compound_id,canonical_smiles,scaffold,label_score,model_v4_alpha_prediction_lower_is_better,model_v4_alpha_rank,score_semantics
ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,-57.51,-56.58154124394379,1,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-C93E6EC67CDB,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,-56.56,-56.417065144014174,2,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,-56.37,-56.18989071632265,3,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,-54.81,-54.70734695372981,4,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,-52.9,-52.80003496178861,5,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-E9798004BA11,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,-51.99,-51.93494625842698,6,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,-51.42,-51.397486057941926,7,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,-51.01,-50.88240782220379,8,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-FCA9CDF3313B,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,-48.88,-48.90587676304031,9,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-C3308BEE03AC,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,-48.06,-47.95640772279989,10,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-CDED936B42F4,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,-47.89,-47.86134016946826,11,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-94F73967C042,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,-44.48,-44.692133666841436,12,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-5B36D3E11A3B,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,-44.13,-44.273672236926906,13,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-775D33706F04,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,-43.0,-43.15617809694484,14,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-CFA68A98711F,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,-37.5,-37.62062200497986,15,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-91E7552C2382,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,-34.76,-34.951712656986764,16,full-fit prediction of internal static MMGBSA computational ranking
ATP-SMI-4417138BF81D,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,-33.54,-34.81922765285037,17,full-fit prediction of internal static MMGBSA computational ranking
