compound_id,historical_alias,final_rank_v4_alpha,final_score_v4_alpha,binding_score_v4_alpha,ATP_target_score_v4_alpha,antibacterial_score_v4_alpha,druglikeness_score_v4_alpha,model_v4_alpha_prediction_lower_is_better,v4a_task_a_ab_mic_log10_ug_ml,v4a_task_b_ensemble_priority,decision_status,experimental_MIC_status,experimental_ATP_enzyme_status,score_scope_v4_alpha,final_rank,binding_score,ATP_target_score,antibacterial_score,druglikeness_score,final_score,confidence,confidence_score,canonical_smiles,scaffold,mapping_confidence,desc_mol_wt,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,docking_score,static_mmgbsa_score,model_v3_prediction_score,candidate_priority_rank,prior_task_a_ab_mic_log10_ug_ml,prior_task_b_pa_atp_ic50_log10_ug_ml,prior_task_b_mtb_atp_ic50_log10_nm,prior_task_b_ab_atp_ic50_log10_ng_ml,similarity_to_known_inhibitor,nearest_known_inhibitor_id,nearest_reference_source,admet_endpoint_sum,admet_source_file,model_v3_percentile,docking_percentile,static_mmgbsa_percentile,direct_ATP_similarity_percentile,PA_ATP_IC50_prior_percentile,Mtb_ATP_IC50_prior_percentile,AB_ATP_IC50_prior_percentile,AB_whole_cell_MIC_prior_percentile,rule_pass_mol_wt,rule_pass_logp,rule_pass_tpsa,rule_pass_hbd,rule_pass_hba,rule_pass_rotatable_bonds,descriptor_rules_passed,descriptor_rules_total,descriptor_rule_score,predicted_ADMET_safety_score,experimental_toxicity_status,score_scope,explanation_summary,v4a_task_a_ab_mic_priority,v4a_task_b_ic50__mycobacterium_tuberculosis__nm_prediction_log10,v4a_task_b_ic50__mycobacterium_tuberculosis__nm_priority,v4a_task_b_ic50_atp_synthesis_inhibition__acinetobacter_baumannii__ng_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inhibition__acinetobacter_baumannii__ng_ml_priority,v4a_task_b_ic50_atp_synthesis_inhibition__pseudomonas_aeruginosa__g_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inhibition__pseudomonas_aeruginosa__g_ml_priority,v4a_task_b_ic50_atp_synthesis_inverted_membrane_vesicles__pseudomonas_aeruginosa__g_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inverted_membrane_vesicles__pseudomonas_aeruginosa__g_ml_priority,v4a_task_b_ensemble_rank,task_b_ensemble_policy,evidence_semantics,model_v4_alpha_rank,model_v4_alpha_percentile
ATP-SMI-C93E6EC67CDB,Hit2,1,78.82899305555556,90.0,44.84375,93.75,87.03703703703704,-56.417065144014174,1.2307509920785398,54.6875,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,1,90.0,25.15625,93.75,87.03703703703704,73.90711805555556,medium_computational_only,60.0,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,confirmed,459.05900000000014,2.322400000000001,62.18,4,3,10,-8.42562825587936,-56.56,-56.3882346791381,2,1.0612729665602334,1.1546652515582227,1.5566595657799174,2.70188155357523,0.1744186046511628,STEED2022-8,Literature (ACS Omega 2022),7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,93.75,75.0,93.75,21.875,25.0,28.125,46.875,93.75,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=90.0; ATP-computational=25.2; antibacterial-prior=93.8; druglikeness-computational=87.0; experiments=unknown,93.75,1.5510927750490875,28.125,2.804327577246432,18.75,0.26217424519884014,100.0,0.22408348549218782,71.875,8,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,2,93.75
ATP-SMI-9DA3213A09E8,Hit1,2,69.55121527777777,82.5,41.09375,62.5,85.18518518518519,-56.58154124394379,1.2832082211765956,45.3125,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,2,82.5,50.9375,56.25,85.18518518518519,71.07465277777777,medium_computational_only,60.0,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,confirmed,415.54100000000005,0.9843800000000016,86.83,3,3,9,-8.12068275383396,-57.51,-56.562006726436245,1,1.2206785944917444,1.0015449444873354,1.5274185525185366,2.700555708346256,0.1764705882352941,STEED2022-8,Literature (ACS Omega 2022),8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,100.0,12.5,100.0,31.25,81.25,37.5,81.25,56.25,True,True,True,True,True,True,6.0,6,100.0,70.37037037037037,unknown,relative_to_current_17_candidate_batch_not_probability,binding=82.5; ATP-computational=50.9; antibacterial-prior=56.2; druglikeness-computational=85.2; experiments=unknown,62.5,1.51213946462382,56.25,2.8035934528560236,37.5,0.6053291442065551,43.75,0.22904418798075926,43.75,12,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,1,100.0
ATP-SMI-96FD6257D8BA,Hit5,3,65.54340277777777,71.25,60.3125,37.5,85.18518518518519,-52.80003496178861,1.3374303140902901,59.375,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,4,71.25,66.875,6.25,85.18518518518519,62.49652777777778,medium_computational_only,60.0,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,confirmed,454.6220000000001,1.575100000000004,55.0,2,3,8,-8.37304414520958,-52.9,-52.79070335691593,5,1.4980362539155831,1.04524427427691,1.4631588018348989,2.70188155357523,0.2,CHEMBL4101131,ChEMBL,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,75.0,56.25,75.0,62.5,68.75,68.75,46.875,6.25,True,True,True,True,True,True,6.0,6,100.0,70.37037037037037,unknown,relative_to_current_17_candidate_batch_not_probability,binding=71.2; ATP-computational=66.9; antibacterial-prior=6.2; druglikeness-computational=85.2; experiments=unknown,37.5,1.4973411400546885,68.75,2.802049714150452,50.0,0.49371282816423034,56.25,0.22475323440410128,62.5,4,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,5,75.0
ATP-SMI-5D3E7B6B6796,Hit4,4,63.33637152777778,65.0,66.484375,31.25,85.18518518518519,-54.70734695372981,1.3413991359780206,60.15625,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,3,65.0,67.03125,25.0,85.18518518518519,62.53559027777778,medium_computational_only,60.0,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,confirmed,415.4690000000001,4.296200000000003,89.21000000000001,2,4,8,-8.07246311561382,-54.81,-54.62739139317437,4,1.3291835353185588,1.0687702563623285,1.01506587999359,2.709226892301506,0.2150537634408602,CHEMBL3402629,ChEMBL,8,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,81.25,0.0,81.25,81.25,46.875,75.0,9.375,25.0,True,True,True,True,True,True,6.0,6,100.0,70.37037037037037,unknown,relative_to_current_17_candidate_batch_not_probability,binding=65.0; ATP-computational=67.0; antibacterial-prior=25.0; druglikeness-computational=85.2; experiments=unknown,31.25,1.0389435344605116,75.0,2.799342865644102,78.125,0.8091946243031043,0.0,0.22223440957726848,87.5,3,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,4,81.25
ATP-SMI-874C2DE25FE4,Hit3,5,63.115017361111114,83.75,45.390625,3.125,90.74074074074076,-56.18989071632265,1.3978739604470387,64.84375,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,8,83.75,16.40625,0.0,90.74074074074076,55.40017361111112,medium_computational_only,60.0,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,confirmed,468.6450000000003,2.31992,59.1,3,2,9,-8.42196401327989,-56.37,-56.18845057606705,3,1.5288219023517575,1.2580166566033066,1.5212803141063465,2.700660557431468,0.1553398058252427,WSA289,Literature (ACS Omega 2025),5,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,87.5,68.75,87.5,0.0,0.0,46.875,75.0,0.0,True,True,True,True,True,True,6.0,6,100.0,81.4814814814815,unknown,relative_to_current_17_candidate_batch_not_probability,binding=83.8; ATP-computational=16.4; antibacterial-prior=0.0; druglikeness-computational=90.7; experiments=unknown,3.125,1.5174847490736982,40.625,2.6232499150225665,100.0,0.7316888274281241,25.0,0.22160256689345398,93.75,2,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,3,87.5
ATP-SMI-E9798004BA11,Hit6,6,57.079427083333336,63.75,53.984375,18.75,80.55555555555556,-51.93494625842698,1.3602682756444338,57.03125,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,5,63.75,65.46875,18.75,80.55555555555556,59.950520833333336,medium_computational_only,60.0,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,confirmed,437.5840000000002,1.7998000000000005,71.77,4,4,12,-8.23545529108907,-51.99,-51.95273411476071,6,1.352357769489861,1.0656032701755365,0.984354786123593,2.6871256590336063,0.1951219512195122,STEED2022-8,Literature (ACS Omega 2022),6,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,68.75,43.75,68.75,46.875,59.375,87.5,96.875,18.75,True,True,True,True,True,False,5.0,6,83.33333333333333,77.77777777777779,unknown,relative_to_current_17_candidate_batch_not_probability,binding=63.8; ATP-computational=65.5; antibacterial-prior=18.8; druglikeness-computational=80.6; experiments=unknown,18.75,1.033613102359441,87.5,2.8001115478806855,59.375,0.39049016196446135,68.75,0.24024352742886104,12.5,6,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,6,68.75
ATP-SMI-94F73967C042,Hit12,7,56.77430555555556,35.0,51.875,100.0,87.03703703703704,-44.692133666841436,1.1901970072257622,50.0,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,16,35.0,25.625,68.75,87.03703703703704,45.52430555555556,medium_computational_only,60.0,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,confirmed,445.032,2.5468,64.42,3,3,9,-8.34211914130707,-44.48,-44.70860039297425,12,1.119447723952194,1.2035786813764917,1.6013956604284796,2.697191307336988,0.1975308641975308,STEED2022-8,Literature (ACS Omega 2022),7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,31.25,50.0,31.25,56.25,18.75,6.25,87.5,68.75,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=35.0; ATP-computational=25.6; antibacterial-prior=68.8; druglikeness-computational=87.0; experiments=unknown,100.0,1.5632125471637313,12.5,2.8032595971413743,43.75,0.39362913550637507,62.5,0.2236211460498248,81.25,10,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,12,31.25
ATP-SMI-FCA9CDF3313B,Hit9,8,54.88368055555556,46.25,39.0625,75.0,87.03703703703704,-48.90587676304031,1.278660694642004,15.625,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,13,46.25,32.5,37.5,87.03703703703704,47.61805555555556,medium_computational_only,60.0,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,confirmed,477.0560000000001,3.2693200000000013,73.13,3,4,9,-8.15986913112427,-48.88,-48.88292966869621,9,1.2953159266290162,1.2084452485221524,1.6678046548706,2.70188155357523,0.2244897959183673,CHEMBL3402630,ChEMBL,7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,50.0,31.25,50.0,93.75,12.5,0.0,46.875,37.5,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=46.2; ATP-computational=32.5; antibacterial-prior=37.5; druglikeness-computational=87.0; experiments=unknown,75.0,1.6934255527837376,0.0,2.804327577246432,18.75,0.7361656820854592,18.75,0.23523840692537779,25.0,17,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,9,50.0
ATP-SMI-C3308BEE03AC,Hit10,9,54.29383680555556,47.5,41.953125,62.5,87.03703703703704,-47.95640772279989,1.2832082211765956,39.84375,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,7,47.5,30.46875,100.0,87.03703703703704,57.04774305555556,medium_computational_only,60.0,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,confirmed,445.032,2.371100000000001,73.21000000000001,4,3,9,-8.40968869431086,-48.06,-47.949695201995546,10,0.9532796635735146,1.142466616870751,1.5901486997963643,2.70188155357523,0.1951219512195122,STEED2022-8,Literature (ACS Omega 2022),7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,43.75,62.5,43.75,46.875,34.375,12.5,46.875,100.0,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=47.5; ATP-computational=30.5; antibacterial-prior=100.0; druglikeness-computational=87.0; experiments=unknown,62.5,1.560172605867901,18.75,2.804327577246432,18.75,0.37285685890440806,78.125,0.22904418798075926,43.75,15,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,10,43.75
ATP-SMI-5B36D3E11A3B,Hit13,10,53.67274305555556,27.5,62.34375,84.375,87.03703703703704,-44.273672236926906,1.2444908039638267,51.5625,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,6,27.5,80.9375,81.25,87.03703703703704,57.85243055555556,medium_computational_only,60.0,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,confirmed,410.5870000000001,1.7177000000000016,73.21000000000001,4,3,9,-8.18448236860633,-44.13,-44.28870082558406,13,1.0847867366638106,0.8392508753599268,1.5128474886497936,2.70188155357523,0.2151898734177215,STEED2022-8,Literature (ACS Omega 2022),7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,25.0,37.5,25.0,87.5,100.0,56.25,46.875,81.25,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=27.5; ATP-computational=80.9; antibacterial-prior=81.2; druglikeness-computational=87.0; experiments=unknown,84.375,1.5156130302445772,50.0,2.804327577246432,18.75,0.3493519513137781,93.75,0.22904418798075926,43.75,9,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,13,25.0
ATP-SMI-BF69AB71C1A4,Hit8,11,53.39149305555556,48.75,36.09375,62.5,87.03703703703704,-50.88240782220379,1.2832082211765956,42.1875,experimental_shadow_not_replacing_phase5,unknown,unknown,relative_to_current_17_candidate_batch_not_probability,11,48.75,28.4375,75.0,87.03703703703704,53.35243055555556,medium_computational_only,60.0,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,confirmed,445.03200000000015,2.371100000000001,73.21000000000001,4,3,9,-8.14688200228842,-51.01,-50.88393373993723,8,1.0993022898181146,1.142466616870751,1.5566595657799174,2.70188155357523,0.1744186046511628,STEED2022-17,Literature (ACS Omega 2022),7,作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx,56.25,18.75,56.25,21.875,34.375,28.125,46.875,75.0,True,True,True,True,True,True,6.0,6,100.0,74.07407407407408,unknown,relative_to_current_17_candidate_batch_not_probability,binding=48.8; ATP-computational=28.4; antibacterial-prior=75.0; druglikeness-computational=87.0; experiments=unknown,62.5,1.5510927750490875,28.125,2.804327577246432,18.75,0.37285685890440806,78.125,0.22904418798075926,43.75,13,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays,8,56.25
