compound_id,canonical_smiles,v4a_task_a_ab_mic_log10_ug_ml,v4a_task_a_ab_mic_priority,v4a_task_b_ic50__mycobacterium_tuberculosis__nm_prediction_log10,v4a_task_b_ic50__mycobacterium_tuberculosis__nm_priority,v4a_task_b_ic50_atp_synthesis_inhibition__acinetobacter_baumannii__ng_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inhibition__acinetobacter_baumannii__ng_ml_priority,v4a_task_b_ic50_atp_synthesis_inhibition__pseudomonas_aeruginosa__g_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inhibition__pseudomonas_aeruginosa__g_ml_priority,v4a_task_b_ic50_atp_synthesis_inverted_membrane_vesicles__pseudomonas_aeruginosa__g_ml_prediction_log10,v4a_task_b_ic50_atp_synthesis_inverted_membrane_vesicles__pseudomonas_aeruginosa__g_ml_priority,v4a_task_b_ensemble_priority,v4a_task_b_ensemble_rank,task_b_ensemble_policy,evidence_semantics
ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,1.3978739604470387,3.125,1.5174847490736982,40.625,2.7986087412536937,93.75,0.7101595591412351,31.25,0.22408348549218782,71.875,59.375,4,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-4417138BF81D,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,1.3118034134530037,43.75,1.5932409804745222,6.25,2.799342865644102,78.125,0.7472062427069757,12.5,0.31728350520880994,6.25,25.78125,16,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-5B36D3E11A3B,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,1.2444908039638267,84.375,1.5156130302445772,50.0,2.804327577246432,18.75,0.3493519513137781,93.75,0.22904418798075926,43.75,51.5625,9,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,1.3413991359780206,31.25,1.0389435344605116,75.0,2.799342865644102,78.125,0.8091946243031043,0.0,0.22223440957726848,87.5,60.15625,3,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-775D33706F04,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,1.2444908039638267,84.375,1.5000247570901506,62.5,2.814526129282717,0.0,0.35383226347757574,87.5,0.22904418798075926,43.75,48.4375,11,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,1.3978739604470387,3.125,1.5174847490736982,40.625,2.6232499150225665,100.0,0.7316888274281241,25.0,0.22160256689345398,93.75,64.84375,2,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-91E7552C2382,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,1.3050700576625822,50.0,1.0243843436647067,93.75,2.8001115478806855,59.375,0.5618761021761904,50.0,0.2377637435390235,18.75,55.46875,7,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-94F73967C042,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,1.1901970072257622,100.0,1.5632125471637313,12.5,2.8032595971413743,43.75,0.39362913550637507,62.5,0.2236211460498248,81.25,50.0,10,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,1.3374303140902901,37.5,1.4973411400546885,68.75,2.802049714150452,50.0,0.49371282816423034,56.25,0.22475323440410128,62.5,59.375,4,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,1.2832082211765956,62.5,1.51213946462382,56.25,2.8035934528560236,37.5,0.6053291442065551,43.75,0.22904418798075926,43.75,45.3125,12,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,1.2832082211765956,62.5,1.5510927750490875,28.125,2.804327577246432,18.75,0.37285685890440806,78.125,0.22904418798075926,43.75,42.1875,13,equal-weight mean of within-17 rank percentiles from separately trained endpoint/organism/unit models,external experimental knowledge model predictions; not internal assays
