rdkit_canonical_smiles,scaffold,organism_species,unit_normalized,compound_ids,measurement_count,activity_value_median,activity_value_min,activity_value_max,label_log10,source_level,confidence,reference_count,sample_weight
Br.CCN(CC)CCn1c(=N)n(CCCOc2ccc(Cl)cc2Cl)c2ccccc21,N=c1[nH]c2ccccc2n1CCCOc1ccccc1,Acinetobacter baumannii,μg/mL,CHEMBL3355434,2,12.5,12.5,12.5,1.0969100130080565,B,high,1,1.0
BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,Acinetobacter baumannii,μg/mL,WSA293,2,48.0,32.0,64.0,1.6812412373755872,A,high,1,1.0
BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,Acinetobacter baumannii,μg/mL,WSA301,1,128.0,128.0,128.0,2.1072099696478683,A,high,1,1.0
BrC1=CC=C2N=C3SCC2=CC=CC=CC2CCCCC4=CCCN2CCC1CCNCC3=C4,C1=CC=C2CSC3=NC2=CC=CC2CCNCC3=CC3=CCCN(CC2)C(C=C1)CCCC3,Acinetobacter baumannii,μg/mL,WSA255,2,16.0,16.0,16.0,1.2041199826559248,A,high,1,1.0
BrC1=CC=C2N=C3SCC2=CC=CC=CC2CCCCC4=CCCN2CCC1CCNCC3=C4,C1=CC=C2CSC3=NC2=CC=CC2CCNCC3=CC3=CCCN(CC2)C(C=C1)CCCC3,Pseudomonas aeruginosa,μg/mL,WSA255,1,32.0,32.0,32.0,1.505149978319906,A,high,1,1.0
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,Acinetobacter baumannii,μg/mL,CHEMBL3094498,1,1.25,1.25,1.25,0.09691001300805642,B,high,1,1.0
C#CCN1CC/C(=C\C2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\O)c4csc(N)n4)[C@H]3SC2)C1=O,N=C(C(=O)N[C@@H]1C(=O)N2C=C(/C=C3\CCNC3=O)CS[C@H]12)c1cscn1,Pseudomonas aeruginosa,μg/mL,CHEMBL54607,1,8.0,8.0,8.0,0.9030899869919435,B,high,1,1.0
C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Acinetobacter baumannii,μg/mL,CHEMBL3353628,1,256.0,256.0,256.0,2.4082399653118496,B,high,1,1.0
C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Acinetobacter baumannii,μg/mL,CHEMBL3353614,1,128.0,128.0,128.0,2.1072099696478683,B,high,1,1.0
C#CCO/N=C(/C(=O)N[C@H]1CN2CC(S(C)(=O)=O)=C(C(=O)O)N2C1=O)c1csc(N)n1,N=C(C(=O)N[C@H]1CN2CC=CN2C1=O)c1cscn1,Escherichia coli,μg/mL,CHEMBL111024,1,0.25,0.25,0.25,-0.6020599913279624,B,high,1,1.0
