profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-REF-IN2,IN-2,,,,,,
balanced,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
balanced,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
balanced,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
balanced,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
binding_focused,ATP-REF-IN2,IN-2,,,,,,
binding_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
binding_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
binding_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
binding_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
atp_mechanism_focused,ATP-REF-IN2,IN-2,,,,,,
atp_mechanism_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
atp_mechanism_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
atp_mechanism_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
atp_mechanism_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
experimental_validation_focused,ATP-REF-IN2,IN-2,,,,,,
experimental_validation_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
experimental_validation_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
experimental_validation_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
experimental_validation_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
