profile_a,profile_b,n_candidates,spearman,kendall_tau,semantics
balanced,balanced,0,,,decision_profile_rank_stability_not_biological_performance
balanced,binding_focused,0,,,decision_profile_rank_stability_not_biological_performance
balanced,atp_mechanism_focused,0,,,decision_profile_rank_stability_not_biological_performance
balanced,experimental_validation_focused,0,,,decision_profile_rank_stability_not_biological_performance
binding_focused,balanced,0,,,decision_profile_rank_stability_not_biological_performance
binding_focused,binding_focused,0,,,decision_profile_rank_stability_not_biological_performance
binding_focused,atp_mechanism_focused,0,,,decision_profile_rank_stability_not_biological_performance
binding_focused,experimental_validation_focused,0,,,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,balanced,0,,,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,binding_focused,0,,,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,atp_mechanism_focused,0,,,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,experimental_validation_focused,0,,,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,balanced,0,,,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,binding_focused,0,,,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,atp_mechanism_focused,0,,,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,experimental_validation_focused,0,,,decision_profile_rank_stability_not_biological_performance
