compound_id,evidence_type,raw_value,tool_id,tool_version,protocol_id,source_batch,cohort_rank,cohort,comparison_scope,cross_protocol
ATP-SMI-874C2DE25FE4,vina_affinity,-8.846,autodock_vina,v1.2.7,vina_7p3w_v1,batch_6df7ebd2146144ec,1,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_6df7ebd2146144ec"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-96FD6257D8BA,vina_affinity,-8.085,autodock_vina,v1.2.7,vina_7p3w_v1,batch_6df7ebd2146144ec,3,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_6df7ebd2146144ec"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-9DA3213A09E8,vina_affinity,-8.173,autodock_vina,v1.2.7,vina_7p3w_v1,batch_6df7ebd2146144ec,2,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_6df7ebd2146144ec"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-C93E6EC67CDB,vina_affinity,-7.887,autodock_vina,v1.2.7,vina_7p3w_v1,batch_6df7ebd2146144ec,4,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_6df7ebd2146144ec"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-15737353FB69,vina_affinity,-8.557,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,4,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-4417138BF81D,vina_affinity,-8.339,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,5,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-5B36D3E11A3B,vina_affinity,-7.449,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,12,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-5D3E7B6B6796,vina_affinity,-9.028,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,1,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-775D33706F04,vina_affinity,-7.604,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,11,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-91E7552C2382,vina_affinity,-8.2,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,6,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-94F73967C042,vina_affinity,-7.154,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,13,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-BF69AB71C1A4,vina_affinity,-7.638,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,10,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-C3308BEE03AC,vina_affinity,-7.672,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,9,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-CDED936B42F4,vina_affinity,-8.81,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,3,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-CFA68A98711F,vina_affinity,-8.876,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,2,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-E9798004BA11,vina_affinity,-8.077,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,7,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
ATP-SMI-FCA9CDF3313B,vina_affinity,-7.761,autodock_vina,v1.2.7,vina_7p3w_v1,batch_c501674f5da5458b,8,"[""autodock_vina"", ""v1.2.7"", ""vina_7p3w_v1"", ""batch_c501674f5da5458b"", ""vina_affinity""]",within_cohort_only,True
