compound_id,historical_alias,SMILES,docking_score,mmgbsa_score,docking_features,quickprop_features,admet_features
ATP-SMI-9DA3213A09E8,Hit1,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,unknown,unknown,{},{},{}
ATP-SMI-C93E6EC67CDB,Hit2,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,unknown,unknown,{},{},{}
ATP-SMI-874C2DE25FE4,Hit3,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,unknown,unknown,{},{},{}
ATP-SMI-5D3E7B6B6796,Hit4,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,unknown,unknown,{},{},{}
ATP-SMI-96FD6257D8BA,Hit5,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,unknown,unknown,{},{},{}
ATP-SMI-E9798004BA11,Hit6,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,unknown,unknown,{},{},{}
ATP-SMI-15737353FB69,Hit7,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,unknown,unknown,{},{},{}
ATP-SMI-BF69AB71C1A4,Hit8,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,unknown,unknown,{},{},{}
ATP-SMI-FCA9CDF3313B,Hit9,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,unknown,unknown,{},{},{}
ATP-SMI-C3308BEE03AC,Hit10,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,unknown,unknown,{},{},{}
ATP-SMI-CDED936B42F4,Hit11,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,unknown,unknown,{},{},{}
ATP-SMI-94F73967C042,Hit12,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,unknown,unknown,{},{},{}
ATP-SMI-5B36D3E11A3B,Hit13,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,unknown,unknown,{},{},{}
ATP-SMI-775D33706F04,Hit14,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,unknown,unknown,{},{},{}
ATP-SMI-CFA68A98711F,Hit15,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,unknown,unknown,{},{},{}
ATP-SMI-91E7552C2382,Hit16,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,unknown,unknown,{},{},{}
ATP-SMI-4417138BF81D,Hit17,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,unknown,unknown,{},{},{}
