compound_id,historical_alias,SMILES,docking_score,mmgbsa_score,docking_features,quickprop_features,admet_features
ATP-HTVS-0009DAEDE04F,79971,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,-3.58525470579908,unknown,"{""glide_ecoul"": -1.02595198154449, ""glide_eff_state_penalty"": 1.0221, ""glide_einternal"": 4.35698270797729, ""glide_emodel"": -50.6046984272226, ""glide_energy"": -40.9973608255386, ""glide_evdw"": -39.9714088439941, ""glide_gscore"": -4.60735470579908, ""glide_ligand_efficiency"": -0.112039209556221, ""glide_ligand_efficiency_ln"": -0.802836258980599, ""glide_ligand_efficiency_sa"": -0.355702317811539}","{""quickprop_accpthb"": 6.0, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0113954, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 0.0, ""quickprop_ciqplogs"": -8.001, ""quickprop_cns"": -1.0, ""quickprop_dip_2_v"": 0.0822648, ""quickprop_dipole"": 10.458, ""quickprop_donorhb"": 1.8, ""quickprop_ea_ev"": 1.337, ""quickprop_fisa"": 118.266, ""quickprop_fosa"": 115.488, ""quickprop_glob"": 0.8277298, ""quickprop_humanoralabsorption"": 1.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.378, ""quickprop_jm"": 0.003726821262477, ""quickprop_metab"": 7.0, ""quickprop_mol_mw"": 438.546, ""quickprop_nando"": 5.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 32.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 410.804, ""quickprop_psa"": 70.971, ""quickprop_qplogbb"": -0.978, ""quickprop_qplogherg"": -6.279, ""quickprop_qplogkhsa"": 0.652, ""quickprop_qplogkp"": -1.388, ""quickprop_qplogpc16"": 15.124, ""quickprop_qplogpo_w"": 4.911, ""quickprop_qplogpoct"": 22.416, ""quickprop_qplogpw"": 11.601, ""quickprop_qplogs"": -6.683, ""quickprop_qppcaco"": 748.838, ""quickprop_qppmdck"": 789.633, ""quickprop_qppolrz"": 45.195, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 9.0, ""quickprop_rtvfg"": 1.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 2.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 706.414, ""quickprop_stars"": 1.0, ""quickprop_volume"": 1329.456, ""quickprop_wpsa"": 61.856}",{}
ATP-HTVS-0015C54A99C8,82625,C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12,-3.84066710724475,unknown,"{""glide_ecoul"": -7.42100811004639, ""glide_eff_state_penalty"": 0.0751, ""glide_einternal"": 3.63171243667603, ""glide_emodel"": -54.6541829923864, ""glide_energy"": -41.409499168396, ""glide_evdw"": -33.9884910583496, ""glide_gscore"": -3.91576710724475, ""glide_ligand_efficiency"": -0.109733345921279, ""glide_ligand_efficiency_ln"": -0.843111669054111, ""glide_ligand_efficiency_sa"": -0.358945050521973}","{""quickprop_accpthb"": 8.0, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.01542, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -6.823, ""quickprop_cns"": 1.0, ""quickprop_dip_2_v"": 0.0171785, ""quickprop_dipole"": 4.885, ""quickprop_donorhb"": 2.0, ""quickprop_ea_ev"": 1.153, ""quickprop_fisa"": 96.359, ""quickprop_fosa"": 114.158, ""quickprop_glob"": 0.8207178, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.601, ""quickprop_jm"": 0.0027606191400294, ""quickprop_metab"": 7.0, ""quickprop_mol_mw"": 471.508, ""quickprop_nando"": 6.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 35.0, ""quickprop_percenthumanoralabsorption"": 95.202, ""quickprop_pisa"": 480.398, ""quickprop_psa"": 78.17, ""quickprop_qplogbb"": -0.369, ""quickprop_qplogherg"": -7.45, ""quickprop_qplogkhsa"": 0.471, ""quickprop_qplogkp"": -2.898, ""quickprop_qplogpc16"": 15.345, ""quickprop_qplogpo_w"": 4.08, ""quickprop_qplogpoct"": 24.128, ""quickprop_qplogpw"": 14.467, ""quickprop_qplogs"": -5.335, ""quickprop_qppcaco"": 301.321, ""quickprop_qppmdck"": 256.755, ""quickprop_qppolrz"": 48.9, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 8.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 1.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 42.789, ""quickprop_sasa"": 733.703, ""quickprop_stars"": 1.0, ""quickprop_volume"": 1389.388, ""quickprop_wpsa"": 42.789}",{}
ATP-HTVS-003E4D952AAC,76899,CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,-4.13615387037502,unknown,"{""glide_ecoul"": -7.36543273925781, ""glide_eff_state_penalty"": 0.0976, ""glide_einternal"": 2.81034374237061, ""glide_emodel"": -54.9996939825513, ""glide_energy"": -41.9147033691406, ""glide_evdw"": -34.5492706298828, ""glide_gscore"": -4.23375387037502, ""glide_ligand_efficiency"": -0.121651584422795, ""glide_ligand_efficiency_ln"": -0.913792405152209, ""glide_ligand_efficiency_sa"": -0.394103908076939}","{""quickprop_accpthb"": 8.5, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0152812, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -5.251, ""quickprop_cns"": 1.0, ""quickprop_dip_2_v"": 0.0280136, ""quickprop_dipole"": 6.383, ""quickprop_donorhb"": 2.0, ""quickprop_ea_ev"": 0.948, ""quickprop_fisa"": 58.014, ""quickprop_fosa"": 236.424, ""quickprop_glob"": 0.7892402, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.231, ""quickprop_jm"": 0.0427077024164229, ""quickprop_metab"": 7.0, ""quickprop_mol_mw"": 452.555, ""quickprop_nando"": 6.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 34.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 492.202, ""quickprop_psa"": 78.378, ""quickprop_qplogbb"": -0.141, ""quickprop_qplogherg"": -8.016, ""quickprop_qplogkhsa"": 0.52, ""quickprop_qplogkp"": -2.149, ""quickprop_qplogpc16"": 16.148, ""quickprop_qplogpo_w"": 4.371, ""quickprop_qplogpoct"": 24.993, ""quickprop_qplogpw"": 14.892, ""quickprop_qplogs"": -4.876, ""quickprop_qppcaco"": 696.075, ""quickprop_qppmdck"": 369.964, ""quickprop_qppolrz"": 51.621, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 8.0, ""quickprop_rtvfg"": 1.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 1.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 786.64, ""quickprop_stars"": 1.0, ""quickprop_volume"": 1454.554, ""quickprop_wpsa"": 0.0}",{}
ATP-HTVS-005EEA24BFEA,69987,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)[C@H](C#N)c1ccccc1,-4.35640294669943,unknown,"{""glide_ecoul"": -8.8143367767334, ""glide_eff_state_penalty"": 0.0601, ""glide_einternal"": 6.22030019760132, ""glide_emodel"": -56.6134278699844, ""glide_energy"": -43.1397037506104, ""glide_evdw"": -34.325366973877, ""glide_gscore"": -4.41650294669943, ""glide_ligand_efficiency"": -0.128129498432336, ""glide_ligand_efficiency_ln"": -0.962451603889607, ""glide_ligand_efficiency_sa"": -0.415089834725242}","{""quickprop_accpthb"": 8.0, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0111985, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -6.411, ""quickprop_cns"": 1.0, ""quickprop_dip_2_v"": 0.0015474, ""quickprop_dipole"": 1.468, ""quickprop_donorhb"": 1.0, ""quickprop_ea_ev"": 1.083, ""quickprop_fisa"": 90.483, ""quickprop_fosa"": 181.161, ""quickprop_glob"": 0.8439555, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.822, ""quickprop_jm"": 0.0093106598966779, ""quickprop_metab"": 5.0, ""quickprop_mol_mw"": 449.554, ""quickprop_nando"": 6.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 34.0, ""quickprop_percenthumanoralabsorption"": 95.981, ""quickprop_pisa"": 442.735, ""quickprop_psa"": 70.319, ""quickprop_qplogbb"": -0.367, ""quickprop_qplogherg"": -6.895, ""quickprop_qplogkhsa"": 0.48, ""quickprop_qplogkp"": -2.922, ""quickprop_qplogpc16"": 15.064, ""quickprop_qplogpo_w"": 4.042, ""quickprop_qplogpoct"": 22.169, ""quickprop_qplogpw"": 12.645, ""quickprop_qplogs"": -4.762, ""quickprop_qppcaco"": 342.57, ""quickprop_qppmdck"": 171.929, ""quickprop_qppolrz"": 48.643, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 8.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 0.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 714.38, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1391.956, ""quickprop_wpsa"": 0.0}",{}
ATP-HTVS-0063E4174F09,34081,O=C1CN(Cc2ccc(Cl)cc2I)[C@H](c2ccccc2)c2ccccc2N1,-1.03468293307069,unknown,"{""glide_ecoul"": -0.207585632801056, ""glide_eff_state_penalty"": 0.0088, ""glide_einternal"": 0.750952243804932, ""glide_emodel"": -36.9869611189895, ""glide_energy"": -35.0014126896858, ""glide_evdw"": -34.7938270568848, ""glide_gscore"": -1.04348293307069, ""glide_ligand_efficiency"": -0.0383215901137294, ""glide_ligand_efficiency_ln"": -0.240857128737544, ""glide_ligand_efficiency_sa"": -0.114964770214886}","{""quickprop_accpthb"": 4.5, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0069444, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -7.286, ""quickprop_cns"": 2.0, ""quickprop_dip_2_v"": 0.0317779, ""quickprop_dipole"": 6.109, ""quickprop_donorhb"": 1.0, ""quickprop_ea_ev"": 0.995, ""quickprop_fisa"": 52.493, ""quickprop_fosa"": 43.795, ""quickprop_glob"": 0.8306915, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 18.0, ""quickprop_ip_ev"": 8.948, ""quickprop_jm"": 0.0023529077990592, ""quickprop_metab"": 7.0, ""quickprop_mol_mw"": 488.754, ""quickprop_nando"": 3.0, ""quickprop_noncon"": 2.0, ""quickprop_nonhatm"": 27.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 422.9, ""quickprop_psa"": 40.298, ""quickprop_qplogbb"": 0.65, ""quickprop_qplogherg"": -7.015, ""quickprop_qplogkhsa"": 0.855, ""quickprop_qplogkp"": -2.868, ""quickprop_qplogpc16"": 13.612, ""quickprop_qplogpo_w"": 4.869, ""quickprop_qplogpoct"": 19.406, ""quickprop_qplogpw"": 10.013, ""quickprop_qplogs"": -5.45, ""quickprop_qppcaco"": 785.259, ""quickprop_qppmdck"": 2140.062, ""quickprop_qppolrz"": 43.596, ""quickprop_ringatoms"": 23.0, ""quickprop_rotor"": 2.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 1.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 648.007, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1174.307, ""quickprop_wpsa"": 128.82}",{}
ATP-HTVS-0079D40D2121,29921,Cc1ccccc1C[C@@H](CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,-3.34092399123274,unknown,"{""glide_ecoul"": -7.83664417266846, ""glide_eff_state_penalty"": 0.9898, ""glide_einternal"": 14.1512975692749, ""glide_emodel"": -42.5313617909771, ""glide_energy"": -38.5066194534302, ""glide_evdw"": -30.6699752807617, ""glide_gscore"": -4.33072399123274, ""glide_ligand_efficiency"": -0.111364133041091, ""glide_ligand_efficiency_ln"": -0.759094333090556, ""glide_ligand_efficiency_sa"": -0.346034253790339}","{""quickprop_accpthb"": 4.2, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0095093, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -6.187, ""quickprop_cns"": 1.0, ""quickprop_dip_2_v"": 0.0025552, ""quickprop_dipole"": 1.774, ""quickprop_donorhb"": 2.0, ""quickprop_ea_ev"": 0.904, ""quickprop_fisa"": 59.133, ""quickprop_fosa"": 159.273, ""quickprop_glob"": 0.8895235, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.782, ""quickprop_jm"": 0.244282522582884, ""quickprop_metab"": 5.0, ""quickprop_mol_mw"": 416.949, ""quickprop_nando"": 3.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 30.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 370.79, ""quickprop_psa"": 43.204, ""quickprop_qplogbb"": 0.069, ""quickprop_qplogherg"": -5.814, ""quickprop_qplogkhsa"": 0.773, ""quickprop_qplogkp"": -2.598, ""quickprop_qplogpc16"": 13.447, ""quickprop_qplogpo_w"": 4.739, ""quickprop_qplogpoct"": 19.098, ""quickprop_qplogpw"": 9.461, ""quickprop_qplogs"": -3.635, ""quickprop_qppcaco"": 679.266, ""quickprop_qppmdck"": 563.304, ""quickprop_qppolrz"": 41.533, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 8.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 0.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 624.622, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1231.443, ""quickprop_wpsa"": 35.425}",{}
ATP-HTVS-007D6F34F923,30817,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1N[C@@H](CCO)c1ccccc1,-3.4850388695678,unknown,"{""glide_ecoul"": -8.98308658599854, ""glide_eff_state_penalty"": 0.0383, ""glide_einternal"": 3.32747554779053, ""glide_emodel"": -45.0104956361892, ""glide_energy"": -34.6082963943481, ""glide_evdw"": -25.6252098083496, ""glide_gscore"": -3.5233388695678, ""glide_ligand_efficiency"": -0.105607238471752, ""glide_ligand_efficiency_ln"": -0.775054600026337, ""glide_ligand_efficiency_sa"": -0.338738842499398}","{""quickprop_accpthb"": 6.7, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0158682, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -5.64, ""quickprop_cns"": 0.0, ""quickprop_dip_2_v"": 0.0103495, ""quickprop_dipole"": 3.822, ""quickprop_donorhb"": 3.0, ""quickprop_ea_ev"": 0.858, ""quickprop_fisa"": 85.222, ""quickprop_fosa"": 253.375, ""quickprop_glob"": 0.8320841, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.307, ""quickprop_jm"": 0.0984284956964846, ""quickprop_metab"": 6.0, ""quickprop_mol_mw"": 441.575, ""quickprop_nando"": 6.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 33.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 392.725, ""quickprop_psa"": 66.612, ""quickprop_qplogbb"": -0.522, ""quickprop_qplogherg"": -6.848, ""quickprop_qplogkhsa"": 0.59, ""quickprop_qplogkp"": -2.713, ""quickprop_qplogpc16"": 15.32, ""quickprop_qplogpo_w"": 4.388, ""quickprop_qplogpoct"": 23.677, ""quickprop_qplogpw"": 13.297, ""quickprop_qplogs"": -3.939, ""quickprop_qppcaco"": 384.276, ""quickprop_qppmdck"": 194.661, ""quickprop_qppolrz"": 47.02, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 11.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 0.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 731.322, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1411.452, ""quickprop_wpsa"": 0.0}",{}
ATP-HTVS-00C8034698A8,34403,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,-5.81163963281027,unknown,"{""glide_ecoul"": -12.8155755996704, ""glide_eff_state_penalty"": 0.0488, ""glide_einternal"": 5.01027822494507, ""glide_emodel"": -67.4370508101919, ""glide_energy"": -44.6087369918823, ""glide_evdw"": -31.7931613922119, ""glide_gscore"": -5.86043963281027, ""glide_ligand_efficiency"": -0.207558558314652, ""glide_ligand_efficiency_ln"": -1.34149706440688, ""glide_ligand_efficiency_sa"": -0.630270028496622}","{""quickprop_accpthb"": 5.5, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.007465, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 2.0, ""quickprop_ciqplogs"": -3.732, ""quickprop_cns"": 2.0, ""quickprop_dip_2_v"": 0.006135, ""quickprop_dipole"": 2.827, ""quickprop_donorhb"": 1.0, ""quickprop_ea_ev"": 0.63, ""quickprop_fisa"": 24.707, ""quickprop_fosa"": 285.761, ""quickprop_glob"": 0.7828549, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 20.0, ""quickprop_ip_ev"": 8.211, ""quickprop_jm"": 0.0038193300790659, ""quickprop_metab"": 6.0, ""quickprop_mol_mw"": 374.485, ""quickprop_nando"": 5.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 28.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 426.303, ""quickprop_psa"": 40.131, ""quickprop_qplogbb"": 0.67, ""quickprop_qplogherg"": -8.531, ""quickprop_qplogkhsa"": 0.77, ""quickprop_qplogkp"": -3.926, ""quickprop_qplogpc16"": 13.826, ""quickprop_qplogpo_w"": 4.419, ""quickprop_qplogpoct"": 19.174, ""quickprop_qplogpw"": 9.898, ""quickprop_qplogs"": -4.065, ""quickprop_qppcaco"": 359.256, ""quickprop_qppmdck"": 200.242, ""quickprop_qppolrz"": 45.548, ""quickprop_ringatoms"": 20.0, ""quickprop_rotor"": 7.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 0.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 736.771, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1302.485, ""quickprop_wpsa"": 0.0}",{}
ATP-HTVS-00F86A54285D,38369,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,-3.90724208104371,unknown,"{""glide_ecoul"": -6.66667413711548, ""glide_eff_state_penalty"": 0.0618, ""glide_einternal"": 5.92466402053833, ""glide_emodel"": -49.0435976915142, ""glide_energy"": -35.0066246986389, ""glide_evdw"": -28.3399505615234, ""glide_gscore"": -3.96904208104371, ""glide_ligand_efficiency"": -0.122101315032616, ""glide_ligand_efficiency_ln"": -0.874938009342227, ""glide_ligand_efficiency_sa"": -0.387647511411122}","{""quickprop_accpthb"": 6.7, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0157261, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -5.363, ""quickprop_cns"": 0.0, ""quickprop_dip_2_v"": 0.0055137, ""quickprop_dipole"": 2.761, ""quickprop_donorhb"": 3.0, ""quickprop_ea_ev"": 0.68, ""quickprop_fisa"": 51.795, ""quickprop_fosa"": 189.747, ""quickprop_glob"": 0.8134123, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 22.0, ""quickprop_ip_ev"": 8.115, ""quickprop_jm"": 0.389478813833655, ""quickprop_metab"": 5.0, ""quickprop_mol_mw"": 427.548, ""quickprop_nando"": 6.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 32.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 496.388, ""quickprop_psa"": 67.657, ""quickprop_qplogbb"": -0.163, ""quickprop_qplogherg"": -7.645, ""quickprop_qplogkhsa"": 0.543, ""quickprop_qplogkp"": -1.828, ""quickprop_qplogpc16"": 15.609, ""quickprop_qplogpo_w"": 4.547, ""quickprop_qplogpoct"": 23.721, ""quickprop_qplogpw"": 14.011, ""quickprop_qplogs"": -4.213, ""quickprop_qppcaco"": 797.305, ""quickprop_qppmdck"": 428.448, ""quickprop_qppolrz"": 47.503, ""quickprop_ringatoms"": 22.0, ""quickprop_rotor"": 10.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 0.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 737.93, ""quickprop_stars"": 1.0, ""quickprop_volume"": 1382.743, ""quickprop_wpsa"": 0.0}",{}
ATP-HTVS-011A966B3F21,59203,Cc1cccc(C[C@@H](CO)C[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)c1,-5.69314528862896,unknown,"{""glide_ecoul"": -11.1307640075684, ""glide_eff_state_penalty"": 0.0659, ""glide_einternal"": 4.73460388183594, ""glide_emodel"": -56.459517369037, ""glide_energy"": -37.8285942077637, ""glide_evdw"": -26.6978302001953, ""glide_gscore"": -5.75904528862896, ""glide_ligand_efficiency"": -0.196315354780309, ""glide_ligand_efficiency_ln"": -1.30358590538773, ""glide_ligand_efficiency_sa"": -0.603142966955043}","{""quickprop_accpthb"": 4.7, ""quickprop_acid"": 0.0, ""quickprop_acxdn_5_sa"": 0.0104242, ""quickprop_amide"": 0.0, ""quickprop_amidine"": 0.0, ""quickprop_amine"": 1.0, ""quickprop_ciqplogs"": -5.321, ""quickprop_cns"": 1.0, ""quickprop_dip_2_v"": 0.0076402, ""quickprop_dipole"": 3.064, ""quickprop_donorhb"": 2.0, ""quickprop_ea_ev"": 0.274, ""quickprop_fisa"": 49.123, ""quickprop_fosa"": 175.613, ""quickprop_glob"": 0.8701069, ""quickprop_humanoralabsorption"": 3.0, ""quickprop_in34"": 0.0, ""quickprop_in56"": 21.0, ""quickprop_ip_ev"": 8.804, ""quickprop_jm"": 1.05877263122954, ""quickprop_metab"": 8.0, ""quickprop_mol_mw"": 386.493, ""quickprop_nando"": 4.0, ""quickprop_noncon"": 0.0, ""quickprop_nonhatm"": 29.0, ""quickprop_percenthumanoralabsorption"": 100.0, ""quickprop_pisa"": 412.895, ""quickprop_psa"": 51.259, ""quickprop_qplogbb"": -0.013, ""quickprop_qplogherg"": -6.329, ""quickprop_qplogkhsa"": 0.628, ""quickprop_qplogkp"": -2.169, ""quickprop_qplogpc16"": 13.364, ""quickprop_qplogpo_w"": 4.502, ""quickprop_qplogpoct"": 19.055, ""quickprop_qplogpw"": 9.97, ""quickprop_qplogs"": -3.393, ""quickprop_qppcaco"": 845.215, ""quickprop_qppmdck"": 456.341, ""quickprop_qppolrz"": 41.185, ""quickprop_ringatoms"": 21.0, ""quickprop_rotor"": 9.0, ""quickprop_rtvfg"": 0.0, ""quickprop_ruleoffive"": 0.0, ""quickprop_ruleofthree"": 1.0, ""quickprop_saamideo"": 0.0, ""quickprop_safluorine"": 0.0, ""quickprop_sasa"": 637.631, ""quickprop_stars"": 0.0, ""quickprop_volume"": 1228.757, ""quickprop_wpsa"": 0.0}",{}
