profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-0009DAEDE04F,79971,,,,,,
balanced,ATP-HTVS-0015C54A99C8,82625,,,,,,
balanced,ATP-HTVS-003E4D952AAC,76899,,,,,,
balanced,ATP-HTVS-005EEA24BFEA,69987,,,,,,
balanced,ATP-HTVS-0063E4174F09,34081,,,,,,
balanced,ATP-HTVS-0079D40D2121,29921,,,,,,
balanced,ATP-HTVS-007D6F34F923,30817,,,,,,
balanced,ATP-HTVS-00C8034698A8,34403,,,,,,
balanced,ATP-HTVS-00F86A54285D,38369,,,,,,
balanced,ATP-HTVS-011A966B3F21,59203,,,,,,
balanced,ATP-HTVS-0125A5267C6C,70530,,,,,,
balanced,ATP-HTVS-0161AEC2E23E,48867,,,,,,
balanced,ATP-HTVS-017DA1C05B1D,98562,,,,,,
balanced,ATP-HTVS-01DF3EF44742,99137,,,,,,
balanced,ATP-HTVS-01E9987F6BBC,40801,,,,,,
balanced,ATP-HTVS-02393E0D1A46,72513,,,,,,
balanced,ATP-HTVS-02527EDCA73D,62593,,,,,,
balanced,ATP-HTVS-0258CCAE4910,3905,,,,,,
balanced,ATP-HTVS-027CB3113620,20194,,,,,,
balanced,ATP-HTVS-0282D10141FD,57825,,,,,,
balanced,ATP-HTVS-028F2DC4E032,96994,,,,,,
balanced,ATP-HTVS-02AC8E798E60,89826,,,,,,
balanced,ATP-HTVS-02BB8772E392,54466,,,,,,
balanced,ATP-HTVS-02DF9A19852D,45889,,,,,,
balanced,ATP-HTVS-0362648F57EF,78755,,,,,,
balanced,ATP-HTVS-03C3664644A2,98497,,,,,,
balanced,ATP-HTVS-03F3A1A9B60E,77378,,,,,,
balanced,ATP-HTVS-0438281B0112,75297,,,,,,
balanced,ATP-HTVS-0460857F35D6,52162,,,,,,
balanced,ATP-HTVS-04621B482D9F,87427,,,,,,
balanced,ATP-HTVS-04BA495CA0A4,22531,,,,,,
balanced,ATP-HTVS-052AF9B11E6A,34531,,,,,,
balanced,ATP-HTVS-053279755E30,96641,,,,,,
balanced,ATP-HTVS-0587EECAF94B,71363,,,,,,
balanced,ATP-HTVS-05A72EDFB57A,38883,,,,,,
balanced,ATP-HTVS-05E9E2FC066B,70657,,,,,,
balanced,ATP-HTVS-0659C124A83C,70241,,,,,,
balanced,ATP-HTVS-069ABDEDA86E,60193,,,,,,
balanced,ATP-HTVS-06CA19E03C57,93825,,,,,,
balanced,ATP-HTVS-06E5BAB39855,49667,,,,,,
balanced,ATP-HTVS-071084F9408F,96642,,,,,,
balanced,ATP-HTVS-0715C99C3A28,99362,,,,,,
balanced,ATP-HTVS-0743B9964B99,20417,,,,,,
balanced,ATP-HTVS-07D9286D8737,76898,,,,,,
balanced,ATP-HTVS-07F3737128F1,86945,,,,,,
balanced,ATP-HTVS-08126335CB19,67841,,,,,,
balanced,ATP-HTVS-081D95190B15,78402,,,,,,
balanced,ATP-HTVS-08266C4344A3,88675,,,,,,
balanced,ATP-HTVS-0852D38F8C28,46851,,,,,,
balanced,ATP-HTVS-08590B5C6743,87873,,,,,,
balanced,ATP-HTVS-086F5E4227DC,20162,,,,,,
balanced,ATP-HTVS-08A6E1F87809,61538,,,,,,
balanced,ATP-HTVS-093491EAEBEC,53250,,,,,,
balanced,ATP-HTVS-09A5DA8CBD66,30690,,,,,,
balanced,ATP-HTVS-09A833AE3D1D,90339,,,,,,
balanced,ATP-HTVS-09F9B4EC4E97,20514,,,,,,
balanced,ATP-HTVS-0A1AFDA96BE3,90754,,,,,,
balanced,ATP-HTVS-0A1D74055304,29089,,,,,,
balanced,ATP-HTVS-0A30D9D79A37,89123,,,,,,
balanced,ATP-HTVS-0A53D5277C22,24418,,,,,,
balanced,ATP-HTVS-0A81E0DFACE9,19938,,,,,,
balanced,ATP-HTVS-0A8B3D0EFFB7,1954,,,,,,
balanced,ATP-HTVS-0A8D2667A5C6,69794,,,,,,
balanced,ATP-HTVS-0AAFA8CB92ED,43169,,,,,,
balanced,ATP-HTVS-0AE85D2EF5B8,94338,,,,,,
balanced,ATP-HTVS-0B0619B736F3,87937,,,,,,
balanced,ATP-HTVS-0B15CB8240E3,99809,,,,,,
balanced,ATP-HTVS-0B527D484045,76929,,,,,,
balanced,ATP-HTVS-0B76E6A2B6F2,90146,,,,,,
balanced,ATP-HTVS-0BEF59EEEAC9,79426,,,,,,
balanced,ATP-HTVS-0C1598B702AE,55106,,,,,,
balanced,ATP-HTVS-0C253F9D7643,68259,,,,,,
balanced,ATP-HTVS-0C40F7CB6A92,58402,,,,,,
balanced,ATP-HTVS-0C765FB89CD3,40065,,,,,,
balanced,ATP-HTVS-0C924C2A1F00,82563,,,,,,
balanced,ATP-HTVS-0CA591B42E29,85378,,,,,,
balanced,ATP-HTVS-0CB0406266F3,38243,,,,,,
balanced,ATP-HTVS-0CBFB91815ED,70274,,,,,,
balanced,ATP-HTVS-0CC0B448CED2,38179,,,,,,
balanced,ATP-HTVS-0CD00DCFE488,46273,,,,,,
balanced,ATP-HTVS-0CE67B896AED,99842,,,,,,
balanced,ATP-HTVS-0D57BDDB1211,69729,,,,,,
balanced,ATP-HTVS-0D83F5E9F976,52769,,,,,,
balanced,ATP-HTVS-0D8C52C362EE,73825,,,,,,
balanced,ATP-HTVS-0DE7571C9DAC,43267,,,,,,
balanced,ATP-HTVS-0E6472D072C2,1473,,,,,,
balanced,ATP-HTVS-0E76F39BB090,32387,,,,,,
balanced,ATP-HTVS-0E779CFB9E8D,92771,,,,,,
balanced,ATP-HTVS-0EB7A7111FDE,80385,,,,,,
balanced,ATP-HTVS-0F3A12BD04AB,91361,,,,,,
balanced,ATP-HTVS-0F469DA925F8,70337,,,,,,
