compound_id,historical_alias,profiles_evaluated,top3_profile_count,top5_profile_count,best_rank,worst_rank,mean_profile_rank,interpretation
ATP-HTVS-0009DAEDE04F,79971,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0015C54A99C8,82625,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-003E4D952AAC,76899,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-005EEA24BFEA,69987,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0063E4174F09,34081,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0079D40D2121,29921,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-007D6F34F923,30817,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-00C8034698A8,34403,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-00F86A54285D,38369,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-011A966B3F21,59203,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0125A5267C6C,70530,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0161AEC2E23E,48867,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-017DA1C05B1D,98562,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-01DF3EF44742,99137,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-01E9987F6BBC,40801,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-02393E0D1A46,72513,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-02527EDCA73D,62593,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0258CCAE4910,3905,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-027CB3113620,20194,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0282D10141FD,57825,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-028F2DC4E032,96994,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-02AC8E798E60,89826,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-02BB8772E392,54466,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-02DF9A19852D,45889,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0362648F57EF,78755,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-03C3664644A2,98497,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-03F3A1A9B60E,77378,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0438281B0112,75297,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0460857F35D6,52162,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-04621B482D9F,87427,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-04BA495CA0A4,22531,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-052AF9B11E6A,34531,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-053279755E30,96641,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0587EECAF94B,71363,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-05A72EDFB57A,38883,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-05E9E2FC066B,70657,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0659C124A83C,70241,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-069ABDEDA86E,60193,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-06CA19E03C57,93825,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-06E5BAB39855,49667,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-071084F9408F,96642,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0715C99C3A28,99362,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0743B9964B99,20417,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-07D9286D8737,76898,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-07F3737128F1,86945,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-08126335CB19,67841,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-081D95190B15,78402,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-08266C4344A3,88675,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0852D38F8C28,46851,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
