stage,compound_id,current_rank,scaffold,evidence_completeness,uncertainty,model_disagreement,relative_cost,acquisition_rank,acquisition_score,reason,interpretation
SP,ATP-HTVS-AC71774ACC4B,1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,0.3333333333333333,unknown,unknown,10,1,0.06333333333333334,rank=1; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-780990BE0E68,2,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,0.3333333333333333,unknown,unknown,10,2,0.06330883853847724,rank=2; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-66618B00A972,3,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,0.3333333333333333,unknown,unknown,10,3,0.06328434374362114,rank=3; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-D6043925B579,4,c1ccc(CC[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,0.3333333333333333,unknown,unknown,10,4,0.06325984894876505,rank=4; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-65F4836C7042,5,O=C(NCc1sc2ccccc2c1C#CCCc1ccccc1)c1ccccc1,0.3333333333333333,unknown,unknown,10,5,0.06323535415390896,rank=5; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-CEDCE5F1BEB7,6,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)nc2)cc1,0.3333333333333333,unknown,unknown,10,6,0.06321085935905288,rank=6; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-AD7FBCC01633,7,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,0.3333333333333333,unknown,unknown,10,7,0.06318636456419678,rank=7; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-2AD5F3716208,8,c1ccc(CC[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)cc1,0.3333333333333333,unknown,unknown,10,8,0.06316186976934068,rank=8; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-99483DBEAA78,9,O=C(Cc1ccccc1)n1nc(-c2ccncc2)cc1CC[NH2+]Cc1ccccc1,0.3333333333333333,unknown,unknown,10,9,0.06313737497448459,rank=9; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-B0A71AB87D72,10,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,0.3333333333333333,unknown,unknown,10,10,0.06311288017962849,rank=10; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
SP,ATP-HTVS-3B3954EE8C13,11,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,0.3333333333333333,unknown,unknown,10,11,0.0630883853847724,rank=11; completeness=0.3333333333333333; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=10.0,heuristic_priority_not_activity_probability_or_validated_information_gain
