profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-SMI-C93E6EC67CDB,Hit2,1,1,73.7589699074074,1.3114,0.9703,0.99
balanced,ATP-SMI-9DA3213A09E8,Hit1,2,2,71.20891203703704,1.849,0.9966,0.9999
balanced,ATP-SMI-5D3E7B6B6796,Hit4,3,3,63.54484953703704,4.0388,0.2785,0.8977
balanced,ATP-SMI-96FD6257D8BA,Hit5,4,4,63.19328703703704,4.4913,0.4032,0.7806
balanced,ATP-SMI-5B36D3E11A3B,Hit13,5,5,60.829282407407405,5.5937,0.2203,0.4548
balanced,ATP-SMI-E9798004BA11,Hit6,6,6,60.790798611111114,6.4326,0.0,0.3659
balanced,ATP-SMI-C3308BEE03AC,Hit10,7,7,59.024594907407405,6.97,0.1169,0.2704
balanced,ATP-SMI-775D33706F04,Hit14,8,8,57.641782407407405,8.2024,0.0008,0.1287
balanced,ATP-SMI-CDED936B42F4,Hit11,9,9,56.563657407407405,9.0187,0.0011,0.014
balanced,ATP-SMI-874C2DE25FE4,Hit3,10,10,55.74971064814815,9.7893,0.0123,0.0922
balanced,ATP-SMI-BF69AB71C1A4,Hit8,11,11,55.266782407407405,10.1055,0.0,0.0057
balanced,ATP-SMI-91E7552C2382,Hit16,12,12,52.930844907407405,11.5378,0.0,0.0001
balanced,ATP-SMI-4417138BF81D,Hit17,13,13,50.70891203703704,13.4727,0.0,0.0
balanced,ATP-SMI-FCA9CDF3313B,Hit9,14,14,49.657407407407405,13.9458,0.0,0.0
balanced,ATP-SMI-CFA68A98711F,Hit15,15,15,49.25260416666667,14.6689,0.0,0.0
balanced,ATP-SMI-94F73967C042,Hit12,16,16,48.126157407407405,15.1796,0.0,0.0
balanced,ATP-SMI-15737353FB69,Hit7,17,17,45.26996527777778,16.3925,0.0,0.0
binding_focused,ATP-SMI-C93E6EC67CDB,Hit2,1,1,76.77430555555556,1.2401,0.9924,1.0
binding_focused,ATP-SMI-9DA3213A09E8,Hit1,2,2,75.27777777777777,1.7971,1.0,1.0
binding_focused,ATP-SMI-96FD6257D8BA,Hit5,3,3,69.21527777777777,3.2752,0.6995,0.9993
binding_focused,ATP-SMI-874C2DE25FE4,Hit3,4,4,67.14236111111111,4.4233,0.2941,0.7567
binding_focused,ATP-SMI-5D3E7B6B6796,Hit4,5,5,66.43402777777777,4.5667,0.0125,0.9998
binding_focused,ATP-SMI-E9798004BA11,Hit6,6,6,64.36458333333333,5.7659,0.0,0.239
binding_focused,ATP-SMI-C3308BEE03AC,Hit10,7,7,52.64930555555556,7.6543,0.0011,0.0041
binding_focused,ATP-SMI-CDED936B42F4,Hit11,8,8,51.99305555555556,8.7998,0.0,0.0
binding_focused,ATP-SMI-BF69AB71C1A4,Hit8,9,9,51.74305555555556,8.906,0.0,0.0001
binding_focused,ATP-SMI-5B36D3E11A3B,Hit13,10,10,49.80555555555556,10.245,0.0004,0.001
binding_focused,ATP-SMI-FCA9CDF3313B,Hit9,11,11,49.18055555555556,11.1915,0.0,0.0
binding_focused,ATP-SMI-15737353FB69,Hit7,12,12,48.80208333333333,11.8204,0.0,0.0
binding_focused,ATP-SMI-775D33706F04,Hit14,13,13,47.86805555555556,11.9487,0.0,0.0
binding_focused,ATP-SMI-91E7552C2382,Hit16,14,14,44.27430555555556,14.3753,0.0,0.0
binding_focused,ATP-SMI-CFA68A98711F,Hit15,15,15,43.90625,14.8135,0.0,0.0
binding_focused,ATP-SMI-94F73967C042,Hit12,16,16,42.61805555555556,15.532,0.0,0.0
binding_focused,ATP-SMI-4417138BF81D,Hit17,17,17,40.59027777777778,16.6452,0.0,0.0
atp_mechanism_focused,ATP-SMI-96FD6257D8BA,Hit5,1,1,67.90277777777777,2.1157,0.8469,0.9849
atp_mechanism_focused,ATP-SMI-5D3E7B6B6796,Hit4,2,2,67.04340277777777,3.0244,0.707,0.9977
atp_mechanism_focused,ATP-SMI-CDED936B42F4,Hit11,3,3,66.05555555555556,3.7519,0.4747,0.8265
atp_mechanism_focused,ATP-SMI-5B36D3E11A3B,Hit13,4,4,65.83680555555556,3.7908,0.4236,0.6673
