stage,compound_id,current_rank,scaffold,evidence_completeness,uncertainty,model_disagreement,relative_cost,acquisition_rank,acquisition_score,reason,interpretation
HTVS,ATP-SMI-CFA68A98711F,1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,2,1,0.25,rank=1; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-4417138BF81D,2,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1.0,unknown,unknown,2,2,0.23823529411764705,rank=2; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-91E7552C2382,3,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,unknown,unknown,2,3,0.22647058823529415,rank=3; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-775D33706F04,4,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1.0,unknown,unknown,2,4,0.2147058823529412,rank=4; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-C93E6EC67CDB,5,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,2,5,0.20294117647058824,rank=5; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-874C2DE25FE4,6,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,unknown,unknown,2,6,0.19117647058823528,rank=6; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-96FD6257D8BA,8,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1.0,unknown,unknown,2,7,0.16764705882352943,rank=8; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-94F73967C042,9,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,2,8,0.15588235294117647,rank=9; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-C3308BEE03AC,7,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,2,9,0.12941176470588234,rank=7; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-FCA9CDF3313B,12,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,1.0,unknown,unknown,2,10,0.12058823529411765,rank=12; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-CDED936B42F4,13,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,2,11,0.10882352941176471,rank=13; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
