job_id,batch_id,project_id,candidate_id,tool_id,protocol_id,input_artifacts,command_manifest,created_at,started_at,completed_at,status,return_code,stdout_path,stderr_path,output_artifacts,provenance,signature,reason,attempt
job_7b9283e40f954dd5cd1a,batch_bb1042fde09a4d49,atp_synthase,__library__,historical_import,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""action"": ""import_existing_computational_evidence"", ""lineage"": {""candidate_count"": 17, ""input_sha256"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""library"": ""internal"", ""note"": ""Computed historical values are preserved, not regenerated or experimental measurements."", ""source_files"": [{""path"": ""data\\model_v3\\training_table.csv"", ""sha256"": ""fa6d57753ba4b72f33ac21ef68eeba932c6c891bc7949bd5af30ac3dc3cd0a1b""}, {""path"": ""data\\dataset_v0.2\\samples.csv"", ""sha256"": ""fdef34d7984dafadd743b94f910bd2d4a529b553dfed892115775bd03baf31e3""}, {""path"": ""data\\model_v3\\binding_feature_table.csv"", ""sha256"": ""dc85b57efc7835aa81b129ca05dccb935fad7eaec166ca90a97f36c383775dd3""}], ""source_kind"": ""historical_internal_17_replay_not_new_validation""}, ""source_sha256"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154""}",2026-08-26T13:18:46.103932+00:00,,2026-08-26T13:18:46.110368+00:00,completed,0.0,,,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""origin"": ""execution_workspace""}",7b9283e40f954dd5cd1a6eafcdbc2a741f1c15929ebff54b8e33d218a4c9a332,,0
job_d3f94af4d5ea410a7696,batch_bb1042fde09a4d49,atp_synthase,__library__,rdkit,rdkit_morgan2_1024_chiral_v1_2026_03_5,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""action"": ""structure_qc"", ""actual_command"": {""argv"": [""D:\\tiaozhansai\\ATP-Navigator\\.venv\\Scripts\\python.exe"", ""D:\\tiaozhansai\\ATP-Navigator\\src\\workspace\\rdkit_worker.py"", ""--input"", ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv"", ""--output"", ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\jobs\\job_d3f94af4d5ea410a7696\\attempt_1\\result.csv""], ""cwd"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\jobs\\job_d3f94af4d5ea410a7696\\attempt_1"", ""expected_outputs"": [""result.csv""], ""job_id"": ""job_d3f94af4d5ea410a7696"", ""protocol_id"": ""rdkit_morgan2_1024_chiral_v1_2026_03_5"", ""shell"": false, ""worker_sha256"": ""e1afb8625a44d205a591b79a9d619aa1e1ab82d869df51798b3673c35180d452""}, ""stage"": ""structure_qc"", ""worker_sha256"": ""e1afb8625a44d205a591b79a9d619aa1e1ab82d869df51798b3673c35180d452""}",2026-08-26T13:18:46.222942+00:00,2026-08-26T13:18:46.233807+00:00,2026-08-26T13:18:46.942670+00:00,completed,0.0,D:\tiaozhansai\ATP-Navigator\workspace_local\jobs\job_d3f94af4d5ea410a7696\attempt_1\stdout.txt,D:\tiaozhansai\ATP-Navigator\workspace_local\jobs\job_d3f94af4d5ea410a7696\attempt_1\stderr.txt,"[{""artifact_hash"": ""8766450d7bac4f15223d0f0c8f57c6d62c9395ef7f4cb2d19ea2f471d22d6000"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\jobs\\job_d3f94af4d5ea410a7696\\attempt_1\\result.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\8766450d7bac4f15223d0f0c8f57c6d62c9395ef7f4cb2d19ea2f471d22d6000\\result.csv""}, {""artifact_hash"": ""3480e621eeb8c532e050c079f3fdb3dba59f0be554932f074e8f1d103e7f1764"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\jobs\\job_d3f94af4d5ea410a7696\\attempt_1\\command.json"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\3480e621eeb8c532e050c079f3fdb3dba59f0be554932f074e8f1d103e7f1764\\command.json""}, {""artifact_hash"": ""e166c066e492101797789cf7bd49012c9474dc56d9e2b1cc1ab5f4473177e482"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\jobs\\job_d3f94af4d5ea410a7696\\attempt_1\\receipt.json"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e166c066e492101797789cf7bd49012c9474dc56d9e2b1cc1ab5f4473177e482\\receipt.json""}]","{""origin"": ""execution_workspace""}",d3f94af4d5ea410a7696578a98779f81bd1ea07d30ddbacd918133926a8e7e5f,,1
job_5b66979cbc415800335b,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-96FD6257D8BA,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-96FD6257D8BA"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.609417+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",5b66979cbc415800335b4163c3e8cbd7274fb518904dbe0a02451822d17071b9,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_7ac69087741d717c629c,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-5D3E7B6B6796,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-5D3E7B6B6796"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.621414+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",7ac69087741d717c629c6909e7a52d13333d9b064f8c934f3cefdbece67552cc,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_770180f22f5e28433398,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-CDED936B42F4,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-CDED936B42F4"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.636131+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",770180f22f5e284333989ab367a2ceb7406a3fbb2c7c5042594d40cb2f2a3cce,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_a91f17c074da72209af9,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-5B36D3E11A3B,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-5B36D3E11A3B"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.651043+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",a91f17c074da72209af963ebf22ae4dd141adf5e09af3240f389697af557b06d,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_4dc771ad97a56e9523b2,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-9DA3213A09E8,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-9DA3213A09E8"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.665017+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",4dc771ad97a56e9523b23cb496681d82da996431184e806ff1cd78615f50ca1f,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_8b4afe34e265f7aa87d1,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-E9798004BA11,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-E9798004BA11"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.678616+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",8b4afe34e265f7aa87d1de033f4711126083ec7fd6dd494819c458daa1e623df,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_150ed26e43694dcc6a9b,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-775D33706F04,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-775D33706F04"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.691426+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",150ed26e43694dcc6a9b312e9aa614415a3522c06ccb849e9f0e698a34338f6b,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
job_ba6a2a4d9d5e82164b10,batch_bb1042fde09a4d49,atp_synthase,ATP-SMI-4417138BF81D,glide,atp_historical_audit_791f36fe7b4c,"[{""artifact_hash"": ""e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154"", ""original_path"": ""D:\\tiaozhansai\\ATP-Navigator\\results\\phase12\\internal_17_run2\\candidate_library.csv"", ""path"": ""D:\\tiaozhansai\\ATP-Navigator\\workspace_local\\artifacts\\e7936d4100e882f6a511eb98d50c043c457630b1e4e3811e5c0fd75c38a11154\\candidate_library.csv""}]","{""candidate_id"": ""ATP-SMI-4417138BF81D"", ""cli_arguments"": [], ""grid"": ""unknown"", ""predecessor"": ""structure_qc"", ""prepared_input"": null, ""stage"": ""HTVS"", ""tool_id"": ""glide"", ""worker_sha256"": ""3e0f2659012661507bda6a9c5781de8720b1eabf6621c1b7295bf9c0667ad9ef""}",2026-08-26T13:18:47.704490+00:00,,,blocked,,,,[],"{""origin"": ""execution_workspace""}",ba6a2a4d9d5e82164b10eca57f3ac06dd8189f036e7d989a57a9944ce0ad3419,tool_not_found: Executable not found; docking_mode_not_confirmed_for_HTVS; grid_must_be_hash_pinned; protocol.docking_mode=unknown; protocol.force_field=unknown; protocol.grid=unknown; protocol.ligand_preparation=unknown; protocol.protonation=unknown; protocol.receptor=unknown; protocol_confirmation_required; receptor_must_be_hash_pinned; hash_pinned_prepared_ligand_or_poseviewer_missing,0
