record_id,source_row,pdb_id,title,method,resolution_A,organism,ligand_or_inhibitor,pdb_ligand_codes,binding_subunit_site,reference,journal,doi,year,link,notes,status,canonical_smiles,comparator,parsed_activity_bound,endpoint_stratum,issues,training_allowed,internal_evidence_allowed,source_hash
knowledge_5ad4d4d8393fb4c9194efc12,2,7P2Y,F1Fo-ATP synthase from Acinetobacter baumannii (state 1),ELECTRON MICROSCOPY,3.1,Acinetobacter baumannii ATCC 17978,"none (apo, state 1)","ADP,ATP,MG",Fo a/c interface region; c-ring Asp60 proton-binding site (project docking site),Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P2Y,项目参考结构；结合位点未占位,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Acinetobacter baumannii ATCC 17978"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""apo_vs_bound_nucleotide_description_requires_review""]",False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_1ac7faf42c82cb18e30f168b,3,7P3N,F1Fo-ATP synthase from Acinetobacter baumannii (state 2),ELECTRON MICROSCOPY,4.6,Acinetobacter baumannii ATCC 17978,"none (apo, state 2)","ADP,ATP,MG",同上,Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P3N,旋转态2,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Acinetobacter baumannii ATCC 17978"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""apo_vs_bound_nucleotide_description_requires_review""]",False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_97a1c1bf1016509c1386da1b,4,7P3W,F1Fo-ATP synthase from Acinetobacter baumannii (state 3),ELECTRON MICROSCOPY,4.3,Acinetobacter baumannii ATCC 17978,"none (apo, state 3)","ADP,ATP,MG",同上；本项目HTVS/对接所用参考结构,Structure of ATP synthase from ESKAPE pathogen Acinetobacter baumannii,Sci Adv,10.1126/sciadv.abl5966,2022,https://www.rcsb.org/structure/7P3W,旋转态3,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Acinetobacter baumannii ATCC 17978"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""apo_vs_bound_nucleotide_description_requires_review""]",False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_09a82680b19fb7593b95684b,5,4V1F,Crystal structure of a mycobacterial ATP synthase rotor ring in complex with Bedaquiline,X-RAY DIFFRACTION,1.697,Mycolicibacterium phlei,bedaquiline (BDQ),none,"Fo c-ring (c9) 质子结合位点, cGlu65 (M. phlei)",Structure of the mycobacterial ATP synthase Fo rotor ring in complex with the anti-TB drug bedaquiline,Sci Adv,10.1126/sciadv.1500106,2015,https://www.rcsb.org/structure/4V1F,X-ray 1.70Å,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium phlei"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_3aef0406944c7ed4af84412a,6,4V1G,Crystal structure of a mycobacterial ATP synthase rotor ring,X-RAY DIFFRACTION,1.55,Mycolicibacterium phlei,none (apo c-ring),none,c-ring,Structure of the Mycobacterial ATP Synthase Fo Rotor Ring in Complex with the Anti-Tb Drug Bedaquiline,Sci.Adv.,10.1126/SCIADV.1500106,2015,https://www.rcsb.org/structure/4V1G,BDQ-free对照,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium phlei"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_c5b6377c54528df65c74fc73,7,4V1H,Crystal structure of a mycobacterial ATP synthase rotor ring in complex with Iodo-Bedaquiline,X-RAY DIFFRACTION,1.8,Mycolicibacterium phlei,iodo-bedaquiline,none,"Fo c-ring, 同4V1F",Structure of the Mycobacterial ATP Synthase Fo Rotor Ring in Complex with Iodo-Bedaquiline,To be Published,unknown,,https://www.rcsb.org/structure/4V1H,含碘BDQ衍生物,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium phlei"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_deb71556f3bec6f2cf6c8865,8,7JG5,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 1,ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,none (BDQ-free),"ADP,ATP,MG",rotational state 1,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG5,apo对照,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_c056d0ccb980d621d3ce8ebd,9,7JG6,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 2 (backbone model),ELECTRON MICROSCOPY,3.7,Mycolicibacterium smegmatis,none (BDQ-free),none,rotational state 2,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG6,apo对照,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_d49d06da898bb6b7aa964230,10,7JG7,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase rotational state 3 (backbone model),ELECTRON MICROSCOPY,3.5,Mycolicibacterium smegmatis,none (BDQ-free),none,rotational state 3,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG7,apo对照,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_ed8b6331c87c09835a2f914a,11,7JG8,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase rotational state 1 (backbone model),ELECTRON MICROSCOPY,3.3,Mycolicibacterium smegmatis,bedaquiline (saturated),none,"Fo a/c interface + c-ring, cGlu65区域",Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG8,BDQ饱和态 state 1,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
