record_id,source_row,anchor_compound,anchor_source,pubchem_cid,compound_name,SMILES,tanimoto_to_anchor,pubchem_bioassay_count,atp_synthase_activity,antibacterial_activity,link,notes,status,canonical_smiles,comparator,parsed_activity_bound,endpoint_stratum,issues,training_allowed,internal_evidence_allowed,source_hash
knowledge_127f8847fb7a9b2ad1462f7d,2,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,155803293,"Thieno[3',2':5,6]pyrido[3,2-b]azepine",C1C=C2C=C3C(=CC=CC=N3)N=C2S1,0.229,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/155803293,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C1=CC=c2nc3c(cc2N=C1)=CCS3,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_4e3518de69e2b8ef42dcaafa,3,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,358326,"5,19-Dithia-2,8,16,22-tetrazatricyclo[21.5.0.09,15]octacosa-1,8,10,12,14,23,25,27-octaene",C1CSCCNC2=CC=CC=CC2=NCCSCCN=C3C=CC=CC=C3N1,0.181,55,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/358326,NSC618290/CHEMBL2006515; PubChem 55个assay全为Inactive(NCI60等) — 可作阴性参照,unverified_retrieval_pool,C1=CC=C2NCCSCCNC3=CC=CC=CC3=NCCSCCN=C2C=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_37297fcf0aebdc1723827c3f,4,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88404724,"3-(8H-indeno[1,2-d][1,3]thiazol-2-yl)-N,N-dimethylpropan-1-amine",CN(C)CCCC1=NC2=C3CC=CC=C3C=C2S1,0.163,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88404724,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CN(C)CCCc1nc2c(s1)=CC1=CC=CCC=21,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_f268ca03919b9254dd5e03da,5,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,126634788,"2-(4,5-dihydro-1,3-thiazol-2-yl)-3a,4-dihydro-1H-indol-7-amine",C1CSC(=N1)C2=CC3CC=CC(=C3N2)N,0.125,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/126634788,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,NC1=C2NC(C3=NCCS3)=CC2CC=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_6c085389164a953af2fb6393,6,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,173518248,"(3E,5Z)-N,N-diethyl-5-[6-[(2R)-2-fluoro-2H-pyridin-5-ylidene]-1,2-dihydropyridin-3-ylidene]penta-1,3-dien-3-amine",CCN(CC)/C(=C/C=C/1\CNC(=C2C=C[C@H](N=C2)F)C=C1)/C=C,0.12,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/173518248,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C/C(=C\C=C1\C=CC(=C2C=C[C@@H](F)N=C2)NC1)N(CC)CC,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_16b0975eab793ede82cd96c4,7,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,118020868,"2-(4H-quinolizin-1-yl)-1,3-thiazolidine",C1CSC(N1)C2=C3C=CC=CN3CC=C2,0.113,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/118020868,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C1=CC2=C(C3NCCS3)C=CCN2C=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_8a1a602a0de12c079507e60d,8,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123965704,"N-[(3E,5Z)-3-(5,6-dihydro-[1,3]thiazolo[5,4-b]pyridin-2-yl)hepta-3,5-dien-1-yn-4-yl]propan-2-imine",C/C=C\C(=C(\C#C)/C1=NC2=CCCN=C2S1)\N=C(C)C,0.111,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123965704,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C#C/C(=C(/C=C\C)N=C(C)C)c1nc2c(s1)=NCCC=2,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_75420b17864bddeeee6898bc,9,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123675159,"7-Ethyl-8-methylidene-2-thia-7,12-diazabicyclo[7.5.0]tetradeca-1(9),5-diene",CCN1C=CCCSC2=C(C1=C)CCNCC2,0.108,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123675159,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C1C2=C(CCNCC2)SCCC=CN1CC,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_7ad1a9d77b6f3a24d807914e,10,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,122429864,"6-(1,1-Difluoroethyl)-3-(methylsulfanylmethyl)-1,2-dihydropyridine",CC(C1=CC=C(CN1)CSC)(F)F,0.107,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/122429864,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CSCC1=CC=C(C(C)(F)F)NC1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_6b13f66362fca2de5bc2e7ce,11,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,173971183,"N'-[(6E,8Z)-2-ethyl-8-methyl-4H-cycloocta[d][1,3]thiazin-7-yl]-N-[(E)-4-fluoro-2-methylbut-2-enyl]methanediamine",CCC1=NC2=C/C=C(\C(=C/C=C2CS1)\NCNC/C(=C/CF)/C)/C,0.105,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/173971183,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCC1=NC2=C/C=C(C)\C(NCNC/C(C)=C/CF)=C/C=C2CS1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
