stage,compound_id,current_rank,scaffold,evidence_completeness,uncertainty,model_disagreement,relative_cost,acquisition_rank,acquisition_score,reason,interpretation
HTVS,ATP-SMI-96FD6257D8BA,1.0,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1.0,0.25,0.125,2,1,0.278125,rank=1.0; completeness=1.0; uncertainty=0.25; disagreement=0.125; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-5D3E7B6B6796,2.0,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.125,0.125,2,2,0.25698529411764703,rank=2.0; completeness=1.0; uncertainty=0.125; disagreement=0.125; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-CDED936B42F4,3.0,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.375,0.0,2,3,0.2545955882352941,rank=3.0; completeness=1.0; uncertainty=0.375; disagreement=0.0; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-5B36D3E11A3B,4.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.375,0.0625,2,4,0.24751838235294116,rank=4.0; completeness=1.0; uncertainty=0.375; disagreement=0.0625; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-9DA3213A09E8,5.0,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,1.0,0.375,0.0625,2,5,0.23575367647058826,rank=5.0; completeness=1.0; uncertainty=0.375; disagreement=0.0625; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-E9798004BA11,6.0,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,0.1875,0.0,2,6,0.20523897058823531,rank=6.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-775D33706F04,9.0,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1.0,0.125,0.0625,2,7,0.16994485294117648,rank=9.0; completeness=1.0; uncertainty=0.125; disagreement=0.0625; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-4417138BF81D,10.0,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1.0,0.1875,0.0,2,8,0.15818014705882355,rank=10.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-91E7552C2382,7.0,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,0.25,0.0625,2,9,0.15284926470588234,rank=7.0; completeness=1.0; uncertainty=0.25; disagreement=0.0625; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-874C2DE25FE4,13.0,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,0.4375,0.125,2,10,0.1510110294117647,rank=13.0; completeness=1.0; uncertainty=0.4375; disagreement=0.125; new_scaffold=True; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-C93E6EC67CDB,8.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.4375,0.0,2,11,0.15045955882352943,rank=8.0; completeness=1.0; uncertainty=0.4375; disagreement=0.0; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-CFA68A98711F,11.0,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.1875,0.0625,2,12,0.10110294117647058,rank=11.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0625; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
