evidence_id,compound_id,evidence_type,raw_value,unit,tool_id,tool_family,protocol_id,run_id,job_id,artifact_hash,timestamp,provenance
ev_c5218eaeae6d5769dd7934ef,ATP-SMI-9DA3213A09E8,receptor_preparation,"{""source_sha256"": ""b700d93fd622e74afd3b59f22e5b11f5bd4e764fcb38ad82410e0abb44db4722""}",preparation_record,meeko,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_374aeaefee55c16d5020,4c2015c2189fdfae72178ad46e3dffe54f9366c44a5792585cf4e63e107ae0d2,2026-08-26T19:55:42.920732+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_374aeaefee55c16d5020"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""meeko""}"
ev_3422905b44cd69bbab1ed8d9,ATP-REF-IN2,structure_qc,"{""canonical_smiles"": ""C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1"", ""morgan1024"": ""0000000000000000000000000000000011000000001100000000000000000001100000001100000010000000001000000000000000000000000010000000000000000000000000000000000000001000100000000000000100000000000000000000000000000100000000100000000000000000000000000000000000000000010000000000000000010000000000001100000000000000000000100000000000000100000000000000010000000000000010000000000000000000001000000000010000000001000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000100000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000001001000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000"", ""scaffold"": ""c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1"", ""structure_status"": ""valid""}",structure_bundle,rdkit,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_6f0228df01035405cb68,123a6aa97d6a6ada80d85aa2ebd8a552584a03aeabab9c9d29090f0cdd0ee235,2026-08-26T19:55:43.538476+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_6f0228df01035405cb68"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""rdkit""}"
ev_4229c2436dcdea6ceeadd719,ATP-SMI-874C2DE25FE4,structure_qc,"{""canonical_smiles"": ""Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1"", ""morgan1024"": ""0000000000000000000000000000000001000100001000000000000000000000100000000000000010000000000000000000000000000000000000100000000000000000100000000000000000001001000000000000000100000000000000000000000000000100000000000000000000000000010100000010000000000000000000000000000000000000000000000000000000000100000000000000000000010100000000100000000000000000000010000000000000000100001000000000010000000001000000000000000000000000010000000000000000001000000000000000000010000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000010000000000000000000000000000000000000000000000000000000000000000000010000101000000000000000000000000000000010000001000000000000000000001000100000000001000001000000100000000000000000000001000000000000000000000100000001000010000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000010000010010000000000000000000000010000000000000000000000000000000000000000000000000000001000010000"", ""scaffold"": ""c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1"", ""structure_status"": ""valid""}",structure_bundle,rdkit,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_bcca2fcddb33e1af9233,7c33b4592bd60a147d95f02ff17f8d208732dceec680c4e9ceef75fc285f9c1f,2026-08-26T19:55:44.162718+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_bcca2fcddb33e1af9233"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""rdkit""}"
ev_c0d1b5e20368131395b318e5,ATP-SMI-96FD6257D8BA,structure_qc,"{""canonical_smiles"": ""C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1"", ""morgan1024"": ""0000000000000000000101000100000001000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000100000000000000000000000000000100000000000001000000000000010100000000000000000000010000000000000000000000000000000000010000000000000000100000000000010100000000000010000000000000000010000000000000000000001001000000010000000000000000010000000000000000010000010000010000001000000000001000101010000000000101000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000000000001010000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000100001000000000000000000001000100000100000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000010000001000000000000000000000000000000110000000000000000000000000000000100000000000010000010010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000"", ""scaffold"": ""c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1"", ""structure_status"": ""valid""}",structure_bundle,rdkit,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_561217ab49217e202c80,3a2ca457c33c35cc4652d0b63d85245a9dacc418d7a19138c0d59f8eb12ee234,2026-08-26T19:55:44.770053+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_561217ab49217e202c80"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""rdkit""}"
ev_36f0d8fbe24e3a0c4c9a4dd2,ATP-SMI-9DA3213A09E8,structure_qc,"{""canonical_smiles"": ""C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1"", ""morgan1024"": ""0100000000000000000000000000000001000000000000000000000000000000100000000000001010000000001000000000000000000000000001000000000011000000000000000000000000001000100000000000000100000000000000000000000000000100000000000000000000000000000000001000000000000000010000000000000000010000000000001000000000000100000000100000000000000000000000000000010001000000000010001100000000000000001000000000010000000001000000000000000000000000000010000000000000001000100000000000000000000000000000000000001000000000010000000010000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000010000000000000000000101000100000000000000000000000000000000000000000000000000000000100100001000000000001000000000100000000000000000000000010000001000000000000000000000000011000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000010000"", ""scaffold"": ""O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1"", ""structure_status"": ""valid""}",structure_bundle,rdkit,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_a9f138130062e31ce798,14802ebfac50a943de3e96abcc51eeaba7a761d799868ab27709e7dbd95bcadb,2026-08-26T19:55:45.378652+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_a9f138130062e31ce798"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""rdkit""}"
ev_92d3e90580930311fc176331,ATP-SMI-C93E6EC67CDB,structure_qc,"{""canonical_smiles"": ""C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1"", ""morgan1024"": ""0100000000000001000000000000000001000000001000000100000000000000100000000000000010000000000000000000000000000010000001000000000010000000000000000001001000000000101000000000000100000000000000000000000010000000010000000000000000000000000000000000000000000001010000000100000000010000000000001000000000000000000010000001000000000000000000000000010000000000000010000000000000000000000000000010010010000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000001000000000000000000000000000000000000000000001000000000010000000010000000100000001000000000000010000000000000000000000000000010000001000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000010000000010000000000010000000000000010000000000010000"", ""scaffold"": ""O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1"", ""structure_status"": ""valid""}",structure_bundle,rdkit,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_35f1654ee2f84977db15,4e47cdaba98f6a290a027def7ec0a06ab861bfbadbacea201f775e00cc5a76fa,2026-08-26T19:55:45.986408+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_35f1654ee2f84977db15"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""rdkit""}"
ev_635294ac05aa6ef0d81b6e80,ATP-REF-IN2,ligand_preparation,"{""canonical_smiles"": ""C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1"", ""geometry"": ""ETKDGv3_MMFF"", ""pH_enumeration"": false, ""protonation"": ""preserve_input"", ""salt_handling"": ""preserve_input""}",preparation_record,meeko,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_79d2c3c22e9c6048e8d1,7b891b0091700dd05a455e110ad90aa96682d577b82a322219c908821d082061,2026-08-26T19:55:47.869009+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_79d2c3c22e9c6048e8d1"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""meeko""}"
ev_d7bdc42cebddf7ca4c8f98a8,ATP-SMI-874C2DE25FE4,ligand_preparation,"{""canonical_smiles"": ""Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1"", ""geometry"": ""ETKDGv3_MMFF"", ""pH_enumeration"": false, ""protonation"": ""preserve_input"", ""salt_handling"": ""preserve_input""}",preparation_record,meeko,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_6d862cfa09cee99502af,48716bab12eddaa956c6e64e699e68876e5ad06b9267798fcb41e40deb3846b2,2026-08-26T19:55:49.754175+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_6d862cfa09cee99502af"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""meeko""}"
ev_0d4c6f5027951357ee9a8215,ATP-SMI-96FD6257D8BA,ligand_preparation,"{""canonical_smiles"": ""C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1"", ""geometry"": ""ETKDGv3_MMFF"", ""pH_enumeration"": false, ""protonation"": ""preserve_input"", ""salt_handling"": ""preserve_input""}",preparation_record,meeko,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_54dcdb12a09c79687642,b7aabd7461998afbf529b6775adc034eff7cb8d71a2b587634e406e388ca8ea4,2026-08-26T19:55:51.685143+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_54dcdb12a09c79687642"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""meeko""}"
ev_7dd3f98756a9cc7ab4aa6285,ATP-SMI-9DA3213A09E8,ligand_preparation,"{""canonical_smiles"": ""C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1"", ""geometry"": ""ETKDGv3_MMFF"", ""pH_enumeration"": false, ""protonation"": ""preserve_input"", ""salt_handling"": ""preserve_input""}",preparation_record,meeko,unknown,vina_7p3w_v1,batch_6df7ebd2146144ec,job_5e10d8c3dfff3e337db3,bdf98f4da7648a47e9b97d73a410baa1a08d2d8cd97d467eb4da3e9889a7c492,2026-08-26T19:55:53.547402+00:00,"{""backend"": ""open_toolchain"", ""job_id"": ""job_5e10d8c3dfff3e337db3"", ""origin"": ""tool_execution"", ""protocol_id"": ""vina_7p3w_v1"", ""run_id"": ""batch_6df7ebd2146144ec"", ""tool_id"": ""meeko""}"
