compound_id,job_id,workflow_run_id,source_job_batch_id,cache_reused_from_prior_batch,pose_path,pose_sha256,attempt
ATP-SMI-15737353FB69,job_820852c244924cfabca5,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-15737353FB69_vina_7p3w_v1.pdbqt,be6580ef5c97119d909007b8dffb37e3437c3e75ed93586a1c16173a43fa9e37,1
ATP-SMI-4417138BF81D,job_43d174ca6e98d0677ada,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-4417138BF81D_vina_7p3w_v1.pdbqt,ba16acf95f3ba78b846bc22c9843468cde757a937518b1bc865a1d53444ed200,1
ATP-SMI-5B36D3E11A3B,job_08cee4cfee756ba29421,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-5B36D3E11A3B_vina_7p3w_v1.pdbqt,82bfb87d4ecfa04ff68c4ce6f0091096fa1d7f536bd0507a9b23cdd2f4118aac,1
ATP-SMI-5D3E7B6B6796,job_c9da01386ae32f279218,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-5D3E7B6B6796_vina_7p3w_v1.pdbqt,766e28b5770a1c39ee8b3404019a643580611e515e0503d9bc0620b682d433d5,1
ATP-SMI-775D33706F04,job_f6f3db15b182ad8da3c0,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-775D33706F04_vina_7p3w_v1.pdbqt,44754116ebe09de671f1c5f7870dd007972826d65bc9ba2af3525ac7498c27a2,1
ATP-SMI-874C2DE25FE4,job_042765a15db01263c0a1,batch_c501674f5da5458b,batch_6df7ebd2146144ec,True,results\phase13\poses\ATP-SMI-874C2DE25FE4_vina_7p3w_v1.pdbqt,9925c25083c1ea2af358ea883029cc6cd61a5a726e64f01e6c68b287aa950b9f,1
ATP-SMI-91E7552C2382,job_4240358e3a0fb65b3b8e,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-91E7552C2382_vina_7p3w_v1.pdbqt,dcb4ec03424527ac772c18d395ead11b45f989f42d61ec32a998b6d21809fb39,1
ATP-SMI-94F73967C042,job_504d38cfb32b72344d43,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-94F73967C042_vina_7p3w_v1.pdbqt,e066950b457867ff86505225b0e1a34c45c1a0dfbcac1e26d9b297a2c657bc2c,1
ATP-SMI-96FD6257D8BA,job_2f4225ba3f89188c57d9,batch_c501674f5da5458b,batch_6df7ebd2146144ec,True,results\phase13\poses\ATP-SMI-96FD6257D8BA_vina_7p3w_v1.pdbqt,4e32b7903b4a9a2bc63340bbf96214a5e6ede8064d8c2740621b95c726ee8337,1
ATP-SMI-9DA3213A09E8,job_8f5dd7e1c4707ff51746,batch_c501674f5da5458b,batch_6df7ebd2146144ec,True,results\phase13\poses\ATP-SMI-9DA3213A09E8_vina_7p3w_v1.pdbqt,e5eab9fcae1d4cef7ad272b9f0f696f1e215bb790a320abb5981a3cd94a79187,1
ATP-SMI-BF69AB71C1A4,job_142c018fdb00497856af,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-BF69AB71C1A4_vina_7p3w_v1.pdbqt,7e28aa6af90dd452b2617aea645121835f61cdc1c0155769f9e65d52fff9a6ff,1
ATP-SMI-C3308BEE03AC,job_d7151a21f56e727d3e39,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-C3308BEE03AC_vina_7p3w_v1.pdbqt,34b52643777baa3e68ca2635424385e188e74847a4d2073707f2abbe84083a30,1
ATP-SMI-C93E6EC67CDB,job_d7e8056bde3453044e42,batch_c501674f5da5458b,batch_6df7ebd2146144ec,True,results\phase13\poses\ATP-SMI-C93E6EC67CDB_vina_7p3w_v1.pdbqt,bbb14213ea2c39c0a12207aad89a8b023e1c6dc67ffd8193f2aaff2003d6df06,1
ATP-SMI-CDED936B42F4,job_9dc7f5041bb9db2e1648,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-CDED936B42F4_vina_7p3w_v1.pdbqt,5d5eed480bf5bdec076957cbdd043d6313ffef8b7680b15fe9b14b6495c2b94c,1
ATP-SMI-CFA68A98711F,job_f246d1f58a6f30a57a5a,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-CFA68A98711F_vina_7p3w_v1.pdbqt,bb01381e2b197410038fdd952046b7d623c0b01d3d3118ec80510f376d6a15df,1
ATP-SMI-E9798004BA11,job_b86aa1c23ab0f1f64b92,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-E9798004BA11_vina_7p3w_v1.pdbqt,df7fdaa95527ca46a8a70927e76742490a5eb5af6c377ee153ebba824690a430,1
ATP-SMI-FCA9CDF3313B,job_13e7e14b1538c4a2590c,batch_c501674f5da5458b,batch_c501674f5da5458b,False,results\phase13\poses\ATP-SMI-FCA9CDF3313B_vina_7p3w_v1.pdbqt,020cb0dd1f5382768a9b186c1606328642b7cf5c35b93309417c827c94f9c335,1
