canonical_id,canonical_smiles,glide_docking_score,structure_valid,ligand_prepared,vina_available,pose_qc_pass,failure_category,failure_reason,terminal_status
ATP-HTVS-0009DAEDE04F,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,-3.58525470579908,True,True,True,True,,,success
ATP-HTVS-0015C54A99C8,C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12,-3.84066710724475,True,True,True,True,,,success
ATP-HTVS-003E4D952AAC,CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,-4.13615387037502,True,True,True,True,,,success
ATP-HTVS-005EEA24BFEA,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)[C@H](C#N)c1ccccc1,-4.35640294669943,True,True,True,True,,,success
ATP-HTVS-0063E4174F09,O=C1CN(Cc2ccc(Cl)cc2I)[C@H](c2ccccc2)c2ccccc2N1,-1.03468293307069,True,True,True,True,,,success
ATP-HTVS-0079D40D2121,Cc1ccccc1C[C@@H](CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,-3.34092399123274,True,True,True,True,,,success
ATP-HTVS-007D6F34F923,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1N[C@@H](CCO)c1ccccc1,-3.4850388695678,True,True,True,True,,,success
ATP-HTVS-00C8034698A8,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,-5.81163963281027,True,True,True,True,,,success
ATP-HTVS-00F86A54285D,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,-3.90724208104371,True,True,True,True,,,success
ATP-HTVS-011A966B3F21,Cc1cccc(C[C@@H](CO)C[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)c1,-5.69314528862896,True,True,True,True,,,success
ATP-HTVS-0125A5267C6C,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3ccc(O)cc3)c3ccccc23)c1,-4.51418145101,True,True,True,True,,,success
ATP-HTVS-0161AEC2E23E,C[C@@H]([NH2+]Cc1ccccc1C[NH+](C)C)c1ccc(-c2ccccc2[N+](=O)[O-])s1,-4.83483869865031,True,True,True,True,,,success
ATP-HTVS-017DA1C05B1D,C[C@H]([NH2+]CC#Cc1cnc(NC(=O)Cc2ccccc2C#N)c2ccccc12)c1ccccc1,-4.47627817522789,True,True,True,True,,,success
ATP-HTVS-01DF3EF44742,C[NH+](C)Cc1cccc(Nc2cnccc2C(=O)N(CCO)c2ccccc2)c1,-4.47878814702221,True,True,True,True,,,success
ATP-HTVS-01E9987F6BBC,O=C1CN(Cc2c(F)ccc(F)c2F)[C@@H](c2ccccc2)c2ccccc2N1,-1.40856773004933,True,True,True,True,,,success
ATP-HTVS-02393E0D1A46,Cc1cccc([C@H](O)CNc2c(NC(=O)c3ccccc3)c[nH+]c3ccccc23)c1,-4.68860698749509,True,True,True,True,,,success
ATP-HTVS-02527EDCA73D,O[C@@H](C[NH2+]Cc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1cccc(Cl)c1,-5.15716390255472,True,True,True,True,,,success
ATP-HTVS-0258CCAE4910,C[NH+](C)CCNc1ccc(CNC(=O)c2cn(-c3ccccc3)c(=O)c3ccccc23)cc1,-3.77278250253085,True,True,True,True,,,success
ATP-HTVS-027CB3113620,CC[C@H](c1ccccc1)N(C)C(=O)c1nn2ccccc2c1C(=O)NCc1ccc(CN(C)C)cc1,-2.49226291162582,True,True,True,True,,,success
ATP-HTVS-0282D10141FD,Cc1cccc(O)c1C[NH2+]Cc1cn(-c2ccccc2)nc1-c1ccncc1,-4.7455117172325,True,True,True,True,,,success
ATP-HTVS-028F2DC4E032,C[NH+](C)Cc1ccc(Cn2c(-c3ccccc3Br)nc3cccc(F)c3c2=O)cc1,-4.69863757955225,True,True,True,True,,,success
ATP-HTVS-02AC8E798E60,C[NH+](C)[C@H](Cc1cc(-c2ccncc2)nc2ccccc12)c1ccccc1Cl,-4.27581637536966,True,True,True,True,,,success
ATP-HTVS-02BB8772E392,Cc1c(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)cccc1C(F)(F)F,-1.68205076672122,True,True,True,True,,,success
ATP-HTVS-02DF9A19852D,c1ccc(Cn2c(C[NH2+]CC[C@@H](c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,-4.97657782986944,True,True,True,True,,,success
ATP-HTVS-0362648F57EF,Cc1ccc(N(C)C(=O)c2cc(NCc3ccc(C[NH+](C)C)cc3)c(Cl)s2)cc1Cl,-3.94325468056887,True,True,True,True,,,success
ATP-HTVS-03C3664644A2,C[C@@H](C#N)N(c1ccccc1)c1c(CN(C)C(=O)Cc2ccc(O)cc2)sc2ccccc12,-4.15070282757494,True,True,True,True,,,success
ATP-HTVS-03F3A1A9B60E,CN(C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1)c1ccccc1N,-2.87454592440143,True,True,True,True,,,success
ATP-HTVS-0438281B0112,C[NH+](C)Cc1ccccc1Nc1nc2ccccc2nc1-c1ccccc1,-4.14983282792689,True,True,True,True,,,success
ATP-HTVS-0460857F35D6,OCCOc1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,-3.06745979615094,True,True,True,True,,,success
ATP-HTVS-04621B482D9F,C[NH+](C)Cc1ccc(CNc2ccsc2C(=O)N(C#N)c2ccccc2)cc1,-4.54855997419821,True,True,True,True,,,success
ATP-HTVS-04BA495CA0A4,Cc1cccc([C@@H](CN(C)C)[NH2+]Cc2nc3ccccc3c(-c3ccccc3)c2Cl)c1,-3.00531349655571,True,True,True,True,,,success
ATP-HTVS-052AF9B11E6A,CCCN(C)[C@H](CNCc1ccc(OCc2ccccc2)cn1)c1ccc(Cl)cc1,-1.36010897797717,True,True,True,True,,,success
ATP-HTVS-053279755E30,CN(C(=O)CC(C)(C)c1ccccc1)c1[nH+]cccc1NCc1ccc(C[NH+](C)C)cc1,-2.01240354385726,True,True,True,True,,,success
ATP-HTVS-0587EECAF94B,CN(Cc1ccccc1)C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1,-3.96144137791356,True,True,True,True,,,success
ATP-HTVS-05A72EDFB57A,O=C1c2ccccc2[C@@H](C[NH2+]Cc2cccc(O)c2Cl)N1Cc1ccccc1,-5.97314811529865,True,True,True,True,,,success
ATP-HTVS-05E9E2FC066B,CCN(c1c(NC(=O)c2ccccc2C[NH+](C)C)c[nH+]c2ccccc12)[C@@H](C#N)c1ccccc1,-4.72622512874464,True,True,True,True,,,success
ATP-HTVS-0659C124A83C,C[NH+](C)Cc1ccc(CNc2cc(CO)nc(Cl)c2OCc2ccccc2)cc1,-3.45404571440084,True,True,True,True,,,success
ATP-HTVS-069ABDEDA86E,C[NH+](C)Cc1ccc(CNc2nc(NCc3cccc(OCC#N)c3)c3ccccc3[nH+]2)cc1,-4.26179409221933,True,True,True,True,,,success
ATP-HTVS-06CA19E03C57,CC(=O)c1ccccc1C(=O)Nc1c[nH+]c2ccccc2c1NCCc1ccc(N(C)C)cc1,-4.2587937861896,True,True,True,True,,,success
ATP-HTVS-06E5BAB39855,OC[C@H](Cc1ccccc1Cl)[NH2+]Cc1nc2ccccc2n1Cc1ccccc1,-5.39055779577526,True,True,True,True,,,success
ATP-HTVS-071084F9408F,CN(C(=O)CC(C)(C)c1ccccc1)c1cc(NCc2cccc(C[NH+](C)C)c2)cc[nH+]1,-4.35035063556848,True,True,True,True,,,success
ATP-HTVS-0715C99C3A28,C[NH+](C)Cc1cccc(CNc2cc(Cl)sc2C(=O)Nc2ccc(N)cc2)c1,-4.31020815903779,True,True,True,True,,,success
ATP-HTVS-0743B9964B99,CN(C(=O)c1cc(-c2ccc(C[NH+](C)C)c(F)c2)nc2ccccc12)c1cccc(N)c1,-4.32395435766192,True,True,True,True,,,success
ATP-HTVS-07D9286D8737,CC(=O)[C@H](Nc1cnc2ccccc2c1NC(=O)c1ccc(C[NH+](C)C)cc1)c1ccccc1,-4.23957689882345,True,True,True,True,,,success
ATP-HTVS-07F3737128F1,CCN(c1cc2ccccc2nc1NC(=O)c1ccc(C)cc1)[C@H](C#N)c1ccccc1,-2.91614400004075,True,True,True,True,,,success
ATP-HTVS-08126335CB19,Cc1ccc(C[C@H](NCc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)[O-])cc1,-2.40929881919301,True,True,True,True,,,success
ATP-HTVS-081D95190B15,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1ccccc1)Cc1cccc(F)c1,-6.07449494060147,True,True,True,True,,,success
ATP-HTVS-08266C4344A3,[NH3+][C@H](C#Cc1cnc2ccccc2c1NC(=O)c1cc(F)cc(F)c1)Cc1cccc(F)c1,-5.33799910271163,True,True,True,True,,,success
ATP-HTVS-0852D38F8C28,CN(Cc1ccc(C[NH+](C)C)cc1)C(=O)Nc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,-1.52630325310868,True,True,True,True,,,success
ATP-HTVS-08590B5C6743,C[NH+](C)Cc1ccccc1C(=O)Nc1ncc(C#Cc2cccc(O)c2)nc1-c1ccccc1,-4.88985591725625,True,True,True,True,,,success
