evidence_id,project_id,compound_id,evidence_type,raw_value,normalized_value,unit,protocol_id,tool_version,source_job_id,artifact_hash,timestamp,provenance
ev_ca2d39f5fc7d22a5bc8f602e,ab_atp_phase14_htvs1633,ATP-HTVS-0009DAEDE04F,vina_affinity,-8.342,,kcal/mol,vina_7p3w_v1,v1.2.7,job_41124923d5830745d87a,11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b,2026-08-27T06:16:22.844252+00:00,"{""ligand_hash"": ""19f0a2a4f19d521e42eb8c66d07123e4f5352f4b84702972492699f4e2a6480b"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_c81f270c6c5db6eea138244e,ab_atp_phase14_htvs1633,ATP-HTVS-0009DAEDE04F,docking,"{""canonical_smiles"": ""N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12"", ""pose_count"": 9, ""pose_rank"": 1, ""raw_affinity"": -8.342}",,docking_result_bundle,vina_7p3w_v1,v1.2.7,job_41124923d5830745d87a,11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b,2026-08-27T06:16:22.845253+00:00,"{""ligand_hash"": ""19f0a2a4f19d521e42eb8c66d07123e4f5352f4b84702972492699f4e2a6480b"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_2d02108901631db51607db98,ab_atp_phase14_htvs1633,ATP-HTVS-0009DAEDE04F,pose_qc,"{""pose_centroid"": [196.15240625, 186.4413125, 160.82015625], ""pose_centroid_inside_box"": true, ""pose_count"": 9, ""scope"": ""protocol_and_file_QC_not_binding_or_activity_validation"", ""status"": ""pass""}",,qc_record,vina_7p3w_v1,v1.2.7,job_41124923d5830745d87a,11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b,2026-08-27T06:16:22.846263+00:00,"{""ligand_hash"": ""19f0a2a4f19d521e42eb8c66d07123e4f5352f4b84702972492699f4e2a6480b"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_e5dbbc05b0c3d76897486ca7,ab_atp_phase14_htvs1633,ATP-HTVS-0015C54A99C8,vina_affinity,-8.095,,kcal/mol,vina_7p3w_v1,v1.2.7,job_39d6ffaeecb9fdae4f9d,5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf,2026-08-27T06:16:22.874230+00:00,"{""ligand_hash"": ""01d707cc81f97934c1ae66e01a63b396930788c6c9d832be127b98559a73b0ca"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_6de49e5bb82f76b3f7838c64,ab_atp_phase14_htvs1633,ATP-HTVS-0015C54A99C8,pose_qc,"{""pose_centroid"": [195.6981714285714, 188.82245714285713, 161.18811428571428], ""pose_centroid_inside_box"": true, ""pose_count"": 9, ""scope"": ""protocol_and_file_QC_not_binding_or_activity_validation"", ""status"": ""pass""}",,qc_record,vina_7p3w_v1,v1.2.7,job_39d6ffaeecb9fdae4f9d,5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf,2026-08-27T06:16:22.875241+00:00,"{""ligand_hash"": ""01d707cc81f97934c1ae66e01a63b396930788c6c9d832be127b98559a73b0ca"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_e34eceb5aa4c3ff3cfaa5758,ab_atp_phase14_htvs1633,ATP-HTVS-0015C54A99C8,docking,"{""canonical_smiles"": ""C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12"", ""pose_count"": 9, ""pose_rank"": 1, ""raw_affinity"": -8.095}",,docking_result_bundle,vina_7p3w_v1,v1.2.7,job_39d6ffaeecb9fdae4f9d,5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf,2026-08-27T06:16:22.875241+00:00,"{""ligand_hash"": ""01d707cc81f97934c1ae66e01a63b396930788c6c9d832be127b98559a73b0ca"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_6ed45d713ce1091aae2dceac,ab_atp_phase14_htvs1633,ATP-HTVS-003E4D952AAC,vina_affinity,-6.963,,kcal/mol,vina_7p3w_v1,v1.2.7,job_4938d742c1f2ffc0c97c,e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be,2026-08-27T06:16:22.900004+00:00,"{""ligand_hash"": ""6bb4b4e8ad9f0c546916e341237c2927a50087bf27a956a563d775939776ca06"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_3c027bc9523b1d9576d84ed3,ab_atp_phase14_htvs1633,ATP-HTVS-003E4D952AAC,docking,"{""canonical_smiles"": ""CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1"", ""pose_count"": 9, ""pose_rank"": 1, ""raw_affinity"": -6.963}",,docking_result_bundle,vina_7p3w_v1,v1.2.7,job_4938d742c1f2ffc0c97c,e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be,2026-08-27T06:16:22.901997+00:00,"{""ligand_hash"": ""6bb4b4e8ad9f0c546916e341237c2927a50087bf27a956a563d775939776ca06"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_dadb08509e65c53443d6e9ba,ab_atp_phase14_htvs1633,ATP-HTVS-003E4D952AAC,pose_qc,"{""pose_centroid"": [199.06488235294117, 182.40914705882352, 157.8975294117647], ""pose_centroid_inside_box"": true, ""pose_count"": 9, ""scope"": ""protocol_and_file_QC_not_binding_or_activity_validation"", ""status"": ""pass""}",,qc_record,vina_7p3w_v1,v1.2.7,job_4938d742c1f2ffc0c97c,e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be,2026-08-27T06:16:22.902498+00:00,"{""ligand_hash"": ""6bb4b4e8ad9f0c546916e341237c2927a50087bf27a956a563d775939776ca06"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
ev_438f7e4390bb37044f9608c6,ab_atp_phase14_htvs1633,ATP-HTVS-005EEA24BFEA,vina_affinity,-6.544,,kcal/mol,vina_7p3w_v1,v1.2.7,job_d32e1570cd7174dccebd,96dc28c43b16032fc018449143e68719fcf16b359e72847c52b1b8e890d98318,2026-08-27T06:16:22.930620+00:00,"{""ligand_hash"": ""e135d19edff7008166e58fcbb7a6d546a3d861db02c52052ed573b4d9c351c6e"", ""origin"": ""tool_execution"", ""phase"": 14, ""pose_hash"": ""96dc28c43b16032fc018449143e68719fcf16b359e72847c52b1b8e890d98318"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""scope"": ""parallel computational evidence; not biological activity"", ""tool_family"": ""vina"", ""tool_id"": ""autodock_vina""}"
