attempt,cached,canonical_smiles,completed_at,compound_id,elapsed_seconds,ligand_sha256,pose_centroid,pose_count,pose_qc,pose_sha256,protocol_id,scaffold,scope,signature,started_at,status,stderr_sha256,stdout_sha256,training,vina_affinity,folder
1,True,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,2026-08-27T05:58:40.253510+00:00,ATP-HTVS-0009DAEDE04F,154.59717965126038,19f0a2a4f19d521e42eb8c66d07123e4f5352f4b84702972492699f4e2a6480b,"[196.15240625, 186.4413125, 160.82015625]",9,pass,11eb64b8961414b0f5174a9286283ac2bbfc0e2424c9bef4451cebc1a64b414b,vina_7p3w_v1,O=C(CCc1ccccc1)Nc1ncc(Nc2ccccc2)c2ccccc12,computational docking evidence; not biological activity,7f914397e2a9eb7a47cb9dde8685980f9c8c5c55832a721837d0d33b5c3cd30d,2026-08-27T05:56:05.661477+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,57b76f59d619fa0e053a1b15613cf76c34a11a81d744ac5c63bd49f485340298,False,-8.342,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\7f\7f914397e2a9eb7a47cb9dde8685980f9c8c5c55832a721837d0d33b5c3cd30d
1,True,C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12,2026-08-27T05:59:14.358354+00:00,ATP-HTVS-0015C54A99C8,188.67963552474976,01d707cc81f97934c1ae66e01a63b396930788c6c9d832be127b98559a73b0ca,"[195.6981714285714, 188.82245714285713, 161.18811428571428]",9,pass,5fe6e4bc6552a3d3397f5f659df9336032a6eac2e7a27d6756e8fb03ae13cfdf,vina_7p3w_v1,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,computational docking evidence; not biological activity,852cbdac7ab6b6883952758a70282092a1a737cb79189c37d3bf8fb90c469f45,2026-08-27T05:56:05.684984+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ca1a12b0cb0a1863087ff29006d6c8515a590beee1f142366f5d8a64b72cd184,False,-8.095,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\85\852cbdac7ab6b6883952758a70282092a1a737cb79189c37d3bf8fb90c469f45
1,True,CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,2026-08-27T05:59:04.177936+00:00,ATP-HTVS-003E4D952AAC,178.4889941215515,6bb4b4e8ad9f0c546916e341237c2927a50087bf27a956a563d775939776ca06,"[199.06488235294117, 182.40914705882352, 157.8975294117647]",9,pass,e2969c1853f3e56d1744441605590d9faf60502158cc4fb3925d027d3c5ce6be,vina_7p3w_v1,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,computational docking evidence; not biological activity,f11b727bf94613e26786bc1a39f52518515474dce8eaf25b21d2d116680b392b,2026-08-27T05:56:05.693434+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33ac4145338005600220767ee8dc66810ca2ad459719899f362e35f6b8a0d68a,False,-6.963,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\f1\f11b727bf94613e26786bc1a39f52518515474dce8eaf25b21d2d116680b392b
1,True,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)[C@H](C#N)c1ccccc1,2026-08-27T05:58:53.508128+00:00,ATP-HTVS-005EEA24BFEA,167.76652646064758,e135d19edff7008166e58fcbb7a6d546a3d861db02c52052ed573b4d9c351c6e,"[198.46629411764707, 181.79291176470588, 156.0209705882353]",9,pass,96dc28c43b16032fc018449143e68719fcf16b359e72847c52b1b8e890d98318,vina_7p3w_v1,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1,computational docking evidence; not biological activity,9df762f02737d663f1dfba41de587057f5a7d3577ef4bb81aad1c3e277b6d9e7,2026-08-27T05:56:05.747096+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,333ab0e93f9ddea9cb2f7d36f39b3ab8b91205bdafc12d5d331a3232dcbda465,False,-6.544,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\9d\9df762f02737d663f1dfba41de587057f5a7d3577ef4bb81aad1c3e277b6d9e7
1,True,O=C1CN(Cc2ccc(Cl)cc2I)[C@H](c2ccccc2)c2ccccc2N1,2026-08-27T05:59:19.707198+00:00,ATP-HTVS-0063E4174F09,193.9645915031433,a58c97b419c96c6a2a0658edca8c761d1cbb38253c85e6fc5d47a5ebddca01bd,"[192.78634482758622, 188.77320689655173, 162.0636551724138]",9,pass,f3c3bce0f85429a13b6e087cde34fef19190ca4fc93d6124893737eeb9d15eb0,vina_7p3w_v1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,computational docking evidence; not biological activity,5876498f20fcec8403da5a74656dba2a25eb10c5a151ab18c7652f1e0e4f7501,2026-08-27T05:56:05.748093+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e6a5013bc75efe1787dde4e8fbe9f379f643aa86374013f06cfab2772677e2bc,False,-5.976,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\58\5876498f20fcec8403da5a74656dba2a25eb10c5a151ab18c7652f1e0e4f7501
1,True,Cc1ccccc1C[C@@H](CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,2026-08-27T05:58:30.952582+00:00,ATP-HTVS-0079D40D2121,145.1990520954132,0cbe4f06d3cbdabf428555c45cd271e26e0d0e160ae8dc7b6d8f82b776146cd5,"[194.91773333333333, 187.3606, 160.37763333333334]",9,pass,f45476047d3a8ad5f1df4b2eb5718439f162f9f34f8684ac40e5a9503bdb981a,vina_7p3w_v1,c1ccc(CCNCc2cc(-c3ccccc3)c3ccccc3n2)cc1,computational docking evidence; not biological activity,62de0e9f81a3e7ee796b9f435b3cf73316a2285c3388c764b0a6b9ce07595ab0,2026-08-27T05:56:05.758027+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7892e10580fcc0dc8220c76a74f8735a30d96485b5d89e86a4d107785a33fffc,False,-7.979,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\62\62de0e9f81a3e7ee796b9f435b3cf73316a2285c3388c764b0a6b9ce07595ab0
1,True,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1N[C@@H](CCO)c1ccccc1,2026-08-27T05:59:38.952092+00:00,ATP-HTVS-007D6F34F923,213.16745901107788,fa764b4c6d4ddf0024ad42180e6722805f2a6a136d3c6acc150f4aeb3dfef802,"[194.4369696969697, 188.3139090909091, 161.43666666666667]",9,pass,50afb081773773ee962e00f46419fc18ff91325cae068c7ddf2c5c213f3f3c96,vina_7p3w_v1,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1,computational docking evidence; not biological activity,9334394be1964d11d22e50a13352eb455a8aa5ac627b483ebabc6079499089db,2026-08-27T05:56:05.789125+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,68f4f9af72cb0bce6ef90074e4f6efdf7b9c4470adff3f9295f333971c9d23cd,False,-7.846,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\93\9334394be1964d11d22e50a13352eb455a8aa5ac627b483ebabc6079499089db
1,True,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,2026-08-27T05:58:27.397354+00:00,ATP-HTVS-00C8034698A8,141.61193561553955,401f63efd7bb0be9b4df085fe66354d8727d81ca6a310ee9f90dfeecd469b95c,"[193.97103571428573, 186.93307142857142, 161.20982142857142]",9,pass,a013816457a4dea0f603ec46612a434e818e0635ceb20721d10985393746b85f,vina_7p3w_v1,c1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,computational docking evidence; not biological activity,aa97c75bc278f1154e1757b7c4628794c000f16944f95964caa2d974b2ef048b,2026-08-27T05:56:05.790398+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6c346cc75b6b2f2e663050a1d9bc3ff78d70ea63eb010976f45961d291700a02,False,-8.273,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\aa\aa97c75bc278f1154e1757b7c4628794c000f16944f95964caa2d974b2ef048b
1,True,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,2026-08-27T05:59:16.328258+00:00,ATP-HTVS-00F86A54285D,190.54091429710388,9b3120c2be754e43942c356e2debaa5835626f3391f08d9c3d3f20bb52c93842,"[195.69840625, 187.86571875, 160.90734375]",9,pass,9a2de623e78a5bcfe7e70e5cba1e95fd016492e806b10af48854be45affffe96,vina_7p3w_v1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,computational docking evidence; not biological activity,9cc8a3d295d332bf9f1c6599eeb27e287504e860c97c50472711045c43efef5e,2026-08-27T05:56:05.791638+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b34705f5db9c8f6f66bc325c9abb8f5cfcc51d574805bd8ad7984557b80935fb,False,-8.09,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\9c\9cc8a3d295d332bf9f1c6599eeb27e287504e860c97c50472711045c43efef5e
1,True,Cc1cccc(C[C@@H](CO)C[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)c1,2026-08-27T05:58:48.142861+00:00,ATP-HTVS-011A966B3F21,162.3511927127838,51ecafcc26b5a426f80b72649c6501de248da836488c81ea081569a8f341721f,"[195.7068620689655, 186.83110344827585, 160.07227586206895]",9,pass,992a5f8284e74542fe5509f5bc041b31ca8e8b1371a413d71d4b5b20fc4a1b39,vina_7p3w_v1,c1ccc(CCC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,computational docking evidence; not biological activity,2c63f15b56c900167c216efb7b3c8439c1e120e3cc115cada6af99b40dd816af,2026-08-27T05:56:05.795166+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c5a8d72254327fd002d49314a0df4175a95d3595fcbf1e121a82cf5959c689d9,False,-7.554,D:\tiaozhansai\ATP-Navigator\workspace_local\phase14_vina\jobs\2c\2c63f15b56c900167c216efb7b3c8439c1e120e3cc115cada6af99b40dd816af
