canonical_id,compound_code,canonical_smiles,scaffold,vina_affinity,global_rank,percentile,scaffold_relative_rank,scaffold_size,chemical_space_cluster,vina_pose_count,pose_sha256,signature,cached
ATP-HTVS-18A7589C7FB7,94049,C[C@H]([NH2+]CC#Cc1cnc2ccccc2c1NC(=O)Cc1ccc(C#N)c(Cl)c1)c1cccc(F)c1,O=C(Cc1ccccc1)Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12,-10.553,1,100.0,1,2,875,9,6a4b5088e254c0e5d0c021095c0bef6979fb8c9da57c203442bd32edb0e9c7b5,6be9d094953a8d79ea5c804193408b85273600716fc698c33e29d978c245fe5e,True
ATP-HTVS-B8017292FA6C,98081,N[C@H](C#Cc1cc2ccccc2nc1NC(=O)c1cccc(Cl)c1Cl)Cc1cccc(F)c1,O=C(Nc1nc2ccccc2cc1C#CCCc1ccccc1)c1ccccc1,-10.488,2,99.93853718500307,1,2,539,9,2936acc73446d0f9e7fbb973f86ce83c982a2c7e4111631f3f49787a5977d0fb,4906089a72acdba53286f4d3601d67d32fcf300a968aa9c1426388b685e81a4a,True
ATP-HTVS-98C6C787C9CA,97922,C[C@@H]([NH2+]CC#Cc1c(NC(=O)c2cc(C#N)ccc2F)cnc2ccccc12)c1cccc(F)c1,O=C(Nc1cnc2ccccc2c1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-10.423,3,99.87707437000614,1,7,59,9,807dc26bdc923caa0243a28ca527890f7985582d527b35c1bffae22c424421d1,2318b23520150247c6595e25f3c41ea3c8f910b508db111fea3f4c6deb816c20,True
ATP-HTVS-B13D85D04AEE,97953,C[C@@H]([NH2+]CC#Cc1cc2ccccc2nc1NC(=O)c1ccc(C#N)cc1F)c1cccc(F)c1,O=C(Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-10.224,4,99.81561155500923,1,6,279,9,260b678340eae0ec98444c89d0e6267447ff983cfb4aa594bfbd9d3da7b58290,0f29bce9f5a36e32b97843e33a9f96fe06807aeefa302fd0dd6d6ce3e9f4c562,True
ATP-HTVS-C8A46F369ED4,99810,CC(=O)c1ccc(C(=O)Nc2nc3ccccc3cc2C#CCN[C@@H](C)c2cccc(F)c2)cc1,O=C(Nc1nc2ccccc2cc1C#CCNCc1ccccc1)c1ccccc1,-10.142,5,99.7541487400123,1,4,506,9,decafc5b3bc036632208ac234adce39cfefd236246d197764e2ae874c84ec85b,5a62c50d26a4fb1da9388e0a84f9b82440e0cd7bcbdac91fd7d62f3a96e57902,True
ATP-HTVS-6F1494FEFC60,84675,N#Cc1ccccc1CC(=O)Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12,O=C(Cc1ccccc1)Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12,-10.129,6,99.69268592501537,2,2,198,9,99520dff8c4f82d48e991d380ffcf52d3c952e8dd0020474569a98f827a0a1b7,b3a85d90e17281272d34b0237714e031d79d227857ca086325d367304e9d412d,True
ATP-HTVS-443BC3733DB7,97250,C[C@H](NCC#Cc1c(NC(=O)c2ccc(C#N)c(Cl)c2)cnc2ccccc12)c1cccc(F)c1,O=C(Nc1cnc2ccccc2c1C#CCNCc1ccccc1)c1ccccc1,-10.126,7,99.63122311001844,1,4,59,9,b1ad404d1d17f03831df982432d7ca706aab4c1cf8230b568b984d925f26e744,5510d4ff183738147e588cdbd59cec77a4b8f55403e99a6423d2373024130f9f,True
ATP-HTVS-A8B79B8D9CE4,98466,C[C@@H](NCC#Cc1cnc(NC(=O)c2cc(Cl)cc(C#N)c2)c2ccccc12)c1ccccc1F,O=C(Nc1ncc(C#CCNCc2ccccc2)c2ccccc12)c1ccccc1,-10.112,8,99.56976029502151,1,1,572,9,fc0414e5884bf21c5ba2eb1e09b4d59df22386083c32543eb5076e13eb39c765,1cf23d6e5141f5f2c1ae2d97d17aa5b74ceb67ca900219c5deb0ad25cdd8cb5c,True
ATP-HTVS-52BA94C773EB,97153,C[C@H]([NH2+]CC#Cc1cc2ccccc2nc1NC(=O)c1cc(Cl)cc(C#N)c1)c1ccccc1F,O=C(Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-10.065,9,99.5082974800246,2,6,759,9,4139df4a0c29a3053bff6617f7da3a49f584e00b93e2dbd590ce94af868e9b98,26a4000539179c5859bd7bac4ce5d4139151e4afdc23bd41e08c371f1ec51459,True
ATP-HTVS-4F9E5F08F37F,89571,C[C@H]([NH2+]CC#Cc1cc2ccccc2nc1NC(=O)c1ccccc1C#N)c1cccc(F)c1,O=C(Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-10.042,10,99.44683466502767,3,6,279,9,c1e3b5493fe81b691d0045ee845d4d360ffc8d151c14baad78f17e41317b27f9,19598ce7c0a5997205ea5694c0b82a73dacbed3ede1afcd3a2435725cceeca58,True
ATP-HTVS-BAD00D53E534,97889,C[C@H](NCC#Cc1c(NC(=O)c2ccc(C#N)c(F)c2)cnc2ccccc12)c1cccc(F)c1,O=C(Nc1cnc2ccccc2c1C#CCNCc1ccccc1)c1ccccc1,-10.028,11,99.38537185003074,2,4,59,9,08551cfe16ca67fc215adb5c8bd55a7080e95dd45305ab9fdf129fbb730b6bc5,5d7ee2a6cc12ebd5bef8ec576d4dc4c11318a53f6c78ae338fa6eabd7d840739,True
ATP-HTVS-159795FE363C,92387,N#Cc1ccccc1CC(=O)Nc1nc2ccccc2cc1C#C[C@@H]([NH3+])Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-10.004,12,99.32390903503381,1,5,27,9,03f080fbc0fee7316202fd3c935291113c09ea656a6365399259aa666fc4a993,9640bb4a0ef061c550a23f53e3ed4d5d17f0e66bd0e1b1391609ea920d31ed72,True
ATP-HTVS-AD7D334F30DB,88673,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)c1cc(F)ccc1F)Cc1cccc(F)c1,O=C(Nc1nc2ccccc2cc1C#CCCc1ccccc1)c1ccccc1,-9.994,13,99.26244622003688,2,2,27,9,94c4d38c3f39e716e785bcb5d90cb089c0fcb7b25089904905d2274c78874dd6,b508af8a2a75c085e2e26de0b0e7079f2e17a56464dcf284b6781cddbacbc415,True
ATP-HTVS-C4C9929F3284,78403,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)C#Cc1ccccc1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-9.962,14,99.20098340503995,1,1,27,9,74d778cd8c58424469361026cc887aa98d70ce6b556b1212df5efe7b6f71c14e,2569c756a9d6d8ab7e5ae5542d1850251c68ff2eeec568ac54afbf4d6a1415d3,True
ATP-HTVS-AD7FBCC01633,85217,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-9.947,15,99.13952059004303,2,5,27,9,c0e18bcb9dd95b1e568bd573174398a6964df3f2e6fcc7a04117cd6ac0e66d50,c27109f75dfb23c7bb281a3495faf0d6490a3542c60d1f453987fb3ab0c4827f,True
ATP-HTVS-C55276015D5E,97217,C[C@@H]([NH2+]CC#Cc1c(NC(=O)c2ccc(Cl)c(C#N)c2)cnc2ccccc12)c1ccc(F)cc1,O=C(Nc1cnc2ccccc2c1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-9.934,16,99.0780577750461,2,7,59,9,27d95a621973be359b23b2ef18c6f81c791bfa72b7a5bd981cb64b8359c538a9,6419f76ac60daeb943fd3a2650274c9d3c3b1e8af4b4fa7ded2178e107e1f3a5,True
ATP-HTVS-14AE04B6952B,40129,CC(C)Nc1ccc(CNc2nc(N[C@@H](CC(N)=O)c3ccccc3)c3ccccc3[nH+]2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-9.87,17,99.01659496004918,1,83,205,9,d6c2d5658fe48725a912563ae25528e3f6d8c36696a4c3df9aa31d4c0038b139,46867644be075e8284ac53fdebb33ba0691f7e654c943e54a9910ed87396c81b,True
ATP-HTVS-842E20B26D61,12419,C[NH+](C)C[C@@H](NC(=O)Cc1nn(Cc2ccccc2)c(=O)c2ccccc12)c1ccccc1,O=C(Cc1nn(Cc2ccccc2)c(=O)c2ccccc12)NCc1ccccc1,-9.85,18,98.95513214505223,1,3,665,9,313f32413aee47f6c47c24d4535f28c9710d601acbf8431f93e4093b401db18a,6132de31b1e09f8e56d44d7722e475bb5640afc62994577265fd3cd9a22a27c7,True
ATP-HTVS-27BC230C206A,95937,N#Cc1c(F)cccc1C(=O)Nc1nc2ccccc2cc1C#CCNCc1ccccc1,O=C(Nc1nc2ccccc2cc1C#CCNCc1ccccc1)c1ccccc1,-9.836,19,98.89366933005532,2,4,285,9,435988c406f6a356e419d86664327dc1bc7a8eba6db5ec9e0ce6e8081c3a785c,f2d7cc3124d69db88b284efa9cbd9f6d5a5213705f51db0190f947f626ca079e,True
ATP-HTVS-B16CEB425A58,94497,[NH3+][C@H](C#Cc1c(NC(=O)c2cccc(Cl)c2F)cnc2ccccc12)Cc1cccc(F)c1,O=C(Nc1cnc2ccccc2c1C#CCCc1ccccc1)c1ccccc1,-9.829,20,98.83220651505839,1,3,95,9,7c3922026cb3718c54977aebbe248c744d098f47eba4a6bd47315ba66c550b01,25c30d4005e37df957518b229220d0b4bd0055d5205a2063135e37eee0dd4293,True
ATP-HTVS-AE2593E94038,97890,C[C@H]([NH2+]CC#Cc1c(NC(=O)c2ccc(F)c(C#N)c2)cnc2ccccc12)c1cccc(F)c1,O=C(Nc1cnc2ccccc2c1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-9.824,21,98.77074370006146,3,7,59,9,5e7ed294320c416fe3985fe7969f6da9a2de9655b40348de0a095eda02504db9,420f17ded84946fe803284ba7478b752418a0528f2c6e52bb307f7d5de85dae1,True
ATP-HTVS-9F81472CEEC6,90627,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2ccc(C#N)cc2)c2ccccc12)c1ccc(F)cc1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,-9.818,22,98.70928088506453,1,4,48,9,e9643b39b31075c01c50e3d1f34a20b96c0d1840036a19d39284b65ca8f14d06,e9e2324698fe41140afde56218fcee6b190ebeaffa288c9b9d07e38b6d9a9b88,True
