canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-CF9A421CD50D,-9.475,-1.05740362215688,41,1612,-1571,1571,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-898AE5CA69D9,-9.134,-0.632866293840059,86,1628,-1542,1542,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-450A55DE989E,-9.084,-0.485217582185325,103,1630,-1527,1527,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
ATP-HTVS-9505CBC4E7EE,-9.7,-1.65167439484376,27,1554,-1527,1527,extreme_disagreement,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1
ATP-HTVS-1449F4F4BA71,-6.164,-6.21958526920677,1543,20,1523,1523,extreme_disagreement,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1
ATP-HTVS-41EB9DEAB7C9,-5.993,-6.00527091150475,1556,42,1514,1514,extreme_disagreement,O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1
ATP-HTVS-BE963CFE3042,-9.621,-1.74970143665166,30,1535,-1505,1505,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
ATP-HTVS-4EF6126AB2D8,-5.988,-5.72493211292033,1559,75,1484,1484,extreme_disagreement,O=C(Nc1ccccc1)c1sc2ccccc2c1[NH2+]Cc1ccccc1
ATP-HTVS-DF8AF7E8BFB3,-6.319,-5.97841732994679,1527,44,1483,1483,extreme_disagreement,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1
ATP-HTVS-BF68A4285DB1,-8.959,-0.69909794854046,143,1626,-1483,1483,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-8E5D0C8C0586,-9.493,-1.92434302270637,40,1516,-1476,1476,extreme_disagreement,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1
ATP-HTVS-79E4EBD82D6A,-9.241,-1.73332368143626,66,1540,-1474,1474,extreme_disagreement,O=C(CNc1nc(NCc2ccccc2)[nH+]c2ccccc12)Nc1ccccc1
ATP-HTVS-FACA9080893C,-8.922,-0.732116905532498,159,1623,-1464,1464,extreme_disagreement,O=C(CCc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1
ATP-HTVS-E14A9B461B4E,-6.584,-6.20297626676873,1476,22,1454,1454,extreme_disagreement,O=C(Cc1ccccc1)n1nc(-c2ccccc2)cc1CC[NH2+]Cc1ccccc1
ATP-HTVS-16A35D40F1B5,-9.361,-2.22015345546122,50,1481,-1431,1431,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
ATP-HTVS-1ACF073F315C,-6.377,-5.67982151086328,1517,86,1431,1431,extreme_disagreement,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1
ATP-HTVS-D53BE49171F7,-6.357,-5.64347715414461,1519,99,1420,1420,extreme_disagreement,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1
ATP-HTVS-9DBDBA397665,-8.928,-1.6179247319782,156,1560,-1404,1404,extreme_disagreement,c1ccc(CNCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1
ATP-HTVS-95EE858F8EEC,-8.857,-1.27996467838941,195,1598,-1403,1403,extreme_disagreement,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-4F9099514318,-9.186,-2.24190123643593,76,1478,-1402,1402,extreme_disagreement,O=C(Nc1ncc(C#Cc2ccccc2)nc1-c1ccccc1)c1ccccc1
ATP-HTVS-B8017292FA6C,-10.488,-2.87306696057149,2,1396,-1394,1394,extreme_disagreement,O=C(Nc1nc2ccccc2cc1C#CCCc1ccccc1)c1ccccc1
ATP-HTVS-4340E5ABA707,-6.244,-5.37424942440475,1533,153,1380,1380,extreme_disagreement,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1
ATP-HTVS-C188770C1FD9,-6.897,-6.16994376737702,1398,25,1373,1373,extreme_disagreement,O=C(Cc1ccccc1)n1nc(-c2cccnc2)cc1CC[NH2+]Cc1ccccc1
ATP-HTVS-3BEA167C6DE4,-5.948,-5.22632509337337,1565,192,1373,1373,extreme_disagreement,c1ccc(C[NH2+]Cc2c[nH]nc2-c2ccccc2)cc1
