scaffold,scaffold_size,best_candidate,best_vina_affinity,cluster_count,isolated_scaffold
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,83,ATP-HTVS-14AE04B6952B,-9.87,25,False
O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,63,ATP-HTVS-95B9B67075F0,-7.11,20,False
O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1,48,ATP-HTVS-F97015D0DCF4,-8.995,17,False
c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1,41,ATP-HTVS-F93F310E89BE,-8.867,23,False
O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1,33,ATP-HTVS-9C9650448F2C,-9.426,10,False
O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,28,ATP-HTVS-F54B40793D2A,-8.937,17,False
O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1,28,ATP-HTVS-E53927646B4E,-8.924,14,False
O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1,26,ATP-HTVS-71BAC3B18036,-9.137,11,False
O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,21,ATP-HTVS-159F0F821AF9,-8.229,10,False
O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1,18,ATP-HTVS-60C7695B6F0C,-8.704,10,False
O=C(Cc1ccccc1)Nc1c(NCc2ccccc2)cnc2ccccc12,16,ATP-HTVS-DDCEA98BB6BE,-9.044,7,False
O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,16,ATP-HTVS-BCAE8AB499DF,-8.2,8,False
O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,16,ATP-HTVS-D928A6F83D7E,-8.043,12,False
c1ccc(CCNc2nc(NCc3ccccc3)[nH+]c3ccccc23)cc1,14,ATP-HTVS-9F7EB006111C,-9.124,7,False
O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCc1ccccc1,14,ATP-HTVS-134FC0CB3694,-8.67,10,False
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,12,ATP-HTVS-BE963CFE3042,-9.621,8,False
O=C(Nc1ncc(Nc2ccccc2)c2ccccc12)c1ccccc1,12,ATP-HTVS-657E323E2351,-9.237,8,False
c1ccc(C[NH2+]Cc2csc(Nc3ccccc3)n2)cc1,12,ATP-HTVS-CA6523C86104,-8.074,4,False
c1ccc(CCNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,11,ATP-HTVS-72BD9FFCF62D,-9.015,10,False
O=C(Cc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1,11,ATP-HTVS-CFB2EA2F52FD,-8.851,10,False
O=C(Cc1ccccc1)Nc1ncc(NCc2ccccc2)c2ccccc12,10,ATP-HTVS-7598FFEE7603,-9.064,8,False
c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,10,ATP-HTVS-FFD71C24E98D,-8.652,5,False
O=C(Nc1nc2ccccc2cc1Nc1ccccc1)c1ccccc1,10,ATP-HTVS-AEE242E516D8,-8.589,5,False
O=C(Nc1nccc(-c2ccccc2)c1C(=O)c1ccccc1)c1ccccc1,10,ATP-HTVS-84AF7025C22A,-7.906,3,False
c1ccc(C[NH2+]Cc2c[nH]nc2-c2ccccc2)cc1,10,ATP-HTVS-A2EC0CC51325,-7.766,4,False
c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccccc2)cc1,9,ATP-HTVS-3E3A2065ACC9,-8.435,7,False
O=C(Cc1ccccc1)Nc1nc2ccccc2cc1Nc1ccccc1,9,ATP-HTVS-50911053B2F5,-8.331,6,False
c1ccc(C[NH2+]Cc2ccc(COc3ccccc3)o2)cc1,9,ATP-HTVS-19E7C62EA548,-8.323,4,False
O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,9,ATP-HTVS-595807F16B2C,-8.01,5,False
O=C(Cc1ccccc1)Nc1c(Nc2ccccc2)cnc2ccccc12,9,ATP-HTVS-D7FBECEDF81C,-7.98,9,False
O=C(NCc1sc2ccccc2c1NCc1ccccc1)c1ccccc1,8,ATP-HTVS-FD637A018D73,-8.52,4,False
O=C(Cc1cc(NCc2ccccc2)cs1)Nc1ccccc1,8,ATP-HTVS-E6E3A92D5598,-8.056,2,False
O=C(Cc1ccccc1)Nc1cnc2ccccc2c1Nc1ccccc1,8,ATP-HTVS-E2020C00AE4E,-7.703,5,False
O=C(Nc1cnc2ccccc2c1C#CC[NH2+]Cc1ccccc1)c1ccccc1,7,ATP-HTVS-98C6C787C9CA,-10.423,3,False
O=C(Nc1ncc(C#Cc2ccccc2)nc1-c1ccccc1)c1ccccc1,7,ATP-HTVS-4F9099514318,-9.186,3,False
c1ccc(CC[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,7,ATP-HTVS-02527EDCA73D,-8.852,5,False
O=C(Nc1ccc(Cc2ccccc2)c(-c2ccccc2)c1)c1ccccc1,7,ATP-HTVS-DB94924E5291,-8.77,3,False
O=C(Cn1c(COc2ccccc2)nc2ccccc21)NCc1ccccc1,7,ATP-HTVS-68829DCC26F9,-8.764,5,False
O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,7,ATP-HTVS-06CA19E03C57,-8.685,4,False
c1ccc(C[NH2+]Cc2c(-c3ccccc3)nc3ccccn23)cc1,7,ATP-HTVS-277F9700EDE9,-8.51,3,False
O=C(Nc1ccccc1)c1cnc2ccccc2c1Nc1ccccc1,7,ATP-HTVS-6C7D9744EE21,-8.313,5,False
O=C(Nc1ccccc1)c1[nH]c2ccccc2c1NCc1ccccc1,7,ATP-HTVS-F1D0837E8A30,-8.052,5,False
O=C(Nc1cnc2ccccc2c1Nc1ccccc1)c1ccccc1,7,ATP-HTVS-EAB5C9B34043,-8.008,5,False
O=C(NCc1ccccc1)c1cnc2ccccc2c1Nc1ccccc1,7,ATP-HTVS-C853ACB1A86B,-7.783,4,False
c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,7,ATP-HTVS-52D7AA6D1B75,-7.701,2,False
O=C(Nc1c(Nc2ccccc2)cnc2ccccc12)c1ccccc1,7,ATP-HTVS-7743C5ABCFDD,-7.115,6,False
O=C(Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1)c1ccccc1,6,ATP-HTVS-B13D85D04AEE,-10.224,3,False
O=C(Cc1ccccc1)Nc1ncc(Nc2ccccc2)c2ccccc12,6,ATP-HTVS-A949B56C75C5,-9.087,4,False
O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCCc1ccccc1,6,ATP-HTVS-9967BD998929,-8.853,5,False
O=C(Nc1c(NCc2ccccc2)c[nH+]c2ccccc12)c1ccccc1,6,ATP-HTVS-BC2B8699145A,-8.637,5,False
O=C(NCc1ccccc1)c1cc(NCc2ccccc2)nc2ccccc12,6,ATP-HTVS-9A332D1A0286,-8.477,4,False
O=C(Cc1ccccc1)NCc1sc2ccccc2c1NCc1ccccc1,6,ATP-HTVS-824DD36F4E64,-8.439,3,False
c1ccc(CCNc2nc3ccccc3nc2NCc2ccccc2)cc1,6,ATP-HTVS-94941B52F5EC,-8.416,5,False
O=C(Cc1ccccc1)Nc1ncccc1NCc1ccccc1,6,ATP-HTVS-0FD0361A2408,-8.324,4,False
c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,6,ATP-HTVS-93E6D0793690,-8.095,6,False
O=C(Cc1ccccc1)n1nc(-c2ccccc2)cc1CC[NH2+]Cc1ccccc1,6,ATP-HTVS-F937C5B79A0E,-8.046,2,False
c1ccc(C[NH2+]Cc2ncc(-c3ccccc3)cn2)cc1,6,ATP-HTVS-09F9B4EC4E97,-7.991,5,False
O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,5,ATP-HTVS-159795FE363C,-10.004,1,False
O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,5,ATP-HTVS-1D3C11D6B0D4,-9.214,4,False
O=C(Cc1ccccc1)Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12,5,ATP-HTVS-4B898DE9EBD2,-9.194,5,False
c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,5,ATP-HTVS-47A17AC8C7BD,-8.94,4,False
O=C(NCc1ccccc1)c1sc2ccccc2c1NCc1ccccc1,5,ATP-HTVS-94448DA501C0,-8.72,5,False
O=C(Cc1ccccc1)Nc1ccc(NCc2ccccc2)cn1,5,ATP-HTVS-DC74BD16E68F,-8.675,4,False
