canonical_id,compound_code,canonical_smiles,scaffold,chemical_space_cluster,vina_rank,glide_rank,rank_delta,protocol_disagreement,rank_consensus,scaffold_size,cluster_size,evidence_completeness,distance_to_decision_boundary,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,uncertainty_dominant_source,voi_proxy,hybrid_score,hybrid_rank,acquisition_cost,recommended_next_evidence,evidence_missing,acquisition_class,why_selected,panel_order
ATP-HTVS-AD7FBCC01633,85217,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,15,7,8,0.004901960784313725,11.0,5,7,0.8571428571428571,1.0,0.004901960784313725,,,0.37976126269617017,0.1428571428571429,0.5323188378030038,chemical_space,0.0068136328963273925,0.05488726310592423,100,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,1
ATP-HTVS-8F383301D999,83458,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1cccc(Cl)c1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,30,12,18,0.011029411764705883,21.0,5,7,0.8571428571428571,1.0,0.011029411764705883,,,0.2960970392588907,0.1428571428571429,0.5323188378030038,chemical_space,0.00632364492871775,0.05482598859612031,101,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,2
ATP-HTVS-3B3954EE8C13,84897,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1cccc(F)c1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,47,42,11,31,0.018995098039215685,26.5,2,6,0.8571428571428571,6.5,0.018995098039215685,,,0.3277861228644016,0.1428571428571429,0.6583798285481339,chemical_space,0.0029844392876398,0.052939416732893776,168,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,3
ATP-HTVS-CB3D9B3FDDC1,36449,C[C@@H](NC(=O)NC[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(C[NH+](C)C)cc1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,497,34,26,8,0.004901960784313725,30.0,4,1,0.8571428571428571,10.0,0.004901960784313725,,,0.15933231444920282,0.1428571428571429,0.8435622116579284,chemical_space,3.966256298862614e-05,0.052014674472987146,213,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,4
ATP-HTVS-780990BE0E68,83747,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,49,65,2,63,0.03860294117647059,33.5,4,5,0.8571428571428571,6.5,0.03860294117647059,,,0.37902472785143493,0.1428571428571429,0.6069634889387587,chemical_space,0.0031840614603535467,0.051392381391152785,240,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,5
ATP-HTVS-54A1786C1F00,83457,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1ccc(Cl)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,64,18,46,0.028186274509803922,41.0,5,7,0.8571428571428571,1.0,0.028186274509803922,,,0.28659282358244853,0.1428571428571429,0.5323188378030038,chemical_space,0.006422547961385507,0.054801478792198745,105,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,6
ATP-HTVS-B31ECD8B9A27,61603,C[NH2+]Cc1ccccc1CNC(=O)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,157,39,48,-9,0.0055147058823529415,43.5,1,3,0.8571428571428571,3.5,0.0055147058823529415,,,0.5420161205540567,0.1428571428571429,0.8384962462644228,chemical_space,0.006995495426066671,0.05974182618579264,8,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,7
ATP-HTVS-081D95190B15,78402,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1ccccc1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,47,59,37,22,0.013480392156862746,48.0,2,6,0.8571428571428571,8.0,0.013480392156862746,,,0.3497801474482056,0.1428571428571429,0.6583798285481339,chemical_space,0.0017309496033126588,0.05093390202701141,258,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,8
ATP-HTVS-6F07AE7177E0,48289,[NH3+][C@@H](CNC(=O)c1oc2ccccc2c1CSc1ccccc1F)c1ccccc1,O=C(NCCc1ccccc1)c1oc2ccccc2c1CSc1ccccc1,93,47,50,-3,0.001838235294117647,48.5,2,4,0.8571428571428571,8.5,0.001838235294117647,,,0.4331984870157101,0.1428571428571429,0.7179860587384581,chemical_space,0.0013696649000921833,0.05138399231709242,241,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,9
ATP-HTVS-B3F47181DC5D,83746,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1ccc(F)cc1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,49,35,64,-29,0.017769607843137254,49.5,4,5,0.8571428571428571,9.5,0.017769607843137254,,,0.3371226470663256,0.1428571428571429,0.6069634889387587,chemical_space,0.0005208513704911952,0.047681597077427286,410,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,10
