strategy,budget,selected,unique_scaffolds,scaffold_coverage,protocol_uncertainty_bins_covered,mean_protocol_uncertainty,uncertainty_coverage,evidence_gain_proxy,rank_boundary_coverage,estimated_calculation_cost,overlap_with_hybrid60
random,60,60,46,0.7666666666666667,5,0.2890829248366013,0.03476708650512034,8.571428571428573,1,600.0,3
vina_top,60,60,36,0.6,5,0.38435457516339866,0.041788249201858474,8.571428571428573,9,600.0,15
glide_top,60,60,47,0.7833333333333333,5,0.414828431372549,0.04308784139406121,8.571428571428573,12,600.0,13
consensus_top,60,60,42,0.7,2,0.08345588235294116,0.03255963920982455,8.571428571428573,16,600.0,7
diversity_aware,60,60,59,0.9833333333333333,3,0.2032066993464052,0.04273594100578079,8.571428571428573,2,600.0,23
disagreement_aware,60,60,44,0.7333333333333333,2,0.838265931372549,0.05491331319715135,8.571428571428573,0,600.0,15
uncertainty_aware,60,60,58,0.9666666666666667,3,0.7641033496732028,0.05894574327456054,8.571428571428573,0,600.0,25
rank_boundary,60,60,44,0.7333333333333333,4,0.21585988562091502,0.03522070617579793,8.571428571428573,16,600.0,5
evidence_gap,60,60,48,0.8,4,0.2768382352941176,0.037258469951485775,8.571428571428573,2,600.0,2
ATP_Navigator_hybrid,60,60,60,1.0,5,0.5478451797385621,0.053109382943127566,8.571428571428573,3,600.0,60
