strategy,budget,selected,unique_scaffolds,scaffold_coverage,protocol_uncertainty_bins_covered,mean_protocol_uncertainty,uncertainty_coverage,evidence_gain_proxy,rank_boundary_coverage,estimated_calculation_cost
random,10,10,9,0.9,3,0.24957107843137258,0.005429552763455949,1.4285714285714288,1,100.0
random,20,20,19,0.95,4,0.22408088235294116,0.011256706130290044,2.8571428571428577,1,200.0
random,40,40,34,0.85,5,0.2675398284313725,0.022760449851084406,5.714285714285716,1,400.0
random,60,60,46,0.7666666666666667,5,0.2890829248366013,0.03476708650512034,8.571428571428573,1,600.0
random,100,100,76,0.76,5,0.30142769607843134,0.060764357674457994,14.285714285714285,1,1000.0
vina_top,10,10,7,0.7,5,0.4659313725490196,0.007529721726472638,1.4285714285714288,0,100.0
vina_top,20,20,12,0.6,5,0.3549938725490196,0.013170473288315538,2.8571428571428577,2,200.0
vina_top,40,40,24,0.6,5,0.35052083333333334,0.02702722660732705,5.714285714285716,5,400.0
vina_top,60,60,36,0.6,5,0.38435457516339866,0.041788249201858474,8.571428571428573,9,600.0
vina_top,100,100,61,0.61,5,0.3983149509803922,0.06824599090656693,14.285714285714285,13,1000.0
glide_top,10,10,10,1.0,3,0.49485294117647055,0.007449117478228264,1.4285714285714288,2,100.0
glide_top,20,20,17,0.85,5,0.41351102941176476,0.014379843662117543,2.8571428571428577,5,200.0
glide_top,40,40,33,0.825,5,0.4072610294117647,0.028672104333625974,5.714285714285716,8,400.0
glide_top,60,60,47,0.7833333333333333,5,0.414828431372549,0.04308784139406121,8.571428571428573,12,600.0
glide_top,100,100,69,0.69,5,0.4120343137254901,0.07114539189589127,14.285714285714285,14,1000.0
consensus_top,10,10,6,0.6,1,0.01452205882352941,0.0050517030318059765,1.4285714285714288,9,100.0
consensus_top,20,20,13,0.65,1,0.03753063725490196,0.011170630015656898,2.8571428571428577,14,200.0
consensus_top,40,40,28,0.7,1,0.06246936274509803,0.022460146736386757,5.714285714285716,16,400.0
consensus_top,60,60,42,0.7,2,0.08345588235294116,0.03255963920982455,8.571428571428573,16,600.0
consensus_top,100,100,65,0.65,2,0.10924632352941176,0.05508618166713324,14.285714285714285,16,1000.0
diversity_aware,10,10,10,1.0,1,0.07138480392156864,0.007091164104710353,1.4285714285714288,1,100.0
diversity_aware,20,20,20,1.0,2,0.11620710784313726,0.014117193286438833,2.8571428571428577,2,200.0
diversity_aware,40,40,40,1.0,3,0.19025735294117646,0.028682935992613498,5.714285714285716,2,400.0
diversity_aware,60,60,59,0.9833333333333333,3,0.2032066993464052,0.04273594100578079,8.571428571428573,2,600.0
diversity_aware,100,100,94,0.94,3,0.20585171568627447,0.0691174403883477,14.285714285714285,5,1000.0
disagreement_aware,10,10,7,0.7,1,0.9288602941176469,0.009784917881887751,1.4285714285714288,0,100.0
disagreement_aware,20,20,15,0.75,1,0.9043504901960784,0.019420149562714362,2.8571428571428577,0,200.0
disagreement_aware,40,40,33,0.825,1,0.8658700980392158,0.03815740167349593,5.714285714285716,0,400.0
disagreement_aware,60,60,44,0.7333333333333333,2,0.838265931372549,0.05491331319715135,8.571428571428573,0,600.0
disagreement_aware,100,100,69,0.69,2,0.7942524509803923,0.08935223030271687,14.285714285714285,0,1000.0
uncertainty_aware,10,10,10,1.0,2,0.871875,0.010777180456120913,1.4285714285714288,0,100.0
uncertainty_aware,20,20,20,1.0,2,0.8302389705882354,0.020956313168326877,2.8571428571428577,0,200.0
uncertainty_aware,40,40,39,0.975,3,0.7860906862745098,0.040298334948604186,5.714285714285716,0,400.0
uncertainty_aware,60,60,58,0.9666666666666667,3,0.7641033496732028,0.05894574327456054,8.571428571428573,0,600.0
uncertainty_aware,100,100,93,0.93,4,0.7140318627450981,0.09499373863600746,14.285714285714285,0,1000.0
rank_boundary,10,10,6,0.6,1,0.03621323529411764,0.005050552052324057,1.4285714285714288,10,100.0
rank_boundary,20,20,13,0.65,3,0.09473039215686274,0.010742467024032044,2.8571428571428577,16,200.0
rank_boundary,40,40,30,0.75,4,0.18832720588235294,0.023258736689006135,5.714285714285716,16,400.0
rank_boundary,60,60,44,0.7333333333333333,4,0.21585988562091502,0.03522070617579793,8.571428571428573,16,600.0
rank_boundary,100,100,75,0.75,4,0.25370710784313727,0.0609540310458551,14.285714285714285,16,1000.0
evidence_gap,10,10,9,0.9,4,0.29675245098039216,0.006031865414645136,1.4285714285714288,0,100.0
evidence_gap,20,20,18,0.9,4,0.2956801470588236,0.01231691656848918,2.8571428571428577,0,200.0
evidence_gap,40,40,33,0.825,4,0.2941329656862745,0.024787578608574792,5.714285714285716,0,400.0
evidence_gap,60,60,48,0.8,4,0.2768382352941176,0.037258469951485775,8.571428571428573,2,600.0
evidence_gap,100,100,75,0.75,4,0.28670955882352944,0.060534559681453784,14.285714285714285,2,1000.0
ATP_Navigator_hybrid,10,10,10,1.0,3,0.7364583333333334,0.009927005468358842,1.4285714285714288,1,100.0
ATP_Navigator_hybrid,20,20,20,1.0,4,0.7108149509803922,0.01941437195820593,2.8571428571428577,1,200.0
ATP_Navigator_hybrid,40,40,40,1.0,5,0.5991268382352941,0.036337029312525054,5.714285714285716,2,400.0
ATP_Navigator_hybrid,60,60,60,1.0,5,0.5478451797385621,0.053109382943127566,8.571428571428573,3,600.0
ATP_Navigator_hybrid,100,100,98,0.98,5,0.5222365196078431,0.08640903418797333,14.285714285714285,5,1000.0
