canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-AD7FBCC01633,85217,15,7,11.0,6.007304882737409e-06,0.0,0.004901960784313725,0.9938725490196079
ATP-HTVS-8F383301D999,83458,30,12,21.0,3.0411980968858137e-05,0.0,0.011029411764705883,0.9877450980392157
ATP-HTVS-3B3954EE8C13,84897,42,11,26.5,9.020343737985388e-05,0.0,0.018995098039215685,0.984375
ATP-HTVS-CB3D9B3FDDC1,36449,34,26,30.0,6.007304882737409e-06,0.0,0.004901960784313725,0.9822303921568627
ATP-HTVS-780990BE0E68,83747,65,2,33.5,0.0003725467668685121,0.0,0.03860294117647059,0.9800857843137255
ATP-HTVS-54A1786C1F00,83457,64,18,41.0,0.00019861651768550559,0.0,0.028186274509803922,0.9754901960784315
ATP-HTVS-B31ECD8B9A27,61603,39,48,43.5,7.602995242214534e-06,0.0,0.0055147058823529415,0.9739583333333333
ATP-HTVS-081D95190B15,78402,59,37,48.0,4.543024317570166e-05,0.0,0.013480392156862746,0.9712009803921569
ATP-HTVS-6F07AE7177E0,48289,47,50,48.5,8.447772491349481e-07,0.0,0.001838235294117647,0.9708946078431373
ATP-HTVS-B3F47181DC5D,83746,35,64,49.5,7.893974072472125e-05,0.0,0.017769607843137254,0.970281862745098
ATP-HTVS-E71202E475AE,88195,78,23,50.5,0.0002839390198481353,0.0,0.03370098039215686,0.9696691176470589
ATP-HTVS-1D3C11D6B0D4,95330,71,53,62.0,3.0411980968858137e-05,0.0,0.011029411764705883,0.9626225490196079
ATP-HTVS-2C5504015D66,57538,112,39,75.5,0.000500201995626682,0.0,0.044730392156862746,0.9543504901960784
ATP-HTVS-F8BD3C119C5E,34435,133,19,76.0,0.001219858347750865,0.0,0.06985294117647059,0.9540441176470589
ATP-HTVS-B847417F307C,85761,26,132,79.0,0.0010546574634755865,0.0,0.06495098039215687,0.9522058823529411
ATP-HTVS-6B0687E57A6A,39265,125,35,80.0,0.0007602995242214532,0.0,0.05514705882352941,0.951593137254902
ATP-HTVS-6F1494FEFC60,84675,6,156,81.0,0.0021119431228373707,0.0,0.09191176470588236,0.9509803921568627
ATP-HTVS-72BD9FFCF62D,59458,121,60,90.5,0.00034926846044790465,0.0,0.037377450980392156,0.9451593137254902
ATP-HTVS-159795FE363C,92387,12,173,92.5,0.002433052341647443,1.0,0.09865196078431372,0.9439338235294118
ATP-HTVS-D1462A8BE621,82146,181,21,101.0,0.0024029219530949633,1.0,0.09803921568627451,0.9387254901960784
ATP-HTVS-E7B44E0E6F2B,46529,143,66,104.5,0.0005565204789023452,0.0,0.04718137254901961,0.9365808823529411
ATP-HTVS-08266C4344A3,88675,54,162,108.0,0.0010948313148788928,0.0,0.0661764705882353,0.9344362745098039
ATP-HTVS-44DE29768EEE,17571,132,88,110.0,0.00018172097270280664,0.0,0.02696078431372549,0.9332107843137254
ATP-HTVS-DDBB6FEB6103,43170,212,13,112.5,0.003717113760332564,1.0,0.12193627450980392,0.9316789215686274
ATP-HTVS-BFD5BCAF9717,52961,165,63,114.0,0.0009765625,1.0,0.0625,0.9307598039215687
ATP-HTVS-9352BEE24C86,93634,53,179,116.0,0.0014901870674740485,1.0,0.07720588235294118,0.9295343137254901
ATP-HTVS-3E71DFC624D6,82465,151,85,118.0,0.0004088721885813149,0.0,0.04044117647058824,0.9283088235294117
ATP-HTVS-B16CEB425A58,94497,20,217,118.5,0.003642773362408689,1.0,0.12071078431372549,0.9280024509803921
ATP-HTVS-B4F34B52DEEF,77313,38,203,120.5,0.0025554511786332183,1.0,0.10110294117647059,0.9267769607843137
ATP-HTVS-2F9E11536268,92386,24,219,121.5,0.003569183877595156,1.0,0.11948529411764706,0.9261642156862746
ATP-HTVS-AD7D334F30DB,88673,13,260,136.5,0.005726557243608227,1.0,0.15134803921568626,0.9169730392156863
ATP-HTVS-F5512CD55A37,82947,157,120,138.5,0.00012850000600730488,0.0,0.02267156862745098,0.9157475490196079
ATP-HTVS-F63C80F910BB,35107,195,83,139.0,0.0011774317570165324,1.0,0.06862745098039216,0.9154411764705882
ATP-HTVS-2C72C850E8DC,37538,37,245,141.0,0.004060938100730487,1.0,0.12745098039215685,0.9142156862745098
ATP-HTVS-0CA591B42E29,85378,177,126,151.5,0.000244140625,1.0,0.03125,0.907781862745098
ATP-HTVS-442C36D59863,49602,206,101,153.5,0.0010348521301903112,1.0,0.06433823529411764,0.9065563725490196
ATP-HTVS-B13D85D04AEE,97953,4,311,157.5,0.00884660121707997,1.0,0.1881127450980392,0.9041053921568627
ATP-HTVS-A845026C7E40,91522,140,189,164.5,0.0002253677972414456,1.0,0.03002450980392157,0.8998161764705882
ATP-HTVS-2485F4B11063,64065,237,93,165.0,0.0019463667820069207,1.0,0.08823529411764706,0.8995098039215685
ATP-HTVS-2AD5F3716208,34434,322,8,165.0,0.00925462862841215,1.0,0.19240196078431374,0.8995098039215687
ATP-HTVS-60C7695B6F0C,73410,281,54,167.5,0.004836725207852749,1.0,0.13909313725490197,0.8979779411764706
ATP-HTVS-DD420CB019C5,66339,203,159,181.0,0.00018172097270280664,1.0,0.02696078431372549,0.8897058823529411
ATP-HTVS-FC732D287CB6,71265,249,117,183.0,0.0016354887543252596,1.0,0.08088235294117647,0.8884803921568627
ATP-HTVS-4B144E96CFBE,75490,338,33,185.5,0.008731711511197617,1.0,0.1868872549019608,0.8869485294117647
ATP-HTVS-A6D74CA540BA,89537,23,349,186.0,0.00997550521434064,1.0,0.19975490196078433,0.8866421568627452
ATP-HTVS-244A9AEB7273,5347,304,68,186.0,0.005227857074202231,1.0,0.14460784313725492,0.8866421568627452
ATP-HTVS-C55276015D5E,97217,16,358,187.0,0.010978725129757786,1.0,0.20955882352941177,0.8860294117647058
ATP-HTVS-2DBBB7EE3EAF,40130,90,284,187.0,0.003532670727604767,1.0,0.11887254901960784,0.8860294117647058
ATP-HTVS-795FA74A51DE,66529,228,147,187.5,0.0006158426146193771,1.0,0.04963235294117647,0.8857230392156863
ATP-HTVS-98E751432A52,90242,362,15,188.5,0.011302087087898885,1.0,0.21262254901960784,0.8851102941176471
ATP-HTVS-2FDBF4F6464D,85218,260,118,189.0,0.0018926764946174547,1.0,0.08700980392156862,0.8848039215686274
ATP-HTVS-6D4BCDFA1C91,75521,142,242,192.0,0.00093864138792772,1.0,0.061274509803921566,0.8829656862745098
ATP-HTVS-60F8B74A0D7C,66018,98,287,192.5,0.0033529209018166094,1.0,0.11580882352941177,0.8826593137254901
ATP-HTVS-6F858A0E8812,50979,316,70,193.0,0.00568028222318339,1.0,0.15073529411764705,0.8823529411764706
ATP-HTVS-E82D7E524403,38786,153,234,193.5,0.0006158426146193771,1.0,0.04963235294117647,0.882046568627451
ATP-HTVS-397149B089BD,39490,339,55,197.0,0.007570705978469819,1.0,0.17401960784313725,0.8799019607843137
