canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-0009DAEDE04F,0.4050245098039216,,,not_available_no_comparable_full_library_model_outputs,0.20045428524704037,0.1428571428571429,0.7634012772808303,0.3779343037972338,4,chemical_space,783.5
ATP-HTVS-0015C54A99C8,0.17830882352941177,,,not_available_no_comparable_full_library_model_outputs,0.3536311141689475,0.1428571428571429,0.6239740141089682,0.3246927736661176,4,chemical_space,811.5
ATP-HTVS-003E4D952AAC,0.31004901960784315,,,not_available_no_comparable_full_library_model_outputs,0.2915483000253173,0.1428571428571429,0.6239740141089682,0.3421071191498179,4,chemical_space,1026.0
ATP-HTVS-005EEA24BFEA,0.46875,,,not_available_no_comparable_full_library_model_outputs,0.26711965036879365,0.1428571428571429,0.3689355258485584,0.3119155797686237,4,protocol,1002.5
ATP-HTVS-0063E4174F09,0.031862745098039214,,,not_available_no_comparable_full_library_model_outputs,0.47804185370362323,0.1428571428571429,0.3674332956380979,0.25504875932422577,4,objective,1488.0
ATP-HTVS-0079D40D2121,0.2653186274509804,,,not_available_no_comparable_full_library_model_outputs,0.16858127839475956,0.1428571428571429,0.9217811058289642,0.37463453863296176,4,chemical_space,983.5
ATP-HTVS-007D6F34F923,0.1721813725490196,,,not_available_no_comparable_full_library_model_outputs,0.3403583413133802,0.1428571428571429,0.5809382067349576,0.30908376586362507,4,chemical_space,1015.5
ATP-HTVS-00C8034698A8,0.3443627450980392,,,not_available_no_comparable_full_library_model_outputs,0.4180855916789781,0.1428571428571429,1.0,0.47632636990854005,4,chemical_space,243.0
ATP-HTVS-00F86A54285D,0.15257352941176472,,,not_available_no_comparable_full_library_model_outputs,0.15333010758322785,0.1428571428571429,0.1347011991739166,0.145865494756513,4,objective,795.5
ATP-HTVS-011A966B3F21,0.6390931372549019,,,not_available_no_comparable_full_library_model_outputs,0.38899429116595097,0.1428571428571429,1.0,0.5427361428194989,4,chemical_space,505.5
ATP-HTVS-0125A5267C6C,0.09129901960784313,,,not_available_no_comparable_full_library_model_outputs,0.1295110715947959,0.1428571428571429,0.20733059376615903,0.14274945695648525,4,chemical_space,422.5
ATP-HTVS-0161AEC2E23E,0.5692401960784313,,,not_available_no_comparable_full_library_model_outputs,0.34726455987795973,0.1428571428571429,0.8435622116579284,0.47573102761786557,4,chemical_space,748.5
ATP-HTVS-017DA1C05B1D,0.27512254901960786,,,not_available_no_comparable_full_library_model_outputs,0.20537648259527008,0.1428571428571429,0.8183813520732507,0.3604343816363179,4,chemical_space,303.5
ATP-HTVS-01DF3EF44742,0.5906862745098039,,,not_available_no_comparable_full_library_model_outputs,0.3698726448911705,0.1428571428571429,0.8760259858910316,0.4948605120372873,4,chemical_space,1009.0
ATP-HTVS-01E9987F6BBC,0.0055147058823529415,,,not_available_no_comparable_full_library_model_outputs,0.5009291972547547,0.1428571428571429,0.16363824854759174,0.20323482363546058,4,objective,1493.5
ATP-HTVS-02393E0D1A46,0.47855392156862747,,,not_available_no_comparable_full_library_model_outputs,0.2762581773571744,0.1428571428571429,0.6189080487154627,0.37914432262460185,4,chemical_space,757.5
ATP-HTVS-02527EDCA73D,0.00980392156862745,,,not_available_no_comparable_full_library_model_outputs,0.3872582126825563,0.1428571428571429,0.6785142789057869,0.3046083890035284,4,chemical_space,106.0
