generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention,parent_similarity,novelty_vs_parent,nearest_htvs1633_id,nearest_neighbor_similarity,novelty_vs_htvs1633,nearest_generated_similarity,internal_diversity_contribution,property_tractability,cheap_screening_score,screening_pool_rank,status,vina_affinity,pose_qc,pose_count,failure_category,failure_reason,protocol_id,protocol_hash,receptor_hash,tool_hash,ligand_hash,pose_hash,job_signature,cached,pose_path,job_folder,vina_rank_within_generated_pool,vina_component,generated_candidate_score,parent_vina_affinity,vina_delta_vs_parent,acquisition_priority,recommended_next_evidence,interpretation
ATP-GEN-7A898D5E996B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)(F)F,DUEGODGYAVYOKF-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,bfcc4116457d8dd374e1f52f1494d5f4a004820120e9e5c449605a3becbabc19,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000003,33.94,2,2,9,2,4,0.25,,,0,3.5,True,0.75,0.25,ATP-HTVS-E4F433E7DDB9,0.3417721518987341,0.6582278481012658,0.8928571428571429,0.1071428571428571,0.7222222222222222,0.7421614426361263,38,success,-8.954,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,d697a59cf6c679effd34e0cff5aa5d8534213ab3ea50af5f734f66595a79d1da,e51ee52b82575ba013e8f566cb14eb32e700afc9d935b9e81247b60a2886b151,ff0da08a36d1e95d7cea934e866ab60d17b1cf7460d33ae6ddf6144db72c2ccc,True,results\phase16\poses\ATP-GEN-7A898D5E996B_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\ff\ff0da08a36d1e95d7cea934e866ab60d17b1cf7460d33ae6ddf6144db72c2ccc,4,0.9747899159663865,0.7358589216277227,-8.212,-0.7420000000000009,1,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-83963B27D9CD,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,17,Cc1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,ZVPLWZYQUDPNNE-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,e754e44dc77b51cd8ad709abb90338707d85e63fece893794ba5d983fc7829c5,IN-2,confirmed_reference_pose,not_claimed,443.66000000000014,3.7436200000000026,33.94,2,2,9,2,4,0.25,,,0,3.3950000000000005,True,0.7407407407407407,0.2592592592592593,ATP-HTVS-BCEA86BEEC0A,0.3768115942028985,0.6231884057971014,0.8148148148148148,0.1851851851851852,0.7338888888888888,0.7491932367149758,20,success,-8.562,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,8d6f860d831cd11d6e52f591d85103c4cd2f94405f74dfb04a03216f8f3a188a,4704790c275d9d482bb52ed4b9a8441c7ed612a19f7fd42daeb994d4f24cc23e,2077fdc583c7af40cc2ecb821e6eb04ba0d27f915e99556e279f1a33e588d7e9,True,results\phase16\poses\ATP-GEN-83963B27D9CD_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\20\2077fdc583c7af40cc2ecb821e6eb04ba0d27f915e99556e279f1a33e588d7e9,11,0.9159663865546218,0.7281848333536313,-8.212,-0.34999999999999964,2,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-B9896EAB127D,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,17,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(Cl)c3nc2SCc2ccccc2)cc1,AOHHVKSCUPOLOV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,7e2a54069a266e7e4216ed0b8d7e765aa0a8803cbd0ee0b3aa5fa17c35c09a9b,IN-2,confirmed_reference_pose,not_claimed,464.07800000000015,4.088600000000003,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.7272727272727273,0.2727272727272727,ATP-HTVS-BCEA86BEEC0A,0.3714285714285714,0.6285714285714286,0.8,0.1999999999999999,0.7338888888888888,0.7524920634920635,13,success,-8.516,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,c5f1bc89c61ab439aa86bb4af8bda1362abc4cff854aaeb81e16602529ac66fe,3e1aff8e754de4b3ccf6388aca8d172cd06667a96023375149ec6ca93a410ba6,39e94d2b9116a293a565d0f48ec8e9d3dc96e344c2c53525533f350e7f58d546,True,results\phase16\poses\ATP-GEN-B9896EAB127D_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\39\39e94d2b9116a293a565d0f48ec8e9d3dc96e344c2c53525533f350e7f58d546,14,0.8907563025210083,0.7251811391223155,-8.212,-0.30400000000000027,3,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-28C82FC9CA0D,ATP-SMI-874C2DE25FE4,da63e53fa231bf5ae5f6e08e772053567d8b40bcf05f228817adb437a63c47ae,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,15,Cc1ccc(-c2nn(Cc3ccccc3)c(C#N)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,BVFVGDYUWMUHRG-MUUNZHRXSA-P,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2026-08-28,f5ac7a2d5d6f86092f437599a0b24526d140e4b416a3c4eb2537a87e1f45ce64,Hit3,internal_historical_structure,unresolved,493.6550000000004,2.1915999999999998,82.89,3,3,9,2,5,0.2903225806451613,,,0,3.95,True,0.6857142857142857,0.3142857142857143,ATP-HTVS-D53BE49171F7,0.3924050632911392,0.6075949367088608,0.8059701492537313,0.1940298507462686,0.6722222222222223,0.7350679093981569,73,success,-8.899,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,0278324488fb308ce3e2c0a971f9afcc728ea7f1fd45aac9d646e6cacc24d53f,d7ce344cde40263c0b8d753206a8b8dcbf0626d2688be43d68a31f77b7cb84e8,d0764e1ad2193365792e2e3c1df045b8ff203bc0b5ad0610e1e2c957657e0bc5,True,results\phase16\poses\ATP-GEN-28C82FC9CA0D_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\d0\d0764e1ad2193365792e2e3c1df045b8ff203bc0b5ad0610e1e2c957657e0bc5,6,0.957983193277311,0.7245637077174846,-8.846,-0.05299999999999905,4,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-1315B7478DAE,ATP-SMI-874C2DE25FE4,da63e53fa231bf5ae5f6e08e772053567d8b40bcf05f228817adb437a63c47ae,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,15,Cc1ccc(-c2nn(Cc3ccccc3)c(C(F)(F)F)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,QQOQCCDRLKTDDH-HHHXNRCGSA-P,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2026-08-28,34aacf6b2ff8f3364e35f4a946baca430ca7655dbfc20ef55b467a5c1428b422,Hit3,internal_historical_structure,unresolved,536.6420000000004,3.338720000000001,59.1,3,2,9,2,5,0.3225806451612903,,,0,4.02,True,0.6956521739130435,0.3043478260869565,ATP-HTVS-D53BE49171F7,0.3974358974358974,0.6025641025641026,0.8208955223880597,0.1791044776119402,0.6644444444444445,0.7302673810435005,88,success,-8.942,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,e061d077b17570cec865ebfc584d618bf02085f048dd0f7d6478c9d36442b217,0b4513fe653f6055d2f56cbee3fd238fe5e1b97f315327de8649a8ecd4dfa070,0be24d68c98459f0c96bbc10d230c37291b473cd87b6833dc806b6a1cd4c4173,True,results\phase16\poses\ATP-GEN-1315B7478DAE_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\0b\0be24d68c98459f0c96bbc10d230c37291b473cd87b6833dc806b6a1cd4c4173,5,0.9663865546218487,0.7218640196989626,-8.846,-0.09600000000000009,5,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-EDF096265289,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,5,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,NMSKCLRTIYYYHO-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,eac6925f0736f487d43feb570c73db4dccfab9349259088a09a90b2f42c36c22,IN-2,confirmed_reference_pose,not_claimed,443.66000000000025,3.7436200000000017,33.94,2,2,9,2,4,0.25,,,0,3.3950000000000005,True,0.8076923076923077,0.1923076923076923,ATP-HTVS-E4F433E7DDB9,0.3421052631578947,0.6578947368421053,0.8846153846153846,0.1153846153846154,0.7338888888888888,0.7456644174538911,27,success,-8.499,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,ad5ede06f02d0cfa5d35dacdd11ff14968e0bfc888aef5423431b053014465cf,a0ca383d35825b384520df2ed45421d1c337dffc52d4c8e6efcd48d399a0011e,3f6f474491c9fcf8d9f2ae11ff7c7f8cb5fed567f2e1f9ff3f1bfd2b3704e2a4,True,results\phase16\poses\ATP-GEN-EDF096265289_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\3f\3f6f474491c9fcf8d9f2ae11ff7c7f8cb5fed567f2e1f9ff3f1bfd2b3704e2a4,15,0.8823529411764706,0.7162526527480088,-8.212,-0.2870000000000008,6,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-7D19A1D856E8,ATP-SMI-874C2DE25FE4,da63e53fa231bf5ae5f6e08e772053567d8b40bcf05f228817adb437a63c47ae,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,2,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1C#N,GQSGVPXIILBUIY-SSEXGKCCSA-P,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2026-08-28,2fab77765b8cf8f9ff9a5b32905746c15d05b07c684f9bede3020facec22e4db,Hit3,internal_historical_structure,unresolved,493.6550000000004,2.1916,82.88999999999999,3,3,9,2,5,0.2903225806451613,,,0,3.95,True,0.75,0.25,ATP-HTVS-397149B089BD,0.4567901234567901,0.5432098765432098,0.8208955223880597,0.1791044776119402,0.6722222222222223,0.7199520913948774,105,success,-9.093,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,b4aee5d667a54c69d24fb67fefd8e258c494cfaec837a4a5474fc3f52e8a449c,550b26814a099c1ce71f032cbf094e2024884b40f6aabeb1dc8ae63f60aec50f,f026f2b86843c1c31ec7966779ec215471d96b3e44156dd0ab658ec0063a5142,True,results\phase16\poses\ATP-GEN-7D19A1D856E8_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\f0\f026f2b86843c1c31ec7966779ec215471d96b3e44156dd0ab658ec0063a5142,3,0.9831932773109243,0.7157504107226085,-8.846,-0.2469999999999999,7,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-80A31E9A52D5,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,14,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(F)cccc3nc2SCc2ccccc2)cc1,SCRFRCZJHYGGRO-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,52243e624da1b8e0a8ccd08816fa937e4f8f75d48cefcd6ec5162e85f4bd7f5d,IN-2,confirmed_reference_pose,not_claimed,447.6230000000001,3.5743000000000027,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.7735849056603774,0.2264150943396226,ATP-HTVS-27050A3A08BE,0.3809523809523809,0.6190476190476191,0.7962962962962963,0.2037037037037037,0.7338888888888888,0.7511428571428571,16,success,-8.433,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,643e4b050a18c84cc72a8738cbd0c89ef8ee57646af1517c94d23b5fdd4dddde,c35aace76931538869d08abca891c46707fa0daeda7d265d6ddbae8f144abe65,140b69948af738b66f2866db486143a78efc994215ee0e8ab4a3417c4c5fa9b0,True,results\phase16\poses\ATP-GEN-80A31E9A52D5_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\14\140b69948af738b66f2866db486143a78efc994215ee0e8ab4a3417c4c5fa9b0,18,0.8571428571428572,0.7154285714285714,-8.212,-0.22100000000000009,8,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-F6456D9CFF1B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,YUQZQFSQDQRONT-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,df848220f96179720e3cd663f3cac505374b1f55c499e72d4836c6da638bdbfd,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.73,2,3,9,2,4,0.2142857142857142,,,0,3.43,True,0.75,0.25,ATP-HTVS-4F450E2E91A2,0.3717948717948718,0.6282051282051282,0.8928571428571429,0.1071428571428571,0.73,0.7377124542124542,51,success,-8.556,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,177f9b7aaa6e3f5e804bc501b8490cd874f289ca7adbc353c7682810b01bd8c7,61c898d0f81824317fb68b8729389fcabe7d2cb3659e1241846600d6c80f2e27,e16e61cf12128e85802dd40a17e97205081d455f6d0c2f46e0b662f962abfcf3,True,results\phase16\poses\ATP-GEN-F6456D9CFF1B_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\e1\e16e61cf12128e85802dd40a17e97205081d455f6d0c2f46e0b662f962abfcf3,12,0.907563025210084,0.7146032105149751,-8.212,-0.3439999999999994,9,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-1BC48CE9C549,ATP-SMI-874C2DE25FE4,da63e53fa231bf5ae5f6e08e772053567d8b40bcf05f228817adb437a63c47ae,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_SO2NH2,[*:1]S(=O)(=O)N,15,Cc1ccc(-c2nn(Cc3ccccc3)c(S(N)(=O)=O)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,GFUGTSIJTOWQBU-HHHXNRCGSA-P,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,2026-08-28,acfb3c4bc494e27304875e02922f1e754a3404b210039f0fc8fde448f1e83b0a,Hit3,internal_historical_structure,unresolved,547.7250000000004,0.9673200000000024,119.26,4,4,10,2,5,0.3,,,0,4.14,True,0.6666666666666666,0.3333333333333333,ATP-HTVS-AB6A0F8FBF12,0.4320987654320987,0.5679012345679013,0.782608695652174,0.217391304347826,0.6511111111111112,0.7264111647879763,97,success,-8.745,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,76dc7887f5cd3917ebcfcf06894ff455c0ca984c2d33c758888a07deb99c6519,ccad89b986107b8576317a262cea5c11bfe80a90e54bf6eeaff061c5593a1991,c353b2058fce23fd53c3b90a0549c92ca6b034532b42121e8eb555b4fde80e0e,True,results\phase16\poses\ATP-GEN-1BC48CE9C549_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\c3\c353b2058fce23fd53c3b90a0549c92ca6b034532b42121e8eb555b4fde80e0e,8,0.9411764705882353,0.7117052824350352,-8.846,0.10100000000000087,10,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
ATP-GEN-A0AD46590CE1,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,17,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(F)c3nc2SCc2ccccc2)cc1,VFYOPZYFKIVQJN-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,ad7111f15a1817c0eda7429109ae17398edf7c252c116b88ee725f4bc5137e7e,IN-2,confirmed_reference_pose,not_claimed,447.62300000000016,3.5743000000000027,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.7272727272727273,0.2727272727272727,ATP-HTVS-A86A798575A4,0.3714285714285714,0.6285714285714286,0.8,0.1999999999999999,0.7338888888888888,0.7524920634920635,12,success,-8.426,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,fd5f78c3dd0c0b12ff0020583c3cedddcbce562efb48ea7d8a164994c836901a,96e1245c7280f8901f18658005b4fdfab0628e39cc512ace709b484939fc92f5,d3271bbd4a9e380344bbecd78773b2db39ff08766abe26d123153e56fc4a10c7,True,results\phase16\poses\ATP-GEN-A0AD46590CE1_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\d3\d3271bbd4a9e380344bbecd78773b2db39ff08766abe26d123153e56fc4a10c7,21,0.8319327731092436,0.7104752567693743,-8.212,-0.2140000000000004,11,reviewed same-protocol MM/GBSA,generated-pool evidence priority; not biological activity
