generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention
ATP-GEN-3B3178A0D6A8,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1F,HLMJVPGCNIFNPX-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,1ba190b8477426a87ba45a5f465175785b6a20a29964742dd1c7112872d6afd1,IN-2,confirmed_reference_pose,not_claimed,447.6230000000001,3.5743000000000027,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-0742DA4276EF,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Cl,WGOMNUGPIVJELQ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,45813b37d91c927d9582bc2969c1270c3651e5b41726b8366aa9969604cb12c0,IN-2,confirmed_reference_pose,not_claimed,464.0780000000001,4.088600000000003,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-BD60F3115C29,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Br,[*:1]Br,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Br,IODLUYUOGQKNSS-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,45dc6178420a0586a416615149b870c5f42eba7b36edb6946c826bc195a8888b,IN-2,confirmed_reference_pose,not_claimed,508.5290000000001,4.197700000000004,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-EDF096265289,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,5,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,NMSKCLRTIYYYHO-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,eac6925f0736f487d43feb570c73db4dccfab9349259088a09a90b2f42c36c22,IN-2,confirmed_reference_pose,not_claimed,443.66000000000025,3.7436200000000017,33.94,2,2,9,2,4,0.25,,,0,3.3950000000000005,True
ATP-GEN-3CF267D8758A,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,5,CCc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,ITOYIJMGFNGWDV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,a42e204e452d6b39681f024ae767116e7d97dccbfcaaa8b5c2dddc7f9a7d067f,IN-2,confirmed_reference_pose,not_claimed,457.68700000000024,3.997600000000002,33.94,2,2,10,2,4,0.27586206896551724,,,0,3.55,True
ATP-GEN-B94A3A6839BC,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,5,CC(C)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,SEFSVMFABVDKJJ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,0f68c1bec5be6cb19098237ade44e6a239835b521cfb0ae1110d1079fb69dfbd,IN-2,confirmed_reference_pose,not_claimed,471.7140000000002,4.558600000000004,33.94,2,2,10,2,4,0.3,,,0,3.585,True
ATP-GEN-A82BDFAA8218,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OMe,[*:1]OC,5,COc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,PNSGIAHZPRVZNP-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,8ff43002fd22d993bbfaab6a4129735013ec31f03128e25b3026a59cccee19bd,IN-2,confirmed_reference_pose,not_claimed,459.6590000000002,3.4438000000000013,43.17,2,3,10,2,4,0.25,,,0,3.55,True
ATP-GEN-397D5A9CBB80,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OEt,[*:1]OCC,5,CCOc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,LGAATDUUSQAIEX-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,4c3f1f23e7e54f00d46ac7c8cb2c0cb268361601357897d2734c6326b99178eb,IN-2,confirmed_reference_pose,not_claimed,473.6860000000002,3.8339000000000016,43.17,2,3,11,2,4,0.27586206896551724,,,0,3.705,True
ATP-GEN-F6456D9CFF1B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,YUQZQFSQDQRONT-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,df848220f96179720e3cd663f3cac505374b1f55c499e72d4836c6da638bdbfd,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.73,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True
ATP-GEN-7A898D5E996B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)(F)F,DUEGODGYAVYOKF-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,bfcc4116457d8dd374e1f52f1494d5f4a004820120e9e5c449605a3becbabc19,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000003,33.94,2,2,9,2,4,0.25,,,0,3.5,True
