generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention,parent_similarity,novelty_vs_parent,nearest_htvs1633_id,nearest_neighbor_similarity,novelty_vs_htvs1633,nearest_generated_similarity,internal_diversity_contribution,property_tractability,cheap_screening_score,screening_pool_rank
ATP-GEN-7D56AC38C465,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,24,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2C(F)(F)F)cc1,IWGUSXWDWQWWOM-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,dfeae6accf86e07eb31e1ea7c7cf99f2b5d9a15db96b1e705f5712f128ca1a38,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000004,33.94,2,2,9,2,4,0.25,,,0,3.5,True,0.7321428571428571,0.2678571428571429,ATP-HTVS-B8D4F4CA2980,0.3333333333333333,0.6666666666666667,0.7758620689655172,0.22413793103448276,0.7222222222222222,0.7613984674329501,1
ATP-GEN-891DB7951136,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,24,CC(C)c1ccccc1CSc1nc2ccccc2cc1C[NH2+]Cc1ccc(C[NH+](C)C)cc1,LIXUDGVHXUXMHX-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,64732f776a9a91523d63e00fa1b7074f124930602c85558999a02271bb8109dd,IN-2,confirmed_reference_pose,not_claimed,471.7140000000003,4.558600000000004,33.94,2,2,10,2,4,0.3,,,0,3.585,True,0.7454545454545455,0.2545454545454545,ATP-HTVS-F256B691D902,0.3380281690140845,0.6619718309859155,0.7719298245614035,0.22807017543859653,0.7127777777777777,0.7591604480685281,2
ATP-GEN-1E38DA7FDC29,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,17,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(C#N)c3nc2SCc2ccccc2)cc1,ASSOVDUTQCGXHW-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,6d729df039bf73508f54f8422cf4cfca6401074ba1ce3ac0b8d77d210949cc47,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.730000000000004,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True,0.6896551724137931,0.31034482758620685,ATP-HTVS-BCEA86BEEC0A,0.3561643835616438,0.6438356164383562,0.7796610169491526,0.22033898305084743,0.73,0.7578179707452983,3
ATP-GEN-7E64569B2DE9,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Br,[*:1]Br,24,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2Br)cc1,RIKHAPDCPFXZSU-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,6b92a60dbbca8cf894cd68f33a4f8e376efad4bc527e308a7e634795a3018d98,IN-2,confirmed_reference_pose,not_claimed,508.5290000000001,4.197700000000003,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.7735849056603774,0.2264150943396226,ATP-HTVS-6EF9F712D3BB,0.3484848484848485,0.6515151515151515,0.7962962962962963,0.20370370370370372,0.7338888888888888,0.7576363636363637,4
ATP-GEN-C50E5637374D,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,24,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2C#N)cc1,STXWCEDHXTXJRH-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,3407301497b38164ea1b576936ace4f231339ad884a59d8fedf87eecc37520da,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.73,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True,0.7321428571428571,0.2678571428571429,ATP-HTVS-FC732D287CB6,0.36363636363636365,0.6363636363636364,0.7758620689655172,0.22413793103448276,0.73,0.7568934169278998,5
ATP-GEN-744A80228AD6,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,14,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(C#N)cccc3nc2SCc2ccccc2)cc1,HLZDRUBXQYWZJV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,b0dfcd6162f68f0e6e4674950681380181d7a68b5f6937bfb2dec225506829bd,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.730000000000004,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True,0.7321428571428571,0.2678571428571429,ATP-HTVS-27050A3A08BE,0.36363636363636365,0.6363636363636364,0.7796610169491526,0.22033898305084743,0.73,0.7563235747303545,6
ATP-GEN-462185181D80,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,24,Cc1ccccc1CSc1nc2ccccc2cc1C[NH2+]Cc1ccc(C[NH+](C)C)cc1,ANNZRNXGTNXEBE-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,8da898d4ae9a738d734370c6a4e83ef52fb9a08812765c702f735cf9ec097e69,IN-2,confirmed_reference_pose,not_claimed,443.6600000000003,3.7436200000000026,33.94,2,2,9,2,4,0.25,,,0,3.3950000000000005,True,0.7884615384615384,0.21153846153846156,ATP-HTVS-B8D4F4CA2980,0.352112676056338,0.647887323943662,0.8113207547169812,0.18867924528301883,0.7338888888888888,0.754657129358963,7
ATP-GEN-F0615C474B1A,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,17,CC(C)c1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,KLECAWWNOXVWCE-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,169ab5854aa6a5ca353365b8a5c06e4332761462ffb0bf8a249e525726ae9df9,IN-2,confirmed_reference_pose,not_claimed,471.7140000000001,4.558600000000004,33.94,2,2,10,2,4,0.3,,,0,3.585,True,0.7017543859649122,0.29824561403508776,ATP-HTVS-BCEA86BEEC0A,0.3611111111111111,0.6388888888888888,0.7758620689655172,0.22413793103448276,0.7127777777777777,0.7539540229885058,8
ATP-GEN-8A306D50DD79,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,17,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(C(F)(F)F)c3nc2SCc2ccccc2)cc1,OXGWNSQWYHJMFL-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,b065e5b11f0fd2f75ce0b37bdac9abac5e7e701e96a4e016066039d0f0a5baa3,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000004,33.94,2,2,9,2,4,0.25,,,0,3.5,True,0.7017543859649122,0.29824561403508776,ATP-HTVS-BCEA86BEEC0A,0.3611111111111111,0.6388888888888888,0.7931034482758621,0.2068965517241379,0.7222222222222222,0.753256704980843,9
ATP-GEN-08A6DA935C86,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,14,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(C(F)(F)F)cccc3nc2SCc2ccccc2)cc1,YKRNWYQHSMRXLJ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,d8d9bd877764070510fc66e1f7cf7687d80921386cfbc4b668506f317abf65eb,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000003,33.94,2,2,9,2,4,0.25,,,0,3.5,True,0.7321428571428571,0.2678571428571429,ATP-HTVS-27050A3A08BE,0.36363636363636365,0.6363636363636364,0.7931034482758621,0.2068965517241379,0.7222222222222222,0.7527516544757924,10
