compound_id,signature,protocol_id,status,cached,started_at,attempt,training,scope,completed_at,canonical_smiles,scaffold,vina_affinity,pose_count,pose_centroid,pose_qc,ligand_sha256,pose_sha256,stdout_sha256,stderr_sha256,elapsed_seconds,folder
ATP-GEN-7D56AC38C465,4afd3d88a48d7126e4c4b6088aabb8e30977f294c5af283724ca864624e4c052,vina_7p3w_v1,success,False,2026-08-28T03:48:20.629860+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:54.825109+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2C(F)(F)F)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-8.33,9,"[193.23382857142857, 189.32002857142857, 163.46345714285712]",pass,268c154da59d98fb77d1051a8f815f0c6ad802454353ade02350cb70b55f54f8,126ff9062192f4fceda1c10f4d7b17cd0586dea28f99d9a993a79a8142d3ecbd,8e910eafb3c68923ac75f037654d15cb7febdd5d1d27dabeec6c7fc5e79d265e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,214.21630930900574,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\4a\4afd3d88a48d7126e4c4b6088aabb8e30977f294c5af283724ca864624e4c052
ATP-GEN-891DB7951136,f8c70f49927f60c8bbfca010c5a71e1af5865495bb263f1f9530f7474fb3d878,vina_7p3w_v1,success,False,2026-08-28T03:48:20.633126+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:26.673503+00:00,CC(C)c1ccccc1CSc1nc2ccccc2cc1C[NH2+]Cc1ccc(C[NH+](C)C)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-8.197,9,"[196.1523823529412, 190.54855882352942, 159.27370588235294]",pass,2a05c929bcca2595c5cd835e7959ad9159d0aac999cff529b1076ce539828d1f,44b489d4c726704d608c68f16a64067f7a3bcb193cb50c5bda876fb8581278fc,47a0002c56f6e807636a8aaab9240ebd504bf75921254adc8ce3ffb2f0862a15,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,186.05905842781067,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\f8\f8c70f49927f60c8bbfca010c5a71e1af5865495bb263f1f9530f7474fb3d878
ATP-GEN-1E38DA7FDC29,1c86981969846b214fc3fe4a74de4643208e5f1036512df029bcc89f831e2aae,vina_7p3w_v1,success,False,2026-08-28T03:48:20.636687+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:04.509012+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(C#N)c3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-8.086,9,"[195.29551515151516, 188.00466666666668, 161.10354545454547]",pass,53bf19ae61d5448f259ec993240addfa85c27f7b1ee59a2d6b907158a503481e,5602e762cb7260c1689e42d68f364f5eaf584d6bb607678dde9745b632492f27,f20f5975b520ca624579f42ac7705c1422b58e64536dbff9e2e208d94c146f22,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,163.88713145256042,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\1c\1c86981969846b214fc3fe4a74de4643208e5f1036512df029bcc89f831e2aae
ATP-GEN-7E64569B2DE9,72e2cb69f99bbd962f82dbf9d33c92a93d80669f5e98fe34eaa31a7d4a8cffec,vina_7p3w_v1,success,False,2026-08-28T03:48:20.649253+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:00.255700+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2Br)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-7.849,9,"[194.002375, 188.89403125, 162.74109375]",pass,2855138f4df13138b89f4a5744db1e2c50cfa3b9a27086950b21921c98d95858,98dacb032c05b53836a14db25cf93b34adf055843d9a0a208a22bf3b535f8f7a,18395c4d8e75e2572a7db4fe4e7baf2579a8f59d5460f316541466d0045e105b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,159.61992597579956,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\72\72e2cb69f99bbd962f82dbf9d33c92a93d80669f5e98fe34eaa31a7d4a8cffec
ATP-GEN-C50E5637374D,da5ab0d088d66655f47daa6d9270c08b314b5146ae0bf7694e3b503162183545,vina_7p3w_v1,success,False,2026-08-28T03:48:20.667309+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:09.992469+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2C#N)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-8.225,9,"[196.35575757575756, 190.5977272727273, 159.1892121212121]",pass,42ab140a71e2efca1966c7581b423846abf92c605ad1d1a937f80df05467f51a,643106f5288037c7f9888cc1d9aa44586d56218ff504e7725f8cd13acb51b5e1,8cad64dd2dd0dd42a1a8ad9ab0168596e8f8d50ca5df577223e9c92641a68e4d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,169.3431487083435,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\da\da5ab0d088d66655f47daa6d9270c08b314b5146ae0bf7694e3b503162183545
ATP-GEN-744A80228AD6,05da666937e64074fdb46d304e6ce5c52d41b214e917c8fa2b40fd8e8f8903b8,vina_7p3w_v1,success,False,2026-08-28T03:48:20.678811+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:03.032140+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(C#N)cccc3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-8.099,9,"[194.7167878787879, 188.7998484848485, 162.17878787878786]",pass,4a7b6431fb86b0028de356a3df38b0b15634ebdd1d9dc6c6ef4d88004e9180d0,da86a335519cb451505c256ce3db1e2067ca33601c513aa96ecb515f77fe9677,aa8ae133e870d086734c9b453d18dae80f03c8bfe5f468f8484c44e63181af31,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,162.36494255065918,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\05\05da666937e64074fdb46d304e6ce5c52d41b214e917c8fa2b40fd8e8f8903b8
ATP-GEN-462185181D80,cd4c658f89713e8579264fddd9953b04a94fad3cf33be652be576d42553d182a,vina_7p3w_v1,success,False,2026-08-28T03:48:20.686080+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:50:53.514022+00:00,Cc1ccccc1CSc1nc2ccccc2cc1C[NH2+]Cc1ccc(C[NH+](C)C)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-7.498,9,"[193.83346875, 188.41859374999999, 161.84303125]",pass,6d9ab0358a93c2c8722fc39aa8147ad1a1d65e3df5694319fe23378bfe89256c,1b9a95ff63585ecab8630edfd0eb5e55d91a5c87e30c72adc37cb8e3c97f01fd,f7d3ed21610311149de9ce6cecc94e8fb9f61e0720c0a5ca363f7532bafc64f1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,152.84415459632874,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\cd\cd4c658f89713e8579264fddd9953b04a94fad3cf33be652be576d42553d182a
ATP-GEN-F0615C474B1A,c1695fb9ceb5649ad9dda283f93af3abd00adaea5e732c3d62e8faf4f8750ab6,vina_7p3w_v1,success,False,2026-08-28T03:48:20.686080+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:51:30.044178+00:00,CC(C)c1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-7.935,9,"[194.09579411764705, 189.19958823529413, 163.2084117647059]",pass,1867af859409c3fb526c501ea97a2026f5d2e5ecd3f65cc566ed2dfee167bd22,39afcf6812bee93dbf6f78c70922864fab41fb7339f904841c257f1cfbdfe293,42984ce4a36aee1b56913e685affd134bc5a97fed33a549d95a0ab2465defee2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,189.37099504470825,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\c1\c1695fb9ceb5649ad9dda283f93af3abd00adaea5e732c3d62e8faf4f8750ab6
ATP-GEN-8A306D50DD79,a94ef4fb3b07320ac3c059212e3f44cd047f48a09202c16c611746652794b1e8,vina_7p3w_v1,success,False,2026-08-28T03:50:53.535477+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:54:10.147813+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(C(F)(F)F)c3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-7.489,9,"[194.6123142857143, 187.7278857142857, 161.16202857142858]",pass,fc20b431184a7e5c6d8077a5ceb5815207d6e6d233241d1b94e6fc8fe8027aa2,d3a78418d584fe9041761f53966362a78f23eb7ac0f0431e997b7921e77fe9a1,b2eb14de69cafab8aca3db23f6b7505b72caef63fc0f5b2e06166ac2877203cc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,196.62521481513977,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\a9\a94ef4fb3b07320ac3c059212e3f44cd047f48a09202c16c611746652794b1e8
ATP-GEN-08A6DA935C86,5d49da3c74cc772d6b2539db82bf371861b7ff90d665aa354bfce3b24dc4817e,vina_7p3w_v1,success,False,2026-08-28T03:51:00.272610+00:00,1,False,computational docking evidence; not biological activity,2026-08-28T03:54:13.283446+00:00,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(C(F)(F)F)cccc3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,-7.778,9,"[194.09802857142856, 188.01585714285716, 161.33342857142858]",pass,c3d5e0dbbf4c56802ecb9c77a4042dd8d13327a533ff0145813e26a7c2f6394b,e44df93ae7946340b52d1d1c6df5711bd2560833d326e5849e873c48619ff605,103731c2c0aed60f00d8c11ab4363c9b87ebf7eded43d6de296bfef972ecace3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,193.0260293483734,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\5d\5d49da3c74cc772d6b2539db82bf371861b7ff90d665aa354bfce3b24dc4817e
