lineage_depth,parent_candidate_id,generated_candidate_id,generation_method,reaction_or_operation,building_block_id,attachment_atom_index,provenance_hash
1,ATP-REF-IN2,ATP-GEN-3B3178A0D6A8,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_F,5,1ba190b8477426a87ba45a5f465175785b6a20a29964742dd1c7112872d6afd1
1,ATP-REF-IN2,ATP-GEN-0742DA4276EF,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_Cl,5,45813b37d91c927d9582bc2969c1270c3651e5b41726b8366aa9969604cb12c0
1,ATP-REF-IN2,ATP-GEN-BD60F3115C29,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_Br,5,45dc6178420a0586a416615149b870c5f42eba7b36edb6946c826bc195a8888b
1,ATP-REF-IN2,ATP-GEN-EDF096265289,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_Me,5,eac6925f0736f487d43feb570c73db4dccfab9349259088a09a90b2f42c36c22
1,ATP-REF-IN2,ATP-GEN-3CF267D8758A,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_Et,5,a42e204e452d6b39681f024ae767116e7d97dccbfcaaa8b5c2dddc7f9a7d067f
1,ATP-REF-IN2,ATP-GEN-B94A3A6839BC,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_iPr,5,0f68c1bec5be6cb19098237ade44e6a239835b521cfb0ae1110d1079fb69dfbd
1,ATP-REF-IN2,ATP-GEN-A82BDFAA8218,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_OMe,5,8ff43002fd22d993bbfaab6a4129735013ec31f03128e25b3026a59cccee19bd
1,ATP-REF-IN2,ATP-GEN-397D5A9CBB80,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_OEt,5,4c3f1f23e7e54f00d46ac7c8cb2c0cb268361601357897d2734c6326b99178eb
1,ATP-REF-IN2,ATP-GEN-F6456D9CFF1B,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_CN,5,df848220f96179720e3cd663f3cac505374b1f55c499e72d4836c6da638bdbfd
1,ATP-REF-IN2,ATP-GEN-7A898D5E996B,scaffold_preserving_R_group_enumeration,aromatic_CH_Rgroup_substitution_v1,R_CF3,5,bfcc4116457d8dd374e1f52f1494d5f4a004820120e9e5c449605a3becbabc19
